"school","logo","type","color","alt_color","wordmark","g","w","l","w_l_percent","srs","sos","offense_mp","offense_fg","offense_fga","offense_fg_percent","offense_x3p","offense_x3pa","offense_x3p_percent","offense_ft","offense_fta","offense_ft_percent","offense_orb","offense_trb","offense_ast","offense_stl","offense_blk","offense_tov","offense_pf","defense_mp","defense_fg","defense_fga","defense_fg_percent","defense_x3p","defense_x3pa","defense_x3p_percent","defense_ft","defense_fta","defense_ft_percent","defense_orb","defense_trb","defense_ast","defense_stl","defense_blk","defense_tov","defense_pf","offense_pace","offense_o_rtg","offense_f_tr","offense_x3p_ar","offense_ts_percent","offense_trb_percent","offense_ast_percent","offense_stl_percent","offense_blk_percent","offense_e_fg_percent","offense_tov_percent","offense_orb_percent","offense_ft_fga","defense_pace","defense_o_rtg","defense_f_tr","defense_x3p_ar","defense_ts_percent","defense_trb_percent","defense_ast_percent","defense_stl_percent","defense_blk_percent","defense_e_fg_percent","defense_tov_percent","defense_orb_percent","defense_ft_fga","offense_x2p_percent","offense_drb_percent"
"Alabama","http://a.espncdn.com/i/teamlogos/ncaa/500/333.png","P5","#690014","#f1f2f3","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/alabama_crimson_tide_logo_secondary_19987746.png",8,6,2,0.75,23.73,4.48,320,243,487,0.499,85,208,0.409,182,228,0.798,101,324,122,64,40,94,146,320,211,485,0.435,59,181,0.326,118,170,0.694,82,253,82,53,31,102,183,73.4,128.3,0.468,0.427,0.632,56.2,50.2,10.9,13.2,0.586,13.6,37.1,0.374,73.4,102,0.351,0.373,0.529,43.8,38.9,9,11.1,0.496,15.3,26.9,0.243,0.566308243727599,73.1
"Boise State","http://a.espncdn.com/i/teamlogos/ncaa/500/68.png","G5","#09347A","#d8d9da","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/boise_state_broncos_logo_wordmark_2013_sportslogosnet-5682.png",8,5,3,0.625,8.64,11.64,320,186,441,0.422,48,164,0.293,128,175,0.731,71,272,85,57,21,100,133,320,198,452,0.438,41,141,0.291,98,132,0.742,68,269,87,46,34,106,147,69.1,99.1,0.397,0.372,0.523,50.3,45.7,10.3,6.8,0.476,16,26.1,0.29,69.1,96.7,0.292,0.312,0.52,49.7,43.9,8.3,12.3,0.483,17.1,25.3,0.217,0.498194945848375,74.7
"Boston College","http://a.espncdn.com/i/teamlogos/ncaa/500/103.png","P5","#88001a","#a39161","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/7381_boston_college-wordmark.png",9,6,3,0.667,7.37,1.81,365,254,557,0.456,63,189,0.333,116,149,0.779,88,328,121,66,39,93,135,365,231,538,0.429,76,201,0.378,99,132,0.75,85,317,115,50,36,119,139,69.5,108.4,0.268,0.339,0.547,50.9,47.6,10.4,11.6,0.513,12.9,27.5,0.208,69.5,100.5,0.245,0.374,0.53,49.1,49.8,7.9,9.8,0.5,16.5,26.2,0.184,0.519021739130435,73.8
"Clemson","http://a.espncdn.com/i/teamlogos/ncaa/500/228.png","P5","#F66733","#522d80","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/2397_clemson_tigers-wordmark-2014.png",8,8,0,1,17.28,6.53,320,230,481,0.478,80,195,0.41,94,131,0.718,76,301,135,36,42,79,139,320,186,462,0.403,64,190,0.337,112,161,0.696,72,269,87,46,18,79,131,68.2,116.1,0.272,0.405,0.584,52.8,58.7,6.6,15.4,0.561,12.7,27.8,0.195,68.2,100.4,0.348,0.411,0.509,47.2,46.8,8.4,6.3,0.472,12.8,24.2,0.242,0.524475524475524,75.8
"Duke","http://a.espncdn.com/i/teamlogos/ncaa/500/150.png","P5","#001A57","#f1f2f3","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/1549_duke_blue_devils-wordmark-1978.png",8,5,3,0.625,17.47,3.72,320,235,494,0.476,58,174,0.333,119,169,0.704,83,296,128,53,32,69,132,320,196,460,0.426,56,173,0.324,89,128,0.695,67,267,115,35,38,101,138,69.7,115.9,0.342,0.352,0.563,52.6,54.5,9.5,11.1,0.534,10.7,29.3,0.241,69.7,96.2,0.278,0.376,0.516,47.4,58.7,6.3,11.9,0.487,16.2,23.9,0.193,0.553125,76.1
"Florida State","http://a.espncdn.com/i/teamlogos/ncaa/500/52.png","P5","#782F40","#ceb888","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/5954_florida_state_seminoles-wordmark-2014.png",7,4,3,0.571,10.75,5.46,285,201,441,0.456,58,160,0.363,92,137,0.672,71,249,106,67,29,93,154,285,175,406,0.431,35,139,0.252,130,195,0.667,91,268,81,47,19,114,126,73.7,105.1,0.311,0.363,0.545,48.2,52.7,12.8,10.9,0.522,15.5,28.6,0.209,73.7,98.1,0.48,0.342,0.516,51.8,46.3,9,6.8,0.474,18.6,33.8,0.32,0.508896797153025,66.2
"Georgia Tech","http://a.espncdn.com/i/teamlogos/ncaa/500/59.png","P5","#00223e","#002c56","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/georgia_tech_wordmark_gt_lockup_02.png",7,4,3,0.571,3.15,5.29,280,176,445,0.396,51,171,0.298,95,145,0.655,97,277,90,40,41,82,123,280,182,438,0.416,49,172,0.285,100,141,0.709,83,272,77,44,30,76,124,71.2,100,0.326,0.384,0.485,50.5,51.1,8,15.4,0.453,13.8,33.9,0.213,71.2,103,0.322,0.393,0.508,49.5,42.3,8.8,10.9,0.471,13.1,31.6,0.228,0.456204379562044,68.4
"Louisville","http://a.espncdn.com/i/teamlogos/ncaa/500/97.png","P5","#ad000a","#cccccc","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/8185_louisville_cardinals-wordmark-2013.png",8,4,4,0.5,-3.34,-4.09,325,198,472,0.419,43,151,0.285,164,222,0.739,106,312,84,43,24,107,152,325,214,480,0.446,47,158,0.297,122,170,0.718,84,282,107,55,26,96,176,70.8,104.7,0.47,0.32,0.522,52.5,42.4,7.5,7.5,0.465,15.6,34.9,0.347,70.8,103.6,0.354,0.329,0.532,47.5,50,9.5,8.1,0.495,14.6,29,0.254,0.482866043613707,71
"Memphis","http://a.espncdn.com/i/teamlogos/ncaa/500/235.png","G5","#002447","#231f20","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/memphis_tigers_logo_wordmark_2021_sportslogosnet-8745.png",8,6,2,0.75,8.94,3.44,325,222,488,0.455,65,185,0.351,127,175,0.726,89,300,103,69,41,110,142,325,208,516,0.403,72,214,0.336,104,142,0.732,111,314,97,54,35,114,155,72.5,108,0.359,0.379,0.557,48.9,46.4,11.7,13.6,0.522,16.1,30.5,0.26,72.5,100.5,0.275,0.415,0.507,51.1,46.6,9.2,11.6,0.473,16.3,34.5,0.202,0.518151815181518,65.5
"Miami","http://a.espncdn.com/i/teamlogos/ncaa/500/2390.png","P5","#004325","#f0f0f0","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/2537_miami_wordmark.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
