"school","logo","type","color","alt_color","wordmark"
"Alabama","http://a.espncdn.com/i/teamlogos/ncaa/500/333.png","P5","#690014","#f1f2f3","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/alabama_crimson_tide_logo_secondary_19987746.png"
"Boise State","http://a.espncdn.com/i/teamlogos/ncaa/500/68.png","G5","#09347A","#d8d9da","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/boise_state_broncos_logo_wordmark_2013_sportslogosnet-5682.png"
"Boston College","http://a.espncdn.com/i/teamlogos/ncaa/500/103.png","P5","#88001a","#a39161","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/7381_boston_college-wordmark.png"
"Clemson","http://a.espncdn.com/i/teamlogos/ncaa/500/228.png","P5","#F66733","#522d80","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/2397_clemson_tigers-wordmark-2014.png"
"Duke","http://a.espncdn.com/i/teamlogos/ncaa/500/150.png","P5","#001A57","#f1f2f3","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/1549_duke_blue_devils-wordmark-1978.png"
"Florida State","http://a.espncdn.com/i/teamlogos/ncaa/500/52.png","P5","#782F40","#ceb888","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/5954_florida_state_seminoles-wordmark-2014.png"
"Georgia Tech","http://a.espncdn.com/i/teamlogos/ncaa/500/59.png","P5","#00223e","#002c56","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/georgia_tech_wordmark_gt_lockup_02.png"
"Louisville","http://a.espncdn.com/i/teamlogos/ncaa/500/97.png","P5","#ad000a","#cccccc","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/8185_louisville_cardinals-wordmark-2013.png"
"Memphis","http://a.espncdn.com/i/teamlogos/ncaa/500/235.png","G5","#002447","#231f20","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/memphis_tigers_logo_wordmark_2021_sportslogosnet-8745.png"
"Miami","http://a.espncdn.com/i/teamlogos/ncaa/500/2390.png","P5","#004325","#f0f0f0","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/2537_miami_wordmark.png"
