"school","logo","type","color","alt_color","wordmark","g","w","l","w_l_percent","srs","sos","offense_mp","offense_fg","offense_fga","offense_fg_percent","offense_x3p","offense_x3pa","offense_x3p_percent","offense_ft","offense_fta","offense_ft_percent","offense_orb","offense_trb","offense_ast","offense_stl","offense_blk","offense_tov","offense_pf","defense_mp","defense_fg","defense_fga","defense_fg_percent","defense_x3p","defense_x3pa","defense_x3p_percent","defense_ft","defense_fta","defense_ft_percent","defense_orb","defense_trb","defense_ast","defense_stl","defense_blk","defense_tov","defense_pf","offense_pace","offense_o_rtg","offense_f_tr","offense_x3p_ar","offense_ts_percent","offense_trb_percent","offense_ast_percent","offense_stl_percent","offense_blk_percent","offense_e_fg_percent","offense_tov_percent","offense_orb_percent","offense_ft_fga","defense_pace","defense_o_rtg","defense_f_tr","defense_x3p_ar","defense_ts_percent","defense_trb_percent","defense_ast_percent","defense_stl_percent","defense_blk_percent","defense_e_fg_percent","defense_tov_percent","defense_orb_percent","defense_ft_fga","offense_x2p_percent","offense_drb_percent"
"Alabama","http://a.espncdn.com/i/teamlogos/ncaa/500/333.png","P5","#690014","#f1f2f3","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/alabama_crimson_tide_logo_secondary_19987746.png",8,6,2,0.75,23.73,4.48,320,243,487,0.499,85,208,0.409,182,228,0.798,101,324,122,64,40,94,146,320,211,485,0.435,59,181,0.326,118,170,0.694,82,253,82,53,31,102,183,73.4,128.3,0.468,0.427,0.632,56.2,50.2,10.9,13.2,0.586,13.6,37.1,0.374,73.4,102,0.351,0.373,0.529,43.8,38.9,9,11.1,0.496,15.3,26.9,0.243,0.566308243727599,73.1
"Arizona State","http://a.espncdn.com/i/teamlogos/ncaa/500/9.png","P5","#942139","#f1f2f3","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/2342_arizona_state_sun_devils-wordmark-2012.png",8,6,2,0.75,9.16,7.28,320,191,460,0.415,45,157,0.287,120,193,0.622,69,292,98,67,30,84,127,320,197,502,0.392,56,206,0.272,82,119,0.689,103,342,102,46,15,118,156,71.3,96,0.42,0.341,0.496,46.1,51.3,11.8,10.1,0.464,13.2,22.4,0.261,71.3,93.3,0.237,0.41,0.476,53.9,51.8,8.1,5,0.448,17.4,31.6,0.163,0.481848184818482,68.4
"Arkansas","http://a.espncdn.com/i/teamlogos/ncaa/500/8.png","P5","#9c1831","#000000","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/2749_arkansas_razorbacks-wordmark-2014.png",9,6,3,0.667,9.73,3.4,370,250,528,0.473,65,185,0.351,177,253,0.7,86,345,110,51,64,108,191,370,234,563,0.416,70,202,0.347,147,215,0.684,96,315,116,58,16,107,201,72.8,110.3,0.479,0.35,0.572,52.3,44,7.6,17.7,0.535,14.3,28.2,0.335,72.8,101.8,0.382,0.359,0.515,47.7,49.6,8.6,4.7,0.478,13.9,27,0.261,0.53935860058309,73
"Auburn","http://a.espncdn.com/i/teamlogos/ncaa/500/2.png","P5","#03244d","#f1f2f3","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/auburn_tigers_logo_wordmark_20067195.png",7,5,2,0.714,16.32,3.18,280,189,426,0.444,48,162,0.296,124,179,0.693,99,289,129,44,40,83,143,280,150,402,0.373,36,135,0.267,122,159,0.767,79,241,59,48,15,95,142,70.6,111.3,0.42,0.38,0.538,54.5,68.3,8.9,15,0.5,14,37.9,0.291,70.6,92.7,0.396,0.336,0.48,45.5,39.3,9.7,5.7,0.418,16.6,29.4,0.303,0.534090909090909,70.6
"Florida","http://a.espncdn.com/i/teamlogos/ncaa/500/57.png","P5","#0021A5","#0021a5","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/9227_florida_gators-wordmark-1992.png",8,5,3,0.625,16.41,6.54,320,235,511,0.46,56,169,0.331,140,214,0.654,132,345,128,62,38,107,147,320,208,494,0.421,56,169,0.331,115,169,0.68,91,269,102,70,26,101,158,73.2,113.7,0.419,0.331,0.544,56.2,54.5,10.6,11.7,0.515,14.9,42.6,0.274,73.2,100.2,0.342,0.342,0.511,43.8,49,11.9,7.6,0.478,15,29.9,0.233,0.523391812865497,70.1
"Georgia","http://a.espncdn.com/i/teamlogos/ncaa/500/61.png","P5","#CC0000","#000000","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/georgia_bulldogs_logo_wordmark_20156350.png",9,6,3,0.667,6.82,4.6,360,212,525,0.404,72,227,0.317,153,217,0.705,91,345,101,51,27,103,160,360,225,573,0.393,65,208,0.313,114,162,0.704,113,365,117,48,30,100,182,70.9,101.6,0.413,0.432,0.517,48.6,47.6,8,7.4,0.472,14.1,26.5,0.291,70.9,98.4,0.283,0.363,0.484,51.4,52,7.5,10.1,0.449,13.3,30.8,0.199,0.469798657718121,69.2
"Georgia Tech","http://a.espncdn.com/i/teamlogos/ncaa/500/59.png","P5","#00223e","#002c56","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/georgia_tech_wordmark_gt_lockup_02.png",7,4,3,0.571,3.15,5.29,280,176,445,0.396,51,171,0.298,95,145,0.655,97,277,90,40,41,82,123,280,182,438,0.416,49,172,0.285,100,141,0.709,83,272,77,44,30,76,124,71.2,100,0.326,0.384,0.485,50.5,51.1,8,15.4,0.453,13.8,33.9,0.213,71.2,103,0.322,0.393,0.508,49.5,42.3,8.8,10.9,0.471,13.1,31.6,0.228,0.456204379562044,68.4
"Kentucky","http://a.espncdn.com/i/teamlogos/ncaa/500/96.png","P5","#005DAA","#ffffff","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/kentucky_wildcats_logo_wordmark_20162011.png",8,6,2,0.75,17.87,-0.63,325,267,528,0.506,88,212,0.415,112,151,0.742,70,299,160,76,38,70,114,325,208,503,0.414,72,220,0.327,98,140,0.7,84,295,113,41,20,117,129,74,122.1,0.286,0.402,0.612,50.3,59.9,12.6,13.4,0.589,10.5,24.9,0.212,74,97.5,0.278,0.437,0.514,49.7,54.3,6.8,6.3,0.485,17,26.8,0.195,0.566455696202532,73.2
"LSU","http://a.espncdn.com/i/teamlogos/ncaa/500/99.png","P5","#22005c","#fdd023","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/lsu_tigers_logo_wordmark_20029527.png",8,5,3,0.625,3.97,-1.91,325,204,439,0.465,49,151,0.325,139,192,0.724,85,287,83,78,36,115,138,325,181,469,0.386,79,221,0.357,108,141,0.766,104,279,90,64,28,124,148,68.7,106.8,0.437,0.344,0.562,50.7,40.7,14,14.5,0.521,17.8,32.7,0.317,68.7,98.4,0.301,0.471,0.512,49.3,49.7,11.5,9.7,0.47,18.8,34,0.23,0.538194444444444,66
"Mississippi State","http://a.espncdn.com/i/teamlogos/ncaa/500/344.png","P5","#762123","#c8c8c8","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/8440_mississippi_state_bulldogs-wordmark-2009.png",8,6,2,0.75,13.77,2.4,320,196,473,0.414,62,212,0.292,119,164,0.726,98,335,108,68,28,111,130,320,169,462,0.366,45,177,0.254,99,145,0.683,77,276,74,69,23,106,144,70.2,102,0.347,0.448,0.52,54.8,55.1,12.1,9.8,0.48,16.8,33,0.252,70.2,85.8,0.314,0.383,0.454,45.2,43.8,12.3,8.8,0.415,16.6,24.5,0.214,0.513409961685824,75.5
"Missouri","http://a.espncdn.com/i/teamlogos/ncaa/500/142.png","P5","#000000","#000000","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/missouri_tigers_logo_wordmark_2018_sportslogosnet-1762.png",9,7,2,0.778,5.26,-2.96,360,240,528,0.455,87,248,0.351,112,145,0.772,82,307,131,84,60,102,157,360,209,516,0.405,60,198,0.303,127,174,0.73,107,333,106,57,25,128,151,68.7,109.9,0.275,0.47,0.569,48,54.6,13.6,18.9,0.537,14.6,26.6,0.212,68.7,97.9,0.337,0.384,0.505,52,50.7,9.2,8.9,0.463,17.6,32.2,0.246,0.546428571428571,67.8
"North Texas","http://a.espncdn.com/i/teamlogos/ncaa/500/249.png","G5","#00853D","#000000","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/north_texas_mean_green_logo_wordmark_20051155.png",8,5,3,0.625,7.32,-1.82,325,192,434,0.442,66,176,0.375,109,140,0.779,91,283,88,60,18,99,131,325,163,412,0.396,44,143,0.308,96,137,0.701,76,238,72,53,21,113,128,62.9,109.4,0.323,0.406,0.558,54.3,45.8,11.7,6.7,0.518,16.5,36,0.251,62.9,91.2,0.333,0.347,0.488,45.7,44.2,10.4,8.1,0.449,19.2,28.4,0.233,0.488372093023256,71.6
"Northwestern","http://a.espncdn.com/i/teamlogos/ncaa/500/77.png","P5","#372286","#d6cac1","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/6442_northwestern_wildcats-wordmark-1981.png",7,6,1,0.857,12.47,5.61,285,188,408,0.461,49,142,0.345,91,123,0.74,64,211,109,62,25,56,126,285,160,360,0.444,55,150,0.367,93,131,0.71,72,238,96,25,30,108,123,64.3,112.7,0.301,0.348,0.553,47,58,13.5,11.9,0.521,10.7,27.8,0.223,64.3,102.2,0.364,0.417,0.554,53,60,5.5,11.3,0.521,20.4,32.9,0.258,0.522556390977444,67.1
"Ole Miss","http://a.espncdn.com/i/teamlogos/ncaa/500/145.png","P5","#001148","#00205b","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/mississippi_rebels_logo_wordmark_20206855.png",8,8,0,1,4.22,-3.03,320,211,473,0.446,55,152,0.362,113,153,0.739,84,294,130,66,54,83,109,320,198,498,0.398,52,187,0.278,84,114,0.737,105,299,103,54,20,99,137,68.2,108.3,0.323,0.321,0.541,49.6,61.6,12.1,17.4,0.504,13.2,30.2,0.239,68.2,97.6,0.229,0.376,0.482,50.4,52,9.9,6.2,0.45,15.2,33.3,0.169,0.485981308411215,66.7
"Rutgers","http://a.espncdn.com/i/teamlogos/ncaa/500/164.png","P5","#d21034","#ffffff","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/rutgers_scarlet_knights_logo_wordmark_2016_sportslogosnet-2651.png",8,5,3,0.625,9.03,2.4,320,185,458,0.404,48,157,0.306,120,184,0.652,94,294,97,64,46,91,132,320,172,461,0.373,57,180,0.317,84,126,0.667,107,323,76,51,27,131,155,68,98.9,0.402,0.343,0.493,47.6,52.4,11.8,16.4,0.456,14.3,30.3,0.262,68,89.2,0.273,0.39,0.466,52.4,44.2,9.4,9,0.435,20.1,34.9,0.182,0.45514950166113,65.1
"South Carolina","http://a.espncdn.com/i/teamlogos/ncaa/500/2579.png","P5","#670010","#000000","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/south_carolina_gamecocks_logo_alternate_2008_sportslogosnet-4735.png",8,7,1,0.875,13.27,3.02,320,210,459,0.458,76,194,0.392,108,154,0.701,80,282,119,45,26,80,137,320,182,445,0.409,49,144,0.34,109,152,0.717,72,263,91,42,30,90,142,66.7,113.1,0.336,0.423,0.568,51.7,56.7,8.4,8.6,0.54,13.1,29.5,0.235,66.7,97.8,0.342,0.324,0.505,48.3,50,7.9,11.3,0.464,14.8,26.3,0.245,0.505660377358491,73.7
"Tennessee","http://a.espncdn.com/i/teamlogos/ncaa/500/2633.png","P5","#EE9627","#ffffff","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/tennessee_volunteers_logo_wordmark_20052034.png",8,5,3,0.625,21.51,10.76,320,216,494,0.437,68,205,0.332,121,159,0.761,80,302,123,60,39,81,151,320,181,456,0.397,55,173,0.318,118,186,0.634,76,278,95,42,20,108,134,71.7,108.4,0.322,0.415,0.545,52.1,56.9,10.5,13.8,0.506,12.5,28.4,0.245,71.7,93.4,0.408,0.379,0.491,47.9,52.5,7.3,6.9,0.457,16.6,25.5,0.259,0.512110726643599,74.5
