"Team","split","variable","game_code","stats"
"UTEP","recency5","Winning_Margin","California 20231120",3
"UTEP","recency5","Winning_Margin","Bradley 20231122",-4
"UTEP","recency5","Winning_Margin","Loyola Marymount 20231125",-20
"UTEP","recency5","Winning_Margin","Texas A&M-CC 20231129",-4
"UTEP","recency5","Winning_Margin","Western New Mexico 20231204",28
"UTEP","recency10","Winning_Margin","McMurry 20231106",49
"UTEP","recency10","Winning_Margin","Univ. of Science and A 20231109",51
"UTEP","recency10","Winning_Margin","UC Santa Barbara 20231113",13
"UTEP","recency10","Winning_Margin","Austin Peay 20231117",8
"UTEP","recency10","Winning_Margin","California 20231120",3
"UTEP","recency10","Winning_Margin","Bradley 20231122",-4
"UTEP","recency10","Winning_Margin","Loyola Marymount 20231125",-20
"UTEP","recency10","Winning_Margin","Texas A&M-CC 20231129",-4
"UTEP","recency10","Winning_Margin","Western New Mexico 20231204",28
"UTEP","home","Winning_Margin","McMurry 20231106",49
"UTEP","home","Winning_Margin","Univ. of Science and A 20231109",51
"UTEP","home","Winning_Margin","UC Santa Barbara 20231113",13
"UTEP","home","Winning_Margin","Austin Peay 20231117",8
"UTEP","home","Winning_Margin","Texas A&M-CC 20231129",-4
"UTEP","home","Winning_Margin","Western New Mexico 20231204",28
"UTEP","away","Winning_Margin","California 20231120",3
"UTEP","away","Winning_Margin","Bradley 20231122",-4
"UTEP","away","Winning_Margin","Loyola Marymount 20231125",-20
"UTEP","net100","Winning_Margin","Bradley 20231122",-4
"UTEP","wins","Winning_Margin","McMurry 20231106",49
"UTEP","wins","Winning_Margin","Univ. of Science and A 20231109",51
"UTEP","wins","Winning_Margin","UC Santa Barbara 20231113",13
"UTEP","wins","Winning_Margin","Austin Peay 20231117",8
"UTEP","wins","Winning_Margin","California 20231120",3
"UTEP","wins","Winning_Margin","Western New Mexico 20231204",28
"UTEP","losses","Winning_Margin","Bradley 20231122",-4
"UTEP","losses","Winning_Margin","Loyola Marymount 20231125",-20
"UTEP","losses","Winning_Margin","Texas A&M-CC 20231129",-4
"UTEP","recency5","Pace","California 20231120",68
"UTEP","recency5","Pace","Bradley 20231122",70
"UTEP","recency5","Pace","Loyola Marymount 20231125",70
"UTEP","recency5","Pace","Texas A&M-CC 20231129",73
"UTEP","recency5","Pace","Western New Mexico 20231204",69
"UTEP","recency10","Pace","McMurry 20231106",94
"UTEP","recency10","Pace","Univ. of Science and A 20231109",84
