"#","player_join","URL","first","last","Team","Class","Pos","Height","Weight","GP","GS","MPG","Poss%","USG%","PG","SG","SF","PF","C","PER","OBPM","DBPM","BPM","PPG","FD/40","2P%","3P%","3PAr","eFG%","TS%","FT%","FTr","ApG","AST:TO","AST%","TOV%","ORB%","DRB%","TRB%","STL%","BLK%","FC/40","All Players","Guards","Wings","Bigs","Starters","Lefties"
2,"TAEHARDY","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4396616.png","Tae","Hardy","UTEP","Sr","G","6-3",190,9,9,30.2,22.7,22.5,NA,93.9024390243902,6.09756097560976,NA,NA,19.3,1.7,1.3,3,14.8,4.6,43.5,40,42.1,50.5,54,73.5,31.8,3.7,3.08,21.6,8.2,1.2,10.5,5.9,3.5,0.8,2.4,1,1,0,0,1,0
0,"YAZIDPOWELL","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5108761.png","Yazid","Powell","UTEP","Sr","G","6-4",204,9,9,24.1,30.7,27.3,100,NA,NA,NA,NA,16.9,-1.9,2.2,0.4,11.6,6.3,50,25.9,32.5,46.4,51.2,69.2,47,3.3,1.06,24.4,21.6,5.1,18.8,12,4.2,1.5,4.8,1,1,0,0,1,0
23,"OTISFRAZIER","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4700882.png","Otis","Frazier","UTEP","Jr","G","6-6",212,9,8,23.8,19,20.1,NA,NA,63.0769230769231,36.9230769230769,NA,21.4,1.1,0.9,2,11,5.1,57.8,25,34.8,50.7,56.3,72.5,58,1.7,2.43,12.1,6.4,8.3,11.3,9.8,3.7,1,2.8,1,0,1,0,1,0
13,"CALVINSOLOMON","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4594155.png","Calvin","Solomon","UTEP","Sr","F","6-7",205,9,9,22.9,22.2,19.4,NA,NA,NA,77.6119402985075,22.3880597014925,19.9,-1.3,3.3,2,9.6,6.2,55.3,0,2.1,54.2,61.1,72.3,97.9,2.6,1.37,18.6,19.5,5.9,13.4,9.6,3.6,4.3,5.5,1,0,0,1,1,0
4,"COREYCAMPER","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5177690.png","Corey","Camper Jr.","UTEP","Jr","G","6-5",185,9,1,21.6,13.5,17.3,NA,18.3333333333333,81.6666666666667,NA,NA,14.1,-2.8,-1,-3.8,8.3,2.1,54.5,34.6,44.1,53.4,55.5,66.7,30.5,0.9,1.29,7,8.2,4,4.5,4.3,2.2,1.7,2,1,0,1,0,0,0
33,"ELIJAHJONES","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5106056.png","Elijah","Jones","UTEP","Fr","F","6-8",205,9,0,13.8,18.2,21.1,NA,NA,NA,46.6666666666667,53.3333333333333,24.5,-4.6,-0.7,-5.3,8,3,77.4,41.7,27.9,73.3,74.7,81.8,25.6,0.1,0.1,1.6,15.7,5.4,16.9,11.1,3,4.5,4.1,1,0,0,1,0,0
34,"KEVINKALU","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4897577.png","Kevin","Kalu","UTEP","Jr","F","6-9",238,9,9,19.6,11.2,13,NA,NA,NA,NA,100,11.1,-3.4,-0.3,-3.7,4.9,3.4,66.7,NA,0,66.7,56.4,21.1,63.3,0,0,0,22,12.6,23.1,17.9,0.9,3.8,5.4,1,0,0,1,1,0
5,"DAVIDTERRELL","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5177691.png","David","Terrell Jr.","UTEP","Fr","G","6-4",190,9,0,16.1,17.5,17,70.5882352941177,14.7058823529412,14.7058823529412,NA,NA,11.8,-4.3,2.7,-1.6,4.4,4.6,51.9,0,12.9,45.2,51.2,70.6,54.8,2.7,1.59,26.2,27.7,1.5,9.9,5.7,3.7,2.3,3.5,1,1,0,0,0,0
32,"DERICKHAMILTON","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5106850.png","Derick","Hamilton","UTEP","Jr","F","6-10",270,8,0,5.6,24,28.8,NA,NA,NA,NA,100,21.5,-17.5,-2,-19.5,3.8,1.5,81.3,0,5.9,76.5,73.8,57.1,41.2,0,0,0,28.2,12.3,9.8,11,2.4,7.4,7.5,1,0,0,1,0,0
21,"SEBASTIANCOLE","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5177693.png","Sebastian","Cole","UTEP","Jr","G","5-11",175,5,0,13.8,16.1,15.2,53.3333333333333,46.6666666666667,NA,NA,NA,11.5,-11.1,1.9,-9.1,3.8,1.2,62.5,27.3,57.9,50,50,NA,0,2.2,2.75,26.1,17.4,1.6,3.2,2.4,3.9,0,8.6,1,1,0,0,0,0
1,"JONATHANDOS","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4431944.png","Jonathan","dos Anjos","UTEP","Sr","F","6-8",205,9,0,8.4,18.1,18.3,NA,NA,NA,50,50,5.4,-16.1,2.7,-13.4,2.1,1.9,55.6,21.4,60.9,41.3,40.5,0,4.3,0.2,0.25,4.2,23,10.2,23.2,16.7,2.8,1.5,11.7,1,0,0,1,0,0
11,"TREYHORTON","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5177692.png","Trey","Horton","UTEP",NA,"G",NA,NA,5,0,8,NA,16.4,NA,NA,NA,NA,NA,14,-5.5,-1.5,-7,2,NA,66.7,0,72.7,18.2,34.9,85.7,63.6,1.2,Inf,22.1,0,8.3,13.8,11,1.3,2.8,NA,1,1,NA,NA,0,0
20,"GARRETTLEVESQUE","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4896955.png","Garrett","Levesque","UTEP","Jr","G","6-6",205,4,0,5.5,26.8,12.5,NA,NA,NA,NA,NA,18.9,-11,-2.3,-13.3,1.5,1.6,75,0,20,60,60,NA,0,1.3,4.33,38.4,16.7,15.1,25,20.1,0,0,8,1,1,NA,NA,0,0
3,"BAYLORHEBB","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4585600.png","Baylor","Hebb","UTEP",NA,"G",NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,0,0
15,"ANTWONNEHOLMES","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5106848.png","Antwonne","Holmes","UTEP",NA,"G",NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,0,0
1,"DOMINIQUEDANIELS","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5178207.png","Dominique","Daniels Jr.","California Baptist","So","G","5-10",180,8,8,31.9,27.7,28.7,100,NA,NA,NA,NA,19.2,5.4,-0.5,4.9,18,4.7,40.7,36.2,49.6,47.4,52.9,82.5,34.2,3,2,21.9,8.1,2.1,3.1,2.6,1.6,0,1,1,1,0,0,0,0
3,"BLONDEAUTCHOUKUIEGNO","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4593989.png","Blondeau","Tchoukuiegno","California Baptist","Jr","G","6-2",185,8,3,25.9,18.4,19.3,24.3243243243243,75.6756756756757,NA,NA,NA,17.8,4.3,0.8,5.1,11.3,5.6,71,34.8,42.6,63,62.5,57.9,70.4,1.6,1.45,13.6,11.1,2.5,8.3,5.3,1.1,0.5,2.4,1,1,0,0,0,0
4,"BRANTLYSTEVENSON","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4702353.png","Brantly","Stevenson","California Baptist","Sr","F","6-4",185,8,4,28.5,17.1,18.8,NA,NA,100,NA,NA,14.6,1.8,0.1,1.9,10.9,2.5,40,44.7,55.9,55.1,58.3,85.7,20.6,1.4,0.93,10.1,13.8,4.6,10.1,7.2,1.3,1.3,3.5,1,0,1,0,0,0
24,"YVANOUEDRAOGO","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4592706.png","Yvan","Ouedraogo","California Baptist","Sr","F","6-9",250,7,7,26.7,23,22.2,NA,NA,NA,NA,100,20.8,2.5,0.1,2.6,11.4,5.7,60.4,NA,0,60.4,56.3,42.1,71.7,1.3,0.68,11.1,15.5,12.3,24.5,18.2,1,1.6,2.3,1,0,0,1,0,0
10,"HUNTERGOODRICK","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4593836.png","Hunter","Goodrick","California Baptist","Jr","F","6-7",225,8,8,32.3,19.4,17.3,NA,NA,NA,100,NA,12.7,-2.2,0.4,-1.8,8.3,3.4,43.2,22.2,17,41.5,49.1,73.3,56.6,2.3,0.79,13.3,25.5,11,24.5,17.4,1.1,1.5,3.6,1,0,1,0,0,0
12,"SCOTTYWASHINGTON","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4896852.png","Scotty","Washington","California Baptist","So","G","6-4",180,8,5,14.6,21.8,23.3,NA,45.7142857142857,54.2857142857143,NA,NA,11.6,-0.9,0.3,-0.7,5.8,3.6,38.1,26.1,52.3,38.6,45,80,34.1,0.6,1.2,8.8,7.3,0.9,8.8,4.7,1.5,2.5,1.4,1,0,1,0,0,0
11,"TYLENRILEY","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5178210.png","Tylen","Riley","California Baptist","Fr","G","6-3",180,8,4,11.9,18.8,19.9,NA,66.6666666666667,33.3333333333333,NA,NA,11.4,-4.1,-0.3,-4.3,3.6,2.8,42.1,21.4,42.4,37.9,39.9,57.1,21.2,1.3,4.33,21.5,5.2,2.2,19.3,10.4,1.9,1,6.2,1,0,1,0,0,0
21,"MALIKWADE","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4702040.png","Malik","Wade","California Baptist","Jr","F","6-8",235,8,1,16,7.8,7.7,NA,NA,NA,35.2941176470588,64.7058823529412,9.2,-7.3,3,-4.3,1.8,0.9,60,NA,0,60,63.9,100,20,0.9,0.82,9.8,45.1,9,21.5,15,2.3,0.8,8.5,1,0,0,1,0,0
