"school","logo","type","color","alt_color","wordmark"
"Alabama","http://a.espncdn.com/i/teamlogos/ncaa/500/333.png","P5","#690014","#f1f2f3","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/alabama_crimson_tide_logo_secondary_19987746.png"
"Arizona State","http://a.espncdn.com/i/teamlogos/ncaa/500/9.png","P5","#942139","#f1f2f3","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/2342_arizona_state_sun_devils-wordmark-2012.png"
"Arkansas","http://a.espncdn.com/i/teamlogos/ncaa/500/8.png","P5","#9c1831","#000000","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/2749_arkansas_razorbacks-wordmark-2014.png"
"Auburn","http://a.espncdn.com/i/teamlogos/ncaa/500/2.png","P5","#03244d","#f1f2f3","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/auburn_tigers_logo_wordmark_20067195.png"
"Florida","http://a.espncdn.com/i/teamlogos/ncaa/500/57.png","P5","#0021A5","#0021a5","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/9227_florida_gators-wordmark-1992.png"
"Georgia","http://a.espncdn.com/i/teamlogos/ncaa/500/61.png","P5","#CC0000","#000000","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/georgia_bulldogs_logo_wordmark_20156350.png"
"Georgia Tech","http://a.espncdn.com/i/teamlogos/ncaa/500/59.png","P5","#00223e","#002c56","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/georgia_tech_wordmark_gt_lockup_02.png"
"Kentucky","http://a.espncdn.com/i/teamlogos/ncaa/500/96.png","P5","#005DAA","#ffffff","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/kentucky_wildcats_logo_wordmark_20162011.png"
"LSU","http://a.espncdn.com/i/teamlogos/ncaa/500/99.png","P5","#22005c","#fdd023","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/lsu_tigers_logo_wordmark_20029527.png"
"Mississippi State","http://a.espncdn.com/i/teamlogos/ncaa/500/344.png","P5","#762123","#c8c8c8","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/8440_mississippi_state_bulldogs-wordmark-2009.png"
"Missouri","http://a.espncdn.com/i/teamlogos/ncaa/500/142.png","P5","#000000","#000000","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/missouri_tigers_logo_wordmark_2018_sportslogosnet-1762.png"
"North Texas","http://a.espncdn.com/i/teamlogos/ncaa/500/249.png","G5","#00853D","#000000","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/north_texas_mean_green_logo_wordmark_20051155.png"
"Northwestern","http://a.espncdn.com/i/teamlogos/ncaa/500/77.png","P5","#372286","#d6cac1","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/6442_northwestern_wildcats-wordmark-1981.png"
"Ole Miss","http://a.espncdn.com/i/teamlogos/ncaa/500/145.png","P5","#001148","#00205b","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/mississippi_rebels_logo_wordmark_20206855.png"
"Rutgers","http://a.espncdn.com/i/teamlogos/ncaa/500/164.png","P5","#d21034","#ffffff","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/rutgers_scarlet_knights_logo_wordmark_2016_sportslogosnet-2651.png"
"South Carolina","http://a.espncdn.com/i/teamlogos/ncaa/500/2579.png","P5","#670010","#000000","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/south_carolina_gamecocks_logo_alternate_2008_sportslogosnet-4735.png"
"Tennessee","http://a.espncdn.com/i/teamlogos/ncaa/500/2633.png","P5","#EE9627","#ffffff","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/tennessee_volunteers_logo_wordmark_20052034.png"
"Texas A&M","http://a.espncdn.com/i/teamlogos/ncaa/500/245.png","P5","#5C0025","#ffffff","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/2346_texas_a&m_aggies-wordmark-2001.png"
"Tulane","http://a.espncdn.com/i/teamlogos/ncaa/500/2655.png","G5","#005837","#3baf29","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/6263_tulane_green_wave-wordmark-2014.png"
"Vanderbilt","http://a.espncdn.com/i/teamlogos/ncaa/500/238.png","P5","#000000","#231f20","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/vanderbilt_commodores_logo_wordmark_2012_sportslogosnet-9359.png"
"Washington State","http://a.espncdn.com/i/teamlogos/ncaa/500/265.png","P5","#94022a","#6a747c","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/1054_washington_state_cougars-wordmark-2011.png"
"Bethune-Cookman","http://a.espncdn.com/i/teamlogos/ncaa/500/2065.png","FCS","#7b1831","#e9aa12",NA
"Murray State","http://a.espncdn.com/i/teamlogos/ncaa/500/93.png","FCS","#002148","#000e00","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/murray_state_racers_logo_wordmark_20149491.png"
"Nicholls","http://a.espncdn.com/i/teamlogos/ncaa/500/2447.png","FCS","#C41230","#f0f0f0","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/2212_nicholls_state_colonels-wordmark-2009.png"
"North Alabama","http://a.espncdn.com/i/teamlogos/ncaa/500/2453.png","FCS","#000000","#ffffff","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/north_alabama_lions_logo_wordmark_2018_sportslogosnet-8285.png"
"Southern","http://a.espncdn.com/i/teamlogos/ncaa/500/2582.png","FCS","#004B97","#ffc82d","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/southern_jaguars_logo_wordmark_20143856.png"
"UT Martin","http://a.espncdn.com/i/teamlogos/ncaa/500/2630.png","FCS","#FF6700","#102a5c","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/tennessee-martin_skyhawks_logo_wordmark_2007_sportslogosnet-6564.png"
