"school","logo","type","color","alt_color","wordmark","g","w","l","w_l_percent","srs","sos","offense_mp","offense_fg","offense_fga","offense_fg_percent","offense_x3p","offense_x3pa","offense_x3p_percent","offense_ft","offense_fta","offense_ft_percent","offense_orb","offense_trb","offense_ast","offense_stl","offense_blk","offense_tov","offense_pf","defense_mp","defense_fg","defense_fga","defense_fg_percent","defense_x3p","defense_x3pa","defense_x3p_percent","defense_ft","defense_fta","defense_ft_percent","defense_orb","defense_trb","defense_ast","defense_stl","defense_blk","defense_tov","defense_pf","offense_pace","offense_o_rtg","offense_f_tr","offense_x3p_ar","offense_ts_percent","offense_trb_percent","offense_ast_percent","offense_stl_percent","offense_blk_percent","offense_e_fg_percent","offense_tov_percent","offense_orb_percent","offense_ft_fga","defense_pace","defense_o_rtg","defense_f_tr","defense_x3p_ar","defense_ts_percent","defense_trb_percent","defense_ast_percent","defense_stl_percent","defense_blk_percent","defense_e_fg_percent","defense_tov_percent","defense_orb_percent","defense_ft_fga","offense_x2p_percent","offense_drb_percent"
"Air Force","http://a.espncdn.com/i/teamlogos/ncaa/500/2005.png","G5","#004a7b","#ffffff","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/air_force_falcons_logo_wordmark_20202087.png",9,7,2,0.778,-0.55,-7.44,365,212,464,0.457,72,211,0.341,114,172,0.663,62,303,136,66,46,106,147,365,194,497,0.39,55,182,0.302,105,156,0.673,91,306,87,44,19,112,157,64.8,103.2,0.371,0.455,0.559,49.8,64.2,11.2,14.6,0.534,16.3,22.4,0.246,64.8,92.7,0.314,0.366,0.48,50.2,44.8,7.4,7.5,0.446,16.4,27.4,0.211,0.553359683794466,72.6
"Boise State","http://a.espncdn.com/i/teamlogos/ncaa/500/68.png","G5","#09347A","#d8d9da","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/boise_state_broncos_logo_wordmark_2013_sportslogosnet-5682.png",8,5,3,0.625,8.64,11.64,320,186,441,0.422,48,164,0.293,128,175,0.731,71,272,85,57,21,100,133,320,198,452,0.438,41,141,0.291,98,132,0.742,68,269,87,46,34,106,147,69.1,99.1,0.397,0.372,0.523,50.3,45.7,10.3,6.8,0.476,16,26.1,0.29,69.1,96.7,0.292,0.312,0.52,49.7,43.9,8.3,12.3,0.483,17.1,25.3,0.217,0.498194945848375,74.7
"Colorado State","http://a.espncdn.com/i/teamlogos/ncaa/500/36.png","G5","#004537","#ffc425","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/colorado_state_rams_logo_wordmark_20217977.png",9,9,0,1,21.73,7.17,360,277,518,0.535,78,201,0.388,140,183,0.765,58,288,185,60,24,85,152,360,234,531,0.441,60,186,0.323,113,149,0.758,84,287,104,40,22,115,155,70.3,122.2,0.353,0.388,0.638,50.1,66.8,9.5,7,0.61,12.3,22.2,0.27,70.3,101.4,0.281,0.35,0.533,49.9,44.4,6.3,6.9,0.497,16,26.8,0.213,0.627760252365931,73.2
"Fresno State","http://a.espncdn.com/i/teamlogos/ncaa/500/278.png","G5","#c41230","#231f20","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/fresno_state_bulldogs_logo_wordmark_2020_sportslogosnet-2559.png",8,4,4,0.5,-3.81,1.62,325,213,449,0.474,51,150,0.34,101,145,0.697,74,277,107,59,14,128,123,325,227,490,0.463,63,170,0.371,88,123,0.715,72,256,105,60,27,91,137,70.1,101.4,0.323,0.334,0.558,52,50.2,10.4,4.4,0.531,19.8,28.7,0.225,70.1,106.1,0.251,0.347,0.552,48,46.3,10.5,9,0.528,14.2,26.2,0.18,0.54180602006689,73.8
"Louisiana Tech","http://a.espncdn.com/i/teamlogos/ncaa/500/2348.png","G5","#002d65","#d3313a","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/la_tech_wordmark.png",9,7,2,0.778,10.56,5.42,360,230,516,0.446,73,203,0.36,145,210,0.69,104,366,124,76,37,110,156,360,186,518,0.359,50,176,0.284,123,180,0.683,98,316,83,60,31,116,165,69.1,109,0.407,0.393,0.551,53.7,53.9,12.2,10.8,0.516,15.2,32.3,0.281,69.1,87.6,0.347,0.34,0.452,46.3,44.6,9.6,9.9,0.407,16.1,27.2,0.237,0.501597444089457,72.8
"Nevada","http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png","G5","#153E5F","#8e9295","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/5309_nevada_wolf_pack-primary-2008.png",7,7,0,1,16.59,-2.26,280,194,409,0.474,36,106,0.34,162,213,0.761,70,280,110,35,29,58,128,280,164,424,0.387,58,190,0.305,68,118,0.576,70,238,93,28,28,88,177,71.2,117.7,0.521,0.259,0.574,54.1,56.7,7,12.4,0.518,10.2,29.4,0.396,71.2,91.2,0.278,0.448,0.473,45.9,56.7,5.6,9.2,0.455,15.5,25,0.16,0.521452145214521,75
"New Mexico","http://a.espncdn.com/i/teamlogos/ncaa/500/167.png","G5","#000000","#231f20","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/new_mexico_lobos_logo_secondary_2017_sportslogosnet-2427.png",9,8,1,0.889,18.3,0.3,360,279,584,0.478,61,170,0.359,149,213,0.7,110,370,154,76,42,92,166,360,208,527,0.395,57,188,0.303,133,185,0.719,85,315,105,49,35,135,179,74,115.3,0.365,0.291,0.56,54,55.2,11.4,12.4,0.53,11.8,32.4,0.255,74,91,0.351,0.357,0.493,46,50.5,7.4,8.5,0.449,18,24.6,0.252,0.526570048309179,75.4
"New Mexico State","http://a.espncdn.com/i/teamlogos/ncaa/500/166.png","G5","#891216","#000000","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/new_mexico_state_aggies_logo_wordmark_20056268.png",10,4,6,0.4,-13.54,5.6,410,247,575,0.43,67,197,0.34,157,220,0.714,93,356,133,66,21,127,216,410,238,559,0.426,94,266,0.353,177,259,0.683,87,331,150,73,29,124,182,69.9,100.3,0.383,0.343,0.528,51.8,53.8,9.2,7.2,0.488,15.7,27.6,0.273,69.9,104.3,0.463,0.476,0.548,48.2,63,10.2,7.7,0.51,15.4,24.9,0.317,0.476190476190476,75.1
"Rice","http://a.espncdn.com/i/teamlogos/ncaa/500/242.png","G5","#003D7D","#d1d5d8","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/2538_rice_owls-wordmark-2017.png",9,3,6,0.333,-5.22,7.28,360,232,545,0.426,65,214,0.304,126,183,0.689,93,323,129,58,30,108,132,360,263,561,0.469,75,204,0.368,110,155,0.71,88,341,136,59,30,104,152,72.1,100.9,0.336,0.393,0.518,48.6,55.6,8.9,8.4,0.485,14.6,26.9,0.231,72.1,109.6,0.276,0.364,0.56,51.4,51.7,9.1,9.1,0.536,14.1,27.7,0.196,0.504531722054381,72.3
"San Diego State","http://a.espncdn.com/i/teamlogos/ncaa/500/21.png","G5","#BF2C37","#a8996e","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/san_diego_state_aztecs_logo_wordmark_20135405.png",9,7,2,0.778,15.76,8.13,370,238,542,0.439,67,199,0.337,155,216,0.718,106,348,136,77,31,97,154,370,217,543,0.4,71,240,0.296,112,154,0.727,97,327,112,55,26,116,183,68.7,109.9,0.399,0.367,0.541,51.6,57.1,12.1,10.2,0.501,13.1,31.5,0.286,68.7,97.2,0.284,0.442,0.501,48.4,51.6,8.7,7.6,0.465,15.8,28.6,0.206,0.498542274052478,71.4
"San José State","http://a.espncdn.com/i/teamlogos/ncaa/500/23.png","G5","#005893","#fdba31","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/san_jose_state_spartans_logo_secondary_2018_sportslogosnet-7284.png",10,5,5,0.5,0.04,-1.96,410,273,586,0.466,86,249,0.345,109,159,0.686,90,349,131,56,44,119,172,410,242,570,0.425,59,184,0.321,135,199,0.678,92,340,111,48,26,122,165,67.6,106.9,0.271,0.425,0.56,50.7,48,8.1,11.4,0.539,15.2,26.6,0.186,67.6,97.8,0.349,0.323,0.51,49.3,45.9,6.9,7.7,0.476,15.5,26.2,0.237,0.554896142433234,73.8
"Toledo","http://a.espncdn.com/i/teamlogos/ncaa/500/2649.png","G5","#00488F","#ffd51d","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/toledo_rockets_logo_primary_2019_sportslogosnet-7348.png",8,4,4,0.5,8.18,5.68,320,228,473,0.482,47,122,0.385,131,171,0.766,81,244,112,65,22,99,133,320,234,463,0.505,54,152,0.355,92,121,0.76,80,264,110,54,25,129,148,71.4,111,0.362,0.258,0.572,48,49.1,11.4,7.1,0.532,15.2,30.6,0.277,71.4,107.5,0.261,0.328,0.59,52,47,9.5,7.1,0.564,19.9,32.9,0.199,0.515669515669516,67.1
"UNLV","http://a.espncdn.com/i/teamlogos/ncaa/500/2439.png","G5","#000000","#c2c4c6","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/unlv_rebels_logo_secondary_2017_sportslogosnet-7738.png",6,3,3,0.5,0.3,1.47,240,165,349,0.473,43,130,0.331,63,90,0.7,58,183,75,44,23,65,84,240,171,345,0.496,47,115,0.409,54,72,0.75,54,197,99,28,24,79,96,66.9,108.7,0.258,0.372,0.556,48.2,45.5,11,10,0.534,14.2,28.9,0.181,66.9,110.5,0.209,0.333,0.584,51.8,57.9,7,11,0.564,17.2,30.2,0.157,0.557077625570776,69.8
"Utah State","http://a.espncdn.com/i/teamlogos/ncaa/500/328.png","G5","#003263","#949ca1","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/utah_state_aggies_logo_wordmark_20149097.png",9,8,1,0.889,13.8,1.17,365,291,545,0.534,53,166,0.319,120,180,0.667,96,349,170,63,48,106,153,365,219,528,0.415,54,196,0.276,109,150,0.727,75,268,94,56,20,116,160,70.2,118,0.33,0.305,0.599,56.6,58.4,9.8,14.5,0.583,14.4,33.2,0.22,70.2,93.9,0.284,0.371,0.501,43.4,42.9,8.8,5.3,0.466,16.2,22.9,0.206,0.627968337730871,77.1
"Wyoming","http://a.espncdn.com/i/teamlogos/ncaa/500/2751.png","G5","#533B22","#ffffff","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/1604_wyoming_cowboys-wordmark-2004.png",8,5,3,0.625,-3.92,-1.25,320,206,433,0.476,62,148,0.419,137,191,0.717,83,279,107,54,33,128,125,320,204,485,0.421,56,187,0.299,94,115,0.817,92,264,86,79,28,125,169,71.3,107,0.441,0.342,0.583,51.4,51.9,9.5,11.1,0.547,19.6,32.5,0.316,71.3,97.7,0.237,0.386,0.517,48.6,42.2,13.8,9.8,0.478,18.8,31.9,0.194,0.505263157894737,68.1
"Texas Southern","http://a.espncdn.com/i/teamlogos/ncaa/500/2640.png","FCS","#6A0403","#ebebeb",NA,7,0,7,0,-5.78,15.5,280,152,446,0.341,43,161,0.267,44,73,0.603,81,253,63,40,22,84,134,280,181,404,0.448,58,161,0.36,120,168,0.714,80,305,106,48,36,69,90,68.3,81.8,0.164,0.361,0.407,45.3,41.4,8.4,9.1,0.389,14.9,26.5,0.099,68.3,113,0.416,0.399,0.558,54.7,58.6,10,12.6,0.52,12.5,31.7,0.297,0.382456140350877,68.3
"Pepperdine","https://a.espncdn.com/i/teamlogos/ncaa/500/2492.png","hoopR","#003A72","#dc762f","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/pepperdine_waves_logo_wordmark_20125518.png",11,4,7,0.364,-0.49,1.01,440,298,658,0.453,70,194,0.361,131,184,0.712,118,374,150,62,27,145,194,440,289,588,0.491,59,163,0.362,163,235,0.694,74,342,140,83,21,141,195,70,103.5,0.28,0.295,0.535,52.2,50.3,8.1,6.4,0.506,16.3,30.6,0.199,70,103.9,0.4,0.277,0.572,47.8,48.4,10.8,4.5,0.542,16.8,22.4,0.277,0.491379310344828,77.6
"Saint Mary's","https://a.espncdn.com/i/teamlogos/ncaa/500/2608.png","hoopR","#003768","#d02f35","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/4154_saint_marys_gaels-wordmark-2007.png",9,4,5,0.444,9.58,8.95,360,235,541,0.434,59,203,0.291,100,162,0.617,131,373,130,58,49,103,155,360,194,495,0.392,45,147,0.306,112,171,0.655,83,282,89,55,26,104,153,66,105.9,0.299,0.375,0.509,56.9,55.3,9.8,14.1,0.489,14.3,39.7,0.185,66,91.8,0.345,0.297,0.473,43.1,45.9,9.3,7.7,0.437,15.3,25.5,0.226,0.520710059171598,74.5
"Santa Clara","https://a.espncdn.com/i/teamlogos/ncaa/500/2541.png","hoopR","#690b0b","#101010","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/santa_clara_broncos_logo_wordmark_2016_sportslogosnet-1746.png",9,7,2,0.778,2.83,-3.17,360,271,570,0.475,79,218,0.362,92,145,0.634,121,372,144,51,27,110,143,360,225,550,0.409,70,211,0.332,108,147,0.735,84,291,114,61,17,104,141,70.4,112.5,0.254,0.382,0.558,56.1,53.1,8,8,0.545,14.7,36.9,0.161,70.4,99.1,0.267,0.384,0.507,43.9,50.7,9.6,4.8,0.473,14.4,25.1,0.196,0.545454545454545,74.9
"UC Irvine","https://a.espncdn.com/i/teamlogos/ncaa/500/300.png","hoopR","#002B5C","#fec52e","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/4642_california-irvine_anteaters-wordmark-2014.png",9,6,3,0.667,8.19,2.94,360,262,535,0.49,57,153,0.373,122,173,0.705,93,338,154,61,29,115,167,360,215,520,0.413,49,156,0.314,122,169,0.722,88,284,107,48,30,116,155,70.4,110.9,0.323,0.286,0.57,54.3,58.8,9.6,8,0.543,15.7,32.2,0.228,70.4,94.8,0.325,0.3,0.501,45.7,49.8,7.6,7.9,0.461,16.2,26.4,0.235,0.536649214659686,73.6
