"date","game_date","location","opponent","wl","team_score","opponent_score","conference_game","Winning_Margin","game_code","net","net_rk","Pace","Offensive_Efficency","Defensive_Efficency","Points_Scored","Points_Allowed","Offensive_3PAr","Offensive_3Ppct","Offensive_TOpct","Offensive_OREBpct","Offensive_FTr","Defensive_3PAr","Defensive_3Ppct","Defensive_TOpct","Defensive_OREBpct","Defensive_FTr","Team"
"2023-11-06",20231106,"Home","McMurry","W",120,71,"OOC",49,"McMurry 20231106",NA,"Other",94,127,75.2,120,71,29.1,39.1,16.9,30.3,22.8,41.1,30,28.6,28.6,32.9,"UTEP"
"2023-11-09",20231109,"Home","Univ. of Science and A","W",123,72,"OOC",51,"Univ. of Science and A 20231109",NA,"Other",84,145.7,85.3,123,72,34.3,41.7,10.7,41.2,62.9,36.7,22.7,28.4,28.9,35,"UTEP"
"2023-11-13",20231113,"Home","UC Santa Barbara","W",89,76,"OOC",13,"UC Santa Barbara 20231113",174,"Other",74,119.5,102,89,76,15.9,30,9.4,27,49.2,26.9,35.7,22.8,26.5,57.7,"UTEP"
"2023-11-17",20231117,"Home","Austin Peay","W",71,63,"OOC",8,"Austin Peay 20231117",269,"Other",71,99.8,88.6,71,63,38.3,27.8,29.5,29,66,36.4,30,19.7,27.8,36.4,"UTEP"
"2023-11-20",20231120,"Away","California","W",75,72,"OOC",3,"California 20231120",223,"Other",68,109.5,105.2,75,72,32.1,29.4,19,44.4,69.8,36.2,35.3,30.7,44,55.3,"UTEP"
"2023-11-22",20231122,"Away","Bradley","L",59,63,"OOC",-4,"Bradley 20231122",88,"NET Top 100",70,84.5,90.2,59,63,29.8,23.5,27.2,40.5,31.6,26.8,20,21.5,27.3,30.4,"UTEP"
"2023-11-25",20231125,"Away","Loyola Marymount","L",47,67,"OOC",-20,"Loyola Marymount 20231125",148,"Other",70,66.7,95.1,47,67,32.1,11.8,19.9,17.5,35.9,47.3,26.9,18.4,24.2,45.5,"UTEP"
"2023-11-29",20231129,"Home","Texas A&M-CC","L",63,67,"OOC",-4,"Texas A&M-CC 20231129",302,"Other",73,85.9,91.4,63,67,36.5,15.8,28.6,27,46.1,26.5,38.5,25.9,31.2,61.2,"UTEP"
"2023-12-04",20231204,"Home","Western New Mexico","W",90,62,"OOC",28,"Western New Mexico 20231204",NA,"Other",69,130.3,89.8,90,62,40.8,34.5,13,52.5,25.4,36.8,38.1,23.2,25,28.1,"UTEP"
"2023-12-09",20231209,"Away","Oregon",NA,NA,NA,"OOC",NA,"Oregon 20231209",53,"NET Top 100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UTEP"
"2023-12-17",20231217,"Away","Abilene Christian",NA,NA,NA,"OOC",NA,"Abilene Christian 20231217",188,"Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UTEP"
"2023-12-20",20231220,"Home","Norfolk State",NA,NA,NA,"OOC",NA,"Norfolk State 20231220",196,"Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UTEP"
"2023-11-06",20231106,"Home","San Francisco St.","W",74,57,"OOC",17,"San Francisco St. 20231106",NA,"Other",69,107,82.4,74,57,44.8,38.5,15.9,35.6,55.2,46,30.4,21.7,6.1,30,"California Baptist"
"2023-11-10",20231110,"Home","Jackson St.","W",80,66,"OOC",14,"Jackson St. 20231110",253,"Other",65,123.2,101.6,80,66,48.1,34.6,16.9,37.5,48.1,19.3,45.5,15.4,31.4,31.6,"California Baptist"
"2023-11-17",20231117,"Home","Portland State","L",63,66,"OOC",-3,"Portland State 20231117",129,"Other",67,94.4,98.9,63,66,35.1,35,21,30,29.8,32.7,35.3,19.5,28.1,42.3,"California Baptist"
"2023-11-18",20231118,"Home","St. Thomas","W",66,62,"OOC",4,"St. Thomas 20231118",NA,"Other",60,109.4,102.8,66,62,28.3,46.7,11.6,31.4,41.5,40.4,30.4,13.3,27,22.8,"California Baptist"
"2023-11-19",20231119,"Home","Cal Poly","W",67,58,"OOC",9,"Cal Poly 20231119",330,"Other",62,108.1,93.6,67,58,32.7,27.8,14.5,41.5,56.4,30.6,21.1,9.7,26.8,17.7,"California Baptist"
"2023-11-25",20231125,"Home","Vanguard","W",69,59,"OOC",10,"Vanguard 20231125",NA,"Other",76,90.4,77.3,69,59,38.9,19,28.8,37.1,48.1,26.7,25,10.5,17.6,9.3,"California Baptist"
"2023-11-29",20231129,"Away","Southern Utah","W",91,66,"WAC",25,"Southern Utah 20231129",261,"Other",71,128.6,93.2,91,66,33.8,47.8,12.7,37.8,26.5,18,22.2,24,22.2,38,"California Baptist"
"2023-12-06",20231206,"Home","Utah Tech","L",69,72,"WAC",-3,"Utah Tech 20231206",NA,"Other",70,98.9,103.2,69,72,47.3,26.9,21.5,35.9,49.1,19.6,60,27.2,17.4,19.6,"California Baptist"
"2023-12-12",20231212,"Away","Oregon",NA,NA,NA,"OOC",NA,"Oregon 20231212",53,"NET Top 100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California Baptist"
"2023-12-16",20231216,"Away","UC Riverside",NA,NA,NA,"OOC",NA,"UC Riverside 20231216",262,"Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California Baptist"
"2023-12-19",20231219,"Home","Western Kentucky",NA,NA,NA,"OOC",NA,"Western Kentucky 20231219",187,"Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California Baptist"
