"school","logo","type","color","alt_color","wordmark"
"Air Force","http://a.espncdn.com/i/teamlogos/ncaa/500/2005.png","G5","#004a7b","#ffffff","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/air_force_falcons_logo_wordmark_20202087.png"
"Boise State","http://a.espncdn.com/i/teamlogos/ncaa/500/68.png","G5","#09347A","#d8d9da","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/boise_state_broncos_logo_wordmark_2013_sportslogosnet-5682.png"
"Colorado State","http://a.espncdn.com/i/teamlogos/ncaa/500/36.png","G5","#004537","#ffc425","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/colorado_state_rams_logo_wordmark_20217977.png"
"Fresno State","http://a.espncdn.com/i/teamlogos/ncaa/500/278.png","G5","#c41230","#231f20","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/fresno_state_bulldogs_logo_wordmark_2020_sportslogosnet-2559.png"
"Louisiana Tech","http://a.espncdn.com/i/teamlogos/ncaa/500/2348.png","G5","#002d65","#d3313a","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/la_tech_wordmark.png"
"Nevada","http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png","G5","#153E5F","#8e9295","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/5309_nevada_wolf_pack-primary-2008.png"
"New Mexico","http://a.espncdn.com/i/teamlogos/ncaa/500/167.png","G5","#000000","#231f20","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/new_mexico_lobos_logo_secondary_2017_sportslogosnet-2427.png"
"New Mexico State","http://a.espncdn.com/i/teamlogos/ncaa/500/166.png","G5","#891216","#000000","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/new_mexico_state_aggies_logo_wordmark_20056268.png"
"Rice","http://a.espncdn.com/i/teamlogos/ncaa/500/242.png","G5","#003D7D","#d1d5d8","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/2538_rice_owls-wordmark-2017.png"
"San Diego State","http://a.espncdn.com/i/teamlogos/ncaa/500/21.png","G5","#BF2C37","#a8996e","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/san_diego_state_aztecs_logo_wordmark_20135405.png"
"San José State","http://a.espncdn.com/i/teamlogos/ncaa/500/23.png","G5","#005893","#fdba31","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/san_jose_state_spartans_logo_secondary_2018_sportslogosnet-7284.png"
"Toledo","http://a.espncdn.com/i/teamlogos/ncaa/500/2649.png","G5","#00488F","#ffd51d","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/toledo_rockets_logo_primary_2019_sportslogosnet-7348.png"
"UNLV","http://a.espncdn.com/i/teamlogos/ncaa/500/2439.png","G5","#000000","#c2c4c6","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/unlv_rebels_logo_secondary_2017_sportslogosnet-7738.png"
"Utah State","http://a.espncdn.com/i/teamlogos/ncaa/500/328.png","G5","#003263","#949ca1","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/utah_state_aggies_logo_wordmark_20149097.png"
"Wyoming","http://a.espncdn.com/i/teamlogos/ncaa/500/2751.png","G5","#533B22","#ffffff","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/1604_wyoming_cowboys-wordmark-2004.png"
"Texas Southern","http://a.espncdn.com/i/teamlogos/ncaa/500/2640.png","FCS","#6A0403","#ebebeb",NA
"Pepperdine","https://a.espncdn.com/i/teamlogos/ncaa/500/2492.png","hoopR","#003A72","#dc762f","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/pepperdine_waves_logo_wordmark_20125518.png"
"Saint Mary's","https://a.espncdn.com/i/teamlogos/ncaa/500/2608.png","hoopR","#003768","#d02f35","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/4154_saint_marys_gaels-wordmark-2007.png"
"Santa Clara","https://a.espncdn.com/i/teamlogos/ncaa/500/2541.png","hoopR","#690b0b","#101010","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/santa_clara_broncos_logo_wordmark_2016_sportslogosnet-1746.png"
"UC Irvine","https://a.espncdn.com/i/teamlogos/ncaa/500/300.png","hoopR","#002B5C","#fec52e","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/4642_california-irvine_anteaters-wordmark-2014.png"
"UC Santa Barbara","https://a.espncdn.com/i/teamlogos/ncaa/500/2540.png","hoopR","#1D1160","#fdb813","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/7421_uc_santa_barbara__gauchos-wordmark-2010.png"
"UT Arlington","https://a.espncdn.com/i/teamlogos/ncaa/500/250.png","hoopR","#004b7c","#f58024","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/texas-arlington_mavericks_logo_wordmark_2010_sportslogosnet-8452.png"
