"player","class","pos","team","x3_p_s","slasher","ball_dominant","playmaker","perim_defender","oreb","dreb","Dim.1","Dim.2","Dim.3","Dim.4"
"Anthony Edwards","NBA","G","MIN",0.501915708812261,0.639846743295019,0.931034482758621,0.383141762452107,0.490421455938697,0.509578544061303,0.812260536398467,0.68898469162586,-0.56741835820569,-0.853692747023396,1.36979567131
"DeMar DeRozan","NBA","G-F","CHISAS",0.0153256704980843,0.996168582375479,0.950191570881226,0.716475095785441,0.53639846743295,0.310344827586207,0.708812260536398,2.40597193053126,-1.68051881724342,-0.184274420801438,0.412859211858282
"Buddy Hield","NBA","G-F","INDSAC",0.954022988505747,0.0957854406130268,0.670498084291188,0.367816091954023,0.210727969348659,0.509578544061303,0.793103448275862,-1.6489566003041,0.107181323477115,-0.688018998051969,1.82395786856887
"RJ Barrett","NBA","G-F","NYK",0.256704980842912,0.862068965517241,0.885057471264368,0.191570881226054,0.14176245210728,0.636015325670498,0.842911877394636,1.13269484583222,-0.844369071928733,-2.38052639326972,0.726462509299493
"Trae Young","NBA","G","ATL",0.340996168582375,0.942528735632184,0.996168582375479,0.992337164750958,0.0996168582375479,0.42911877394636,0.130268199233716,1.20442291331245,-2.94473273992338,-0.00311093570673549,-0.609525652201935
"Dejounte Murray","NBA","G","ATLSAS",0.130268199233716,0.770114942528736,0.865900383141762,0.869731800766284,0.919540229885057,0.636015325670498,0.969348659003831,2.88024978994296,-0.0511995971422048,0.557438377767742,1.34677831951458
"Russell Westbrook","NBA","G","LACLALWAS",0.0842911877394636,0.969348659003831,0.946360153256705,0.973180076628352,0.624521072796935,0.885057471264368,0.992337164750958,3.51245854760169,-0.506515816910908,-0.311669971127543,1.24408599988139
"Zach LaVine","NBA","G-F","CHI",0.505747126436782,0.747126436781609,0.954022988505747,0.505747126436782,0.222222222222222,0.153256704980843,0.727969348659004,0.304874548147617,-1.88136735874086,-0.660308775038225,1.176294960883
"Terry Rozier","NBA","G","CHO",0.681992337164751,0.436781609195402,0.85823754789272,0.613026819923372,0.39463601532567,0.452107279693487,0.46360153256705,-0.28526386247642,-0.996306476854184,0.0429126011330448,0.788446493437224
"Luka Dončić","NBA","G-F","DAL",0.409961685823755,0.881226053639847,1,0.980842911877395,0.869731800766284,0.597701149425287,1,2.71392197652607,-0.550562895935147,0.741884345777434,1.95640273101443
"Fred VanVleet","NBA","G","TOR",0.793103448275862,0.375478927203065,0.804597701149425,0.850574712643678,0.850574712643678,0.153256704980843,0.567049808429119,-0.136127188223552,-0.701287773140545,1.90132952793438,1.42012574700133
"Darius Garland","NBA","G","CLE",0.455938697318008,0.689655172413793,0.908045977011494,0.954022988505747,0.32183908045977,0.114942528735632,0.0421455938697318,0.209788916259672,-2.75102685670125,1.07220217704144,-0.540826570496225
"Kentavious Caldwell-Pope","NBA","G","DENLALWAS",0.704980842911877,0.409961685823755,0.295019157088123,0.260536398467433,0.773946360153257,0.268199233716475,0.14176245210728,-1.24982555030821,0.467764084266827,0.79365358985288,-0.892338310557842
"Jalen Brunson","NBA","G","DALNYK",0.237547892720307,0.865900383141762,0.789272030651341,0.789272030651341,0.432950191570881,0.268199233716475,0.486590038314176,1.38014099612587,-1.69476732493373,0.272024650953623,-0.0311653177861603
"De'Aaron Fox","NBA","G","SAC",0.118773946360153,0.950191570881226,0.96551724137931,0.839080459770115,0.302681992337165,0.210727969348659,0.440613026819923,1.68703571637203,-2.54349134111395,0.018004501925894,-0.0900469130817506
