"player","class","pos","team","x3_p_s","slasher","ball_dominant","playmaker","perim_defender","oreb","dreb","sim_1","sim_1_url","sim_2","sim_3","sim_4","sim_5","Dim.1","Dim.2","Dim.3","Dim.4","URL","#"
"JJ Starling","SO","G","Syracuse",0.0615722924683892,0.652556349642661,0.584387025838373,0.694887300714678,0.462341946124244,0.604178119846069,0.451896646509071,"Franz Wagner","https://cdn.nba.com/headshots/nba/latest/260x190/1630532.png","Shake Milton","Josh Christopher","Caris LeVert","Edmond Sumner",1.37228168315612,-0.588416955378396,-0.613281705190787,-0.423737275084309,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4683697.png",2
"Christian Cook","SR","G","New Mexico State",0.587135788894997,0.365585486531061,0.305662451896647,0.396371632765256,0.0434304562946674,0.265530511269929,0.233095107201759,"Rodney Hood","https://cdn.nba.com/headshots/nba/latest/260x190/203918.png","Ochai Agbaji","Langston Galloway","Joshua Primo","Frank Jackson",-1.51612974524455,-0.0956112761771339,-0.884781365271712,-1.18807816554603,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4741646.png",3
"Jaden Harris","JR","G","New Mexico State",0.738867509620671,0.357339197361187,0.324354040681693,0.320505772402419,0.126992853216053,0.350192413413964,0.48323254535459,"Rodney Hood","https://cdn.nba.com/headshots/nba/latest/260x190/203918.png","Langston Galloway","Gary Harris","Svi Mykhailiuk","Moses Moody",-1.40698628059204,0.595789994222353,-0.330725491569621,-0.632205550009433,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5176770.png",13
"Tae Hardy","SR","G","UTEP",0.667399670148433,0.553600879604178,0.686641011544805,0.777899945024739,0.865860362836724,0.186366135239142,0.48323254535459,"Kemba Walker","https://cdn.nba.com/headshots/nba/latest/260x190/202689.png","CJ McCollum","Terry Rozier","Victor Oladipo","Tyler Herro",-0.11340407451546,-1.38611594558984,0.405525700696302,1.45915567849707,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4396616.png",2
"Judah Mintz","SO","G","Syracuse",0.475536008796042,0.94502473886751,0.966465090709181,0.709180868609126,0.872457394172622,0.416712479384277,0.222100054975261,"Kevin Porter Jr.","https://cdn.nba.com/headshots/nba/latest/260x190/1629645.png","Devin Booker","Kyrie Irving","Anthony Edwards","Cole Anthony",1.13437767374603,-1.36414387961107,-0.824797203010385,1.31496664042408,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4684729.png",3
"Justin Taylor","SO","G","Syracuse",0.811984606926883,0.0725673446948873,0.217152281473337,0.570093457943925,0.632765255634964,0.103903243540407,0.96976360637713,"Jared Butler","https://cdn.nba.com/headshots/nba/latest/260x190/1630215.png","Ryan Arcidiacono","Bogdan Bogdanović","Malachi Flynn","Kevin Huerter",-1.40591917869001,-0.0510888261708593,1.81377340975944,0.875144528780306,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4684746.png",5
"Adama Bal","JR","G","Santa Clara",0.619021440351842,0.450247388675096,0.732820230896097,0.555799890049478,0.653106102253986,0.291368884002199,0.697086311159978,"Desmond Bane","https://cdn.nba.com/headshots/nba/latest/260x190/1630217.png","Nickeil Alexander-Walker","Immanuel Quickley","Will Barton","Devin Vassell",-0.118870002543424,-0.181312565608217,0.118990223715863,1.38596540604563,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4896365.png",4
"Sion James","JR","G","Tulane",0.648708081363386,0.902144035184167,0.17372182517867,0.404617921935129,0.722374931280924,0.168224299065421,0.747113798790544,"Derrick White","https://cdn.nba.com/headshots/nba/latest/260x190/1628401.png","Eric Bledsoe","Brandon Goodwin","Théo Maledon","Tyrese Haliburton",0.396874245929438,-0.395314108281438,1.01768026232774,0.0699141426197133,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4602025.png",1
"Dominique Daniels Jr.","SO","G","California Baptist",0.721825178669599,0.48323254535459,0.944474986256185,0.68719076415613,0.377130291368884,0.368334249587686,0.00824628916987356,"Jordan Clarkson","https://cdn.nba.com/headshots/nba/latest/260x190/203903.png","Bojan Bogdanović","Jaden Hardy","Tre Mann","Malaki Branham",-0.998959418055408,-0.949008495857,-1.59713533729188,0.71537572115797,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5178207.png",1
"Aaron Scott","JR","G","North Texas",0.595931830676196,0.616272677295217,0.759208356239692,0.109400769653656,0.807586586036284,0.932380428807037,0.665200659703134,"Deni Avdija","https://cdn.nba.com/headshots/nba/latest/260x190/1630166.png","Kent Bazemore","De'Anthony Melton","Kenrich Williams","Patrick Beverley",0.933701340537549,1.78251800044852,0.3821538828729,0.918998718039319,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4897517.png",1
"Rubin Jones","SR","G","North Texas",0.585486531061023,0.470588235294118,0.754260582737768,0.937328202308961,0.969213853765805,0.57284222100055,0.293018141836174,"Victor Oladipo","https://cdn.nba.com/headshots/nba/latest/260x190/203506.png","CJ McCollum","Kemba Walker","Spencer Dinwiddie","Terry Rozier",0.344809249240755,-1.40340287955709,0.532243286502549,1.21357128317819,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4432430.png",15
"JaCobi Wood","JR","G","Murray State",0.796591533809786,0.427707531610775,0.395272127542606,0.807036833424959,0.464540956569544,0.0549752611324904,0.728971962616822,"Coby White","https://cdn.nba.com/headshots/nba/latest/260x190/1629632.png","Kendrick Nunn","Malik Monk","Terry Rozier","Kemba Walker",-0.921739111394231,-1.01411038142296,0.539214585882075,0.749233247993104,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4703220.png",24
"Jordan Rawls","SR","G","New Mexico State",0.279824079164376,0.548103353490929,0.481033534909291,0.959868059373282,0.173172072567345,0.244639912039582,0.417811984606927,"Keon Johnson","https://cdn.nba.com/headshots/nba/latest/260x190/1630553.png","Norman Powell","Blake Wesley","Malaki Branham","Jalen Green",0.112885671594341,-1.54588335360297,-0.935986858849261,-0.524389157542726,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4593292.png",2
"Jahvon Quinerly","SR","G","Memphis",0.456844420010995,0.557998900494777,0.529961517317207,0.934029686641011,0.579439252336449,0.120945574491479,0.506322155030236,"CJ McCollum","https://cdn.nba.com/headshots/nba/latest/260x190/203468.png","Goran Dragić","Jamal Murray","Reggie Jackson","Spencer Dinwiddie",0.0507490914174481,-1.79256449081231,0.000598707858013848,0.56183101227053,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4397132.png",11
"John Buggs","JR","G","North Texas",0.873556899395272,0.0263881253435954,0.0357339197361187,0.208356239692139,0.4282572842221,0.495876855415063,0.293018141836174,"Austin Rivers","https://cdn.nba.com/headshots/nba/latest/260x190/203085.png","Avery Bradley","Gary Harris","Quentin Grimes","Kentavious Caldwell-Pope",-2.3159392272015,0.77586337155747,1.1199988481966,-1.07714582714511,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4592451.png",0
"Justin Hohn","SR","G","UC Irvine",0.643210555250137,0.440351841671248,0.825728422210006,0.051126992853216,0.805387575590984,0.265530511269929,0.79934029686641,"Denzel Valentine","https://cdn.nba.com/headshots/nba/latest/260x190/1627756.png","Theo Pinson","Alec Burks","Devin Vassell","De'Anthony Melton",-0.218207353922775,1.05267500907943,0.229747338665445,1.87916726739783,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4433009.png",2
"Rob Perry","SR","G","Murray State",0.444749862561847,0.404617921935129,0.903793293018142,0.248488180318857,0.0868609125893348,0.350192413413964,0.897196261682243,"Aaron Nesmith","https://cdn.nba.com/headshots/nba/latest/260x190/1630174.png","Jeremy Lamb","Admiral Schofield","PJ Dozier","Damion Lee",-0.10537534289115,1.34671079592056,-1.40435544532773,0.972616467848582,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4592297.png",2
"Kolby King","SO","G","Tulane",0.334799340296866,0.843320505772402,0.45629466739967,0.37218251786696,0.91258933479934,0.57284222100055,0.543155579989005,"Jrue Holiday","https://cdn.nba.com/headshots/nba/latest/260x190/201950.png","Ish Smith","Brandon Goodwin","Jalen Suggs","Eric Bledsoe",1.41601818748973,-0.0752468479736674,0.650432373756874,0.163118987729936,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5105604.png",12
"Yazid Powell","SR","G","UTEP",0.22649807586586,0.819681143485432,0.915338097855965,0.789444749862562,0.953820780648708,0.792193512919186,0.945574491478835,"Dejounte Murray","https://cdn.nba.com/headshots/nba/latest/260x190/1627749.png","Luka Dončić","James Harden","Josh Giddey","Cade Cunningham",2.75190146861276,-0.095909877078763,0.437560820848622,1.73697940433281,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5108761.png",0
"Otis Frazier","JR","G","UTEP",0.191863661352391,0.882902693787796,0.529961517317207,0.410665200659703,0.860362836723474,0.950522264980759,0.558548653106102,"Shaquille Harrison","https://cdn.nba.com/headshots/nba/latest/260x190/1627885.png","Jalen Williams","Jalen Suggs","Talen Horton-Tucker","Dalano Banton",2.28279570814254,0.486565953039285,0.468513322479824,-0.155185493011058,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4700882.png",23
"Tyeree Bryan","JR","G","Santa Clara",0.751511819681143,0.294117647058824,0.4282572842221,0.0472787245739417,0.272127542605827,0.792193512919186,0.322704782847719,"Vit Krejci","https://cdn.nba.com/headshots/nba/latest/260x190/1630249.png","Rodney McGruder","Garrett Temple","DaQuan Jeffries","Quentin Grimes",-1.17436452849741,1.77980178297089,-0.219533172696787,-0.761782957974143,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5108120.png",1
"Caleb Mills","SR","G","Memphis",0.318856514568444,0.864211105002749,0.324354040681693,0.452996151731721,0.627267729521715,0.368334249587686,0.640461792193513,"Skylar Mays","https://cdn.nba.com/headshots/nba/latest/260x190/1630219.png","Eric Bledsoe","Brandon Goodwin","Jalen Suggs","Caris LeVert",1.11032864123537,-0.34150165991267,0.302725249875442,-0.291405509753554,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4412211.png",9
"Shawn Walker","SR","G","Murray State",0.490379329301814,0.251236943375481,0.0637713029136888,0.381528312259483,0.017042330951072,0.771852666300165,0.0142935678944475,"Rodney Hood","https://cdn.nba.com/headshots/nba/latest/260x190/203918.png","Joshua Primo","Gary Harris","Ochai Agbaji","Amir Coffey",-1.28894912596606,0.490081996752832,-0.416278062323657,-2.58807968554438,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4897379.png",25
"Brian Moore","JR","G","Murray State",0.119846069268829,0.927982407916438,0.686641011544805,0.763606377130291,0.0967564595931831,0.168224299065421,0.264431006047279,"Dwayne Bacon","https://cdn.nba.com/headshots/nba/latest/260x190/1628407.png","Cam Thomas","Bennedict Mathurin","Brandon Williams","Collin Sexton",0.845659173788263,-1.55263892510467,-2.2321379165142,-0.590894979524395,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5107895.png",14
