"on_court","stint_start_s","stint_end_s","g_date","opp","team"
"ZIDPOWELL",2400,2330,"11-06-2023","McMurry","UTEP"
"CALVINSOLOMON",2400,2330,"11-06-2023","McMurry","UTEP"
"KEVINKALU",2400,2330,"11-06-2023","McMurry","UTEP"
"OTISFRAZIER",2400,2330,"11-06-2023","McMurry","UTEP"
"TAEHARDY",2400,2330,"11-06-2023","McMurry","UTEP"
"ZIDPOWELL",2330,2287,"11-06-2023","McMurry","UTEP"
"CALVINSOLOMON",2330,2287,"11-06-2023","McMurry","UTEP"
"DAVIDTERRELL",2330,2287,"11-06-2023","McMurry","UTEP"
"OTISFRAZIER",2330,2287,"11-06-2023","McMurry","UTEP"
"TAEHARDY",2330,2287,"11-06-2023","McMurry","UTEP"
"CALVINSOLOMON",2287,2203,"11-06-2023","McMurry","UTEP"
"KEVINKALU",2287,2203,"11-06-2023","McMurry","UTEP"
"DAVIDTERRELL",2287,2203,"11-06-2023","McMurry","UTEP"
"TAEHARDY",2287,2203,"11-06-2023","McMurry","UTEP"
"COREYCAMPER",2287,2203,"11-06-2023","McMurry","UTEP"
"DAVIDTERRELL",2203,2163,"11-06-2023","McMurry","UTEP"
"OTISFRAZIER",2203,2163,"11-06-2023","McMurry","UTEP"
"COREYCAMPER",2203,2163,"11-06-2023","McMurry","UTEP"
"GARRETTLEVESQUE",2203,2163,"11-06-2023","McMurry","UTEP"
"ELIJAHJONES",2203,2163,"11-06-2023","McMurry","UTEP"
"ZIDPOWELL",2163,2008,"11-06-2023","McMurry","UTEP"
"OTISFRAZIER",2163,2008,"11-06-2023","McMurry","UTEP"
"TAEHARDY",2163,2008,"11-06-2023","McMurry","UTEP"
"GARRETTLEVESQUE",2163,2008,"11-06-2023","McMurry","UTEP"
"ELIJAHJONES",2163,2008,"11-06-2023","McMurry","UTEP"
"ZIDPOWELL",2008,1895,"11-06-2023","McMurry","UTEP"
"TAEHARDY",2008,1895,"11-06-2023","McMurry","UTEP"
"COREYCAMPER",2008,1895,"11-06-2023","McMurry","UTEP"
"JONDOS",2008,1895,"11-06-2023","McMurry","UTEP"
"DERICKHAMILTON",2008,1895,"11-06-2023","McMurry","UTEP"
"CALVINSOLOMON",1895,1837,"11-06-2023","McMurry","UTEP"
"KEVINKALU",1895,1837,"11-06-2023","McMurry","UTEP"
"DAVIDTERRELL",1895,1837,"11-06-2023","McMurry","UTEP"
"OTISFRAZIER",1895,1837,"11-06-2023","McMurry","UTEP"
"COREYCAMPER",1895,1837,"11-06-2023","McMurry","UTEP"
"CALVINSOLOMON",1837,1774,"11-06-2023","McMurry","UTEP"
"KEVINKALU",1837,1774,"11-06-2023","McMurry","UTEP"
"DAVIDTERRELL",1837,1774,"11-06-2023","McMurry","UTEP"
"OTISFRAZIER",1837,1774,"11-06-2023","McMurry","UTEP"
"COREYCAMPER",1837,1774,"11-06-2023","McMurry","UTEP"
"CALVINSOLOMON",1774,1726,"11-06-2023","McMurry","UTEP"
"KEVINKALU",1774,1726,"11-06-2023","McMurry","UTEP"
"DAVIDTERRELL",1774,1726,"11-06-2023","McMurry","UTEP"
"OTISFRAZIER",1774,1726,"11-06-2023","McMurry","UTEP"
"COREYCAMPER",1774,1726,"11-06-2023","McMurry","UTEP"
"CALVINSOLOMON",1726,1672,"11-06-2023","McMurry","UTEP"
"DAVIDTERRELL",1726,1672,"11-06-2023","McMurry","UTEP"
"OTISFRAZIER",1726,1672,"11-06-2023","McMurry","UTEP"
