"school","logo","type","color","alt_color","wordmark","belong","g","w","l","w_l_percent","srs","sos","offense_mp","offense_fg","offense_fga","offense_fg_percent","offense_x3p","offense_x3pa","offense_x3p_percent","offense_ft","offense_fta","offense_ft_percent","offense_orb","offense_trb","offense_ast","offense_stl","offense_blk","offense_tov","offense_pf","defense_mp","defense_fg","defense_fga","defense_fg_percent","defense_x3p","defense_x3pa","defense_x3p_percent","defense_ft","defense_fta","defense_ft_percent","defense_orb","defense_trb","defense_ast","defense_stl","defense_blk","defense_tov","defense_pf","offense_pace","offense_o_rtg","offense_f_tr","offense_x3p_ar","offense_ts_percent","offense_trb_percent","offense_ast_percent","offense_stl_percent","offense_blk_percent","offense_e_fg_percent","offense_tov_percent","offense_orb_percent","offense_ft_fga","defense_pace","defense_o_rtg","defense_f_tr","defense_x3p_ar","defense_ts_percent","defense_trb_percent","defense_ast_percent","defense_stl_percent","defense_blk_percent","defense_e_fg_percent","defense_tov_percent","defense_orb_percent","defense_ft_fga","offense_x2p_percent","offense_drb_percent"
"Arizona","http://a.espncdn.com/i/teamlogos/ncaa/500/12.png","P5","#002449","#00205b","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/2804_arizona_wildcats-wordmark-2003.png",1,7,7,0,1,32.8,1.95,280,238,470,0.506,56,148,0.378,122,163,0.748,106,330,147,71,31,94,108,280,163,423,0.385,52,165,0.315,60,96,0.625,47,196,87,52,22,113,140,76.4,122.2,0.347,0.315,0.597,62.7,61.8,13.3,12,0.566,14.7,41.6,0.26,76.4,81.9,0.227,0.39,0.467,37.3,53.4,9.7,6.8,0.447,19.4,17.3,0.142,0.565217391304348,82.7
"Baylor","http://a.espncdn.com/i/teamlogos/ncaa/500/239.png","P5","#004834","#ffb81c","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/1778_baylor_bears-wordmark-2005.png",1,9,9,0,1,25.01,1.76,360,285,548,0.52,82,190,0.432,168,227,0.74,124,360,150,66,46,106,139,360,225,549,0.41,54,188,0.287,104,138,0.754,98,264,112,53,41,119,197,70.7,128.7,0.414,0.347,0.625,57.7,52.6,10.4,12.7,0.595,13.9,42.8,0.307,70.7,95.4,0.251,0.342,0.495,42.3,49.8,8.3,11.5,0.459,16.2,29.3,0.189,0.567039106145251,70.7
"BYU","http://a.espncdn.com/i/teamlogos/ncaa/500/252.png","P5","#001E4C","#ffffff","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/brigham_young_cougars_logo_wordmark_19992374.png",1,8,8,0,1,31.43,-1.44,320,267,540,0.494,103,263,0.392,98,131,0.748,113,365,179,55,21,85,133,320,183,471,0.389,34,152,0.224,72,117,0.615,60,239,82,50,10,106,124,71.7,128.3,0.243,0.487,0.61,60.4,67,9.6,6.6,0.59,12.4,38.7,0.181,71.7,82.4,0.248,0.323,0.448,39.6,44.8,8.7,3.6,0.425,16.8,19.2,0.153,0.592057761732852,80.8
"Clemson","http://a.espncdn.com/i/teamlogos/ncaa/500/228.png","P5","#F66733","#522d80","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/2397_clemson_tigers-wordmark-2014.png",1,8,8,0,1,17.28,6.53,320,230,481,0.478,80,195,0.41,94,131,0.718,76,301,135,36,42,79,139,320,186,462,0.403,64,190,0.337,112,161,0.696,72,269,87,46,18,79,131,68.2,116.1,0.272,0.405,0.584,52.8,58.7,6.6,15.4,0.561,12.7,27.8,0.195,68.2,100.4,0.348,0.411,0.509,47.2,46.8,8.4,6.3,0.472,12.8,24.2,0.242,0.524475524475524,75.8
"Colorado State","http://a.espncdn.com/i/teamlogos/ncaa/500/36.png","G5","#004537","#ffc425","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/colorado_state_rams_logo_wordmark_20217977.png",1,9,9,0,1,21.73,7.17,360,277,518,0.535,78,201,0.388,140,183,0.765,58,288,185,60,24,85,152,360,234,531,0.441,60,186,0.323,113,149,0.758,84,287,104,40,22,115,155,70.3,122.2,0.353,0.388,0.638,50.1,66.8,9.5,7,0.61,12.3,22.2,0.27,70.3,101.4,0.281,0.35,0.533,49.9,44.4,6.3,6.9,0.497,16,26.8,0.213,0.627760252365931,73.2
"Duke","http://a.espncdn.com/i/teamlogos/ncaa/500/150.png","P5","#001A57","#f1f2f3","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/1549_duke_blue_devils-wordmark-1978.png",1,8,5,3,0.625,17.47,3.72,320,235,494,0.476,58,174,0.333,119,169,0.704,83,296,128,53,32,69,132,320,196,460,0.426,56,173,0.324,89,128,0.695,67,267,115,35,38,101,138,69.7,115.9,0.342,0.352,0.563,52.6,54.5,9.5,11.1,0.534,10.7,29.3,0.241,69.7,96.2,0.278,0.376,0.516,47.4,58.7,6.3,11.9,0.487,16.2,23.9,0.193,0.553125,76.1
"Florida Atlantic","http://a.espncdn.com/i/teamlogos/ncaa/500/2226.png","G5","#004B85","#bb2f4c","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/florida_atlantic_owls_logo_wordmark_2014_sportslogosnet-2808.png",1,9,7,2,0.778,21.26,7.37,360,273,541,0.505,80,208,0.385,134,186,0.72,96,332,139,70,28,98,157,360,230,535,0.43,64,195,0.328,111,156,0.712,96,291,81,42,20,113,158,69.9,120.8,0.344,0.384,0.604,53.3,50.9,11.1,8.2,0.579,13.5,33,0.248,69.9,101,0.292,0.364,0.521,46.7,35.2,6.7,6,0.49,15.6,28.9,0.207,0.57957957957958,71.1
"Houston","http://a.espncdn.com/i/teamlogos/ncaa/500/248.png","G5","#C90822","#231f20","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/houston_cougars_logo_wordmark_20129226.png",1,9,9,0,1,26.58,0.69,360,242,553,0.438,71,206,0.345,120,188,0.638,137,372,126,98,44,79,164,360,147,429,0.343,47,173,0.272,101,162,0.623,83,290,97,41,20,155,153,64.6,116.2,0.34,0.373,0.525,56.2,52.1,16.9,17.2,0.502,11,39.8,0.217,64.6,76.1,0.378,0.403,0.437,43.8,66,7.1,5.8,0.397,23.5,26.1,0.235,0.492795389048991,73.9
"Illinois","http://a.espncdn.com/i/teamlogos/ncaa/500/356.png","P5","#f77329","#fa6300","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/3664_illinois_fighting_illini-wordmark-2014.png",1,8,7,1,0.875,20.59,2.84,320,245,506,0.484,66,196,0.337,85,136,0.625,101,371,101,33,37,106,110,320,187,524,0.357,45,152,0.296,80,124,0.645,87,271,70,58,26,79,135,71.9,111.5,0.269,0.387,0.562,57.8,41.2,5.7,9.9,0.549,15.7,35.4,0.168,71.9,86.8,0.237,0.29,0.428,42.2,37.4,10.1,8.4,0.4,11.9,24.4,0.153,0.57741935483871,75.6
"James Madison","http://a.espncdn.com/i/teamlogos/ncaa/500/256.png","G5","#450084","#cbb778","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/3393_james_madison_dukes-wordmark-2017.png",1,8,8,0,1,13.64,1.64,335,276,551,0.501,79,203,0.389,132,187,0.706,100,329,138,80,33,93,151,335,211,503,0.419,57,178,0.32,129,182,0.709,89,278,90,50,20,135,150,75.7,120.3,0.339,0.368,0.596,54.2,50,12.6,10.2,0.573,12.7,34.6,0.24,75.7,95.9,0.362,0.354,0.516,45.8,42.7,7.9,5.7,0.476,18.6,28,0.256,0.566091954022989,72
