"school","logo","type","color","alt_color","wordmark","belong","g","w","l","w_l_percent","srs","sos","offense_mp","offense_fg","offense_fga","offense_fg_percent","offense_x3p","offense_x3pa","offense_x3p_percent","offense_ft","offense_fta","offense_ft_percent","offense_orb","offense_trb","offense_ast","offense_stl","offense_blk","offense_tov","offense_pf","defense_mp","defense_fg","defense_fga","defense_fg_percent","defense_x3p","defense_x3pa","defense_x3p_percent","defense_ft","defense_fta","defense_ft_percent","defense_orb","defense_trb","defense_ast","defense_stl","defense_blk","defense_tov","defense_pf","offense_pace","offense_o_rtg","offense_f_tr","offense_x3p_ar","offense_ts_percent","offense_trb_percent","offense_ast_percent","offense_stl_percent","offense_blk_percent","offense_e_fg_percent","offense_tov_percent","offense_orb_percent","offense_ft_fga","defense_pace","defense_o_rtg","defense_f_tr","defense_x3p_ar","defense_ts_percent","defense_trb_percent","defense_ast_percent","defense_stl_percent","defense_blk_percent","defense_e_fg_percent","defense_tov_percent","defense_orb_percent","defense_ft_fga","offense_x2p_percent","offense_drb_percent"
"Alabama","http://a.espncdn.com/i/teamlogos/ncaa/500/333.png","P5","#690014","#f1f2f3","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/alabama_crimson_tide_logo_secondary_19987746.png",1,8,6,2,0.75,23.73,4.48,320,243,487,0.499,85,208,0.409,182,228,0.798,101,324,122,64,40,94,146,320,211,485,0.435,59,181,0.326,118,170,0.694,82,253,82,53,31,102,183,73.4,128.3,0.468,0.427,0.632,56.2,50.2,10.9,13.2,0.586,13.6,37.1,0.374,73.4,102,0.351,0.373,0.529,43.8,38.9,9,11.1,0.496,15.3,26.9,0.243,0.566308243727599,73.1
"Arizona","http://a.espncdn.com/i/teamlogos/ncaa/500/12.png","P5","#002449","#00205b","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/2804_arizona_wildcats-wordmark-2003.png",1,7,7,0,1,32.8,1.95,280,238,470,0.506,56,148,0.378,122,163,0.748,106,330,147,71,31,94,108,280,163,423,0.385,52,165,0.315,60,96,0.625,47,196,87,52,22,113,140,76.4,122.2,0.347,0.315,0.597,62.7,61.8,13.3,12,0.566,14.7,41.6,0.26,76.4,81.9,0.227,0.39,0.467,37.3,53.4,9.7,6.8,0.447,19.4,17.3,0.142,0.565217391304348,82.7
"Auburn","http://a.espncdn.com/i/teamlogos/ncaa/500/2.png","P5","#03244d","#f1f2f3","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/auburn_tigers_logo_wordmark_20067195.png",1,7,5,2,0.714,16.32,3.18,280,189,426,0.444,48,162,0.296,124,179,0.693,99,289,129,44,40,83,143,280,150,402,0.373,36,135,0.267,122,159,0.767,79,241,59,48,15,95,142,70.6,111.3,0.42,0.38,0.538,54.5,68.3,8.9,15,0.5,14,37.9,0.291,70.6,92.7,0.396,0.336,0.48,45.5,39.3,9.7,5.7,0.418,16.6,29.4,0.303,0.534090909090909,70.6
"Baylor","http://a.espncdn.com/i/teamlogos/ncaa/500/239.png","P5","#004834","#ffb81c","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/1778_baylor_bears-wordmark-2005.png",1,9,9,0,1,25.01,1.76,360,285,548,0.52,82,190,0.432,168,227,0.74,124,360,150,66,46,106,139,360,225,549,0.41,54,188,0.287,104,138,0.754,98,264,112,53,41,119,197,70.7,128.7,0.414,0.347,0.625,57.7,52.6,10.4,12.7,0.595,13.9,42.8,0.307,70.7,95.4,0.251,0.342,0.495,42.3,49.8,8.3,11.5,0.459,16.2,29.3,0.189,0.567039106145251,70.7
"BYU","http://a.espncdn.com/i/teamlogos/ncaa/500/252.png","P5","#001E4C","#ffffff","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/brigham_young_cougars_logo_wordmark_19992374.png",1,8,8,0,1,31.43,-1.44,320,267,540,0.494,103,263,0.392,98,131,0.748,113,365,179,55,21,85,133,320,183,471,0.389,34,152,0.224,72,117,0.615,60,239,82,50,10,106,124,71.7,128.3,0.243,0.487,0.61,60.4,67,9.6,6.6,0.59,12.4,38.7,0.181,71.7,82.4,0.248,0.323,0.448,39.6,44.8,8.7,3.6,0.425,16.8,19.2,0.153,0.592057761732852,80.8
"Cincinnati","http://a.espncdn.com/i/teamlogos/ncaa/500/2132.png","G5","#000000","#717073","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/cincinnati_bearcats_logo_wordmark_20058032.png",1,7,7,0,1,19.3,-2.99,285,227,468,0.485,67,180,0.372,90,130,0.692,96,293,126,50,22,63,91,285,174,415,0.419,39,137,0.285,68,96,0.708,49,207,80,35,29,88,115,69.9,122.7,0.278,0.385,0.577,58.6,55.5,10,7.9,0.557,10.6,37.8,0.192,69.9,91.4,0.231,0.33,0.494,41.4,46,7,10.1,0.466,16,19.9,0.164,0.555555555555556,80.1
"Clemson","http://a.espncdn.com/i/teamlogos/ncaa/500/228.png","P5","#F66733","#522d80","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/2397_clemson_tigers-wordmark-2014.png",1,8,8,0,1,17.28,6.53,320,230,481,0.478,80,195,0.41,94,131,0.718,76,301,135,36,42,79,139,320,186,462,0.403,64,190,0.337,112,161,0.696,72,269,87,46,18,79,131,68.2,116.1,0.272,0.405,0.584,52.8,58.7,6.6,15.4,0.561,12.7,27.8,0.195,68.2,100.4,0.348,0.411,0.509,47.2,46.8,8.4,6.3,0.472,12.8,24.2,0.242,0.524475524475524,75.8
"Colorado","http://a.espncdn.com/i/teamlogos/ncaa/500/38.png","P5","#d1c57e","#ffd200","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/8028_colorado_buffaloes-wordmark-2006.png",1,8,6,2,0.75,14.21,0.08,325,235,455,0.516,56,134,0.418,144,183,0.787,85,306,142,54,21,112,132,325,192,463,0.415,59,175,0.337,114,157,0.726,70,226,72,69,22,102,161,70.1,117.8,0.402,0.295,0.618,57.5,60.4,9.5,7.3,0.578,17.1,35.3,0.316,70.1,97.9,0.339,0.378,0.518,42.5,37.5,12.1,6.9,0.478,15.9,24.1,0.246,0.557632398753894,75.9
"Colorado State","http://a.espncdn.com/i/teamlogos/ncaa/500/36.png","G5","#004537","#ffc425","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/colorado_state_rams_logo_wordmark_20217977.png",1,9,9,0,1,21.73,7.17,360,277,518,0.535,78,201,0.388,140,183,0.765,58,288,185,60,24,85,152,360,234,531,0.441,60,186,0.323,113,149,0.758,84,287,104,40,22,115,155,70.3,122.2,0.353,0.388,0.638,50.1,66.8,9.5,7,0.61,12.3,22.2,0.27,70.3,101.4,0.281,0.35,0.533,49.9,44.4,6.3,6.9,0.497,16,26.8,0.213,0.627760252365931,73.2
"Connecticut","http://a.espncdn.com/i/teamlogos/ncaa/500/41.png","G5","#001d40","#f1f2f3","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/uconn_huskies_logo_alternate_20132910.png",1,9,8,1,0.889,20.82,-1.85,360,278,552,0.504,76,237,0.321,141,195,0.723,117,377,168,61,50,90,145,360,203,506,0.401,58,157,0.369,105,162,0.648,72,253,102,51,23,108,156,68.7,125.1,0.353,0.429,0.6,59.8,60.4,9.9,14.3,0.572,12.3,39.3,0.255,68.7,92.1,0.32,0.31,0.488,40.2,50.2,8.3,7.3,0.458,15.6,21.7,0.208,0.641269841269841,78.3
