"school","logo","type","color","alt_color","wordmark","g","w","l","w_l_percent","srs","sos","offense_mp","offense_fg","offense_fga","offense_fg_percent","offense_x3p","offense_x3pa","offense_x3p_percent","offense_ft","offense_fta","offense_ft_percent","offense_orb","offense_trb","offense_ast","offense_stl","offense_blk","offense_tov","offense_pf","defense_mp","defense_fg","defense_fga","defense_fg_percent","defense_x3p","defense_x3pa","defense_x3p_percent","defense_ft","defense_fta","defense_ft_percent","defense_orb","defense_trb","defense_ast","defense_stl","defense_blk","defense_tov","defense_pf","offense_pace","offense_o_rtg","offense_f_tr","offense_x3p_ar","offense_ts_percent","offense_trb_percent","offense_ast_percent","offense_stl_percent","offense_blk_percent","offense_e_fg_percent","offense_tov_percent","offense_orb_percent","offense_ft_fga","defense_pace","defense_o_rtg","defense_f_tr","defense_x3p_ar","defense_ts_percent","defense_trb_percent","defense_ast_percent","defense_stl_percent","defense_blk_percent","defense_e_fg_percent","defense_tov_percent","defense_orb_percent","defense_ft_fga","offense_x2p_percent","offense_drb_percent"
"Alabama","http://a.espncdn.com/i/teamlogos/ncaa/500/333.png","P5","#690014","#f1f2f3","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/alabama_crimson_tide_logo_secondary_19987746.png",8,6,2,0.75,23.73,4.48,320,243,487,0.499,85,208,0.409,182,228,0.798,101,324,122,64,40,94,146,320,211,485,0.435,59,181,0.326,118,170,0.694,82,253,82,53,31,102,183,73.4,128.3,0.468,0.427,0.632,56.2,50.2,10.9,13.2,0.586,13.6,37.1,0.374,73.4,102,0.351,0.373,0.529,43.8,38.9,9,11.1,0.496,15.3,26.9,0.243,0.566308243727599,73.1
"Arizona","http://a.espncdn.com/i/teamlogos/ncaa/500/12.png","P5","#002449","#00205b","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/2804_arizona_wildcats-wordmark-2003.png",7,7,0,1,32.8,1.95,280,238,470,0.506,56,148,0.378,122,163,0.748,106,330,147,71,31,94,108,280,163,423,0.385,52,165,0.315,60,96,0.625,47,196,87,52,22,113,140,76.4,122.2,0.347,0.315,0.597,62.7,61.8,13.3,12,0.566,14.7,41.6,0.26,76.4,81.9,0.227,0.39,0.467,37.3,53.4,9.7,6.8,0.447,19.4,17.3,0.142,0.565217391304348,82.7
"Arizona State","http://a.espncdn.com/i/teamlogos/ncaa/500/9.png","P5","#942139","#f1f2f3","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/2342_arizona_state_sun_devils-wordmark-2012.png",8,6,2,0.75,9.16,7.28,320,191,460,0.415,45,157,0.287,120,193,0.622,69,292,98,67,30,84,127,320,197,502,0.392,56,206,0.272,82,119,0.689,103,342,102,46,15,118,156,71.3,96,0.42,0.341,0.496,46.1,51.3,11.8,10.1,0.464,13.2,22.4,0.261,71.3,93.3,0.237,0.41,0.476,53.9,51.8,8.1,5,0.448,17.4,31.6,0.163,0.481848184818482,68.4
"California","http://a.espncdn.com/i/teamlogos/ncaa/500/25.png","P5","#031522","#ffc423","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/7066_california_golden_bears-wordmark-2013.png",8,3,5,0.375,0.22,-1.53,325,202,464,0.435,65,199,0.327,128,171,0.749,101,308,76,40,23,108,146,325,198,461,0.43,60,174,0.345,127,169,0.751,73,245,73,51,20,81,151,67.8,108.3,0.369,0.429,0.547,55.7,37.6,7.3,8,0.505,16.5,37,0.276,67.8,105.8,0.367,0.377,0.539,44.3,36.9,9.3,7.5,0.495,13,26.1,0.275,0.516981132075472,73.9
"Colorado","http://a.espncdn.com/i/teamlogos/ncaa/500/38.png","P5","#d1c57e","#ffd200","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/8028_colorado_buffaloes-wordmark-2006.png",8,6,2,0.75,14.21,0.08,325,235,455,0.516,56,134,0.418,144,183,0.787,85,306,142,54,21,112,132,325,192,463,0.415,59,175,0.337,114,157,0.726,70,226,72,69,22,102,161,70.1,117.8,0.402,0.295,0.618,57.5,60.4,9.5,7.3,0.578,17.1,35.3,0.316,70.1,97.9,0.339,0.378,0.518,42.5,37.5,12.1,6.9,0.478,15.9,24.1,0.246,0.557632398753894,75.9
"Georgia","http://a.espncdn.com/i/teamlogos/ncaa/500/61.png","P5","#CC0000","#000000","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/georgia_bulldogs_logo_wordmark_20156350.png",9,6,3,0.667,6.82,4.6,360,212,525,0.404,72,227,0.317,153,217,0.705,91,345,101,51,27,103,160,360,225,573,0.393,65,208,0.313,114,162,0.704,113,365,117,48,30,100,182,70.9,101.6,0.413,0.432,0.517,48.6,47.6,8,7.4,0.472,14.1,26.5,0.291,70.9,98.4,0.283,0.363,0.484,51.4,52,7.5,10.1,0.449,13.3,30.8,0.199,0.469798657718121,69.2
"Kent State","http://a.espncdn.com/i/teamlogos/ncaa/500/2309.png","G5","#002445","#f0b510","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/kent_state_golden_flashes_logo_wordmark_2017_sportslogosnet-7257.png",9,6,3,0.667,7.17,0.17,370,256,555,0.461,74,217,0.341,174,221,0.787,108,332,126,82,25,118,171,370,221,517,0.427,82,229,0.358,124,190,0.653,95,300,127,67,19,157,183,72.4,113.4,0.398,0.391,0.576,52.5,49.2,12.2,8.7,0.528,15.2,34.5,0.314,72.4,96.7,0.368,0.443,0.534,47.5,57.5,10,5.6,0.507,20.5,29.8,0.24,0.538461538461538,70.2
"Michigan","http://a.espncdn.com/i/teamlogos/ncaa/500/130.png","P5","#00274c","#ffcb05","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/michigan_wolverines_logo_wordmark_2016_sportslogosnet-8199.png",9,4,5,0.444,9.74,5.08,365,269,545,0.494,80,216,0.37,113,168,0.673,105,334,123,43,33,118,152,365,255,566,0.451,74,189,0.392,105,146,0.719,105,295,112,61,35,109,150,70,114.4,0.308,0.396,0.585,53.1,45.7,6.7,8.8,0.567,15.9,35.6,0.207,70,107.8,0.258,0.334,0.542,46.9,43.9,9.5,10.6,0.516,14.6,31.4,0.186,0.574468085106383,68.6
"Oregon","http://a.espncdn.com/i/teamlogos/ncaa/500/2483.png","P5","#044520","#fee123","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/oregon_ducks_wordmark.png",7,5,2,0.714,11.16,3.74,285,210,446,0.471,58,148,0.392,97,159,0.61,84,273,104,53,25,65,124,285,183,414,0.442,52,152,0.342,105,145,0.724,67,249,79,30,25,89,143,70.7,114.1,0.357,0.332,0.551,52.3,49.5,10.5,9.5,0.536,11.1,31.6,0.217,70.7,103.8,0.35,0.367,0.542,47.7,43.2,6,8.4,0.505,15.6,26.2,0.254,0.51006711409396,73.8
"Oregon State","http://a.espncdn.com/i/teamlogos/ncaa/500/204.png","P5","#c34500","#dea076","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/oregon_state_beavers_logo_wordmark_20133449.png",8,5,3,0.625,1.2,5.77,345,189,449,0.421,41,159,0.258,152,199,0.764,79,301,94,54,29,118,165,345,193,492,0.392,59,200,0.295,122,178,0.685,104,302,107,61,26,113,181,67.7,97.8,0.443,0.354,0.525,49.9,49.7,9.2,9.9,0.467,17.8,28.5,0.339,67.7,97.1,0.362,0.407,0.492,50.1,55.4,10.4,9,0.452,16.4,31.9,0.248,0.510344827586207,68.1
