Rk,Player,Pos,Team,Player-additional,PTS,From,To,Age,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG%,2P%,3P%,FT%,TS%,eFG%,WS,ORtg,DRtg,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%
1,Jayson Tatum,F,BOS,tatumja01,5963,2020-21,2022-23,22-24,214,214,7753,2040,4441,1383,2619,657,1822,1226,1431,213,1517,1730,952,228,131,601,456,0.459,0.528,0.361,0.857,0.588,0.533,26.7,115,109,15.3,11.4,0.165,4.5,0.4,4.8,13.4,22.3,3,21.1,12.2,20.8,1.4,1.5,10.6,31.9
2,Luka Dončić,G-F,DAL,doncilu01,5815,2020-21,2022-23,21-23,197,197,6954,2007,4203,1429,2545,578,1658,1223,1654,164,1525,1689,1664,229,105,809,463,0.478,0.561,0.349,0.739,0.59,0.546,25.5,115,110,16.1,9.3,0.176,6.7,1.3,8,17.6,26.4,2.7,24.7,13.7,44.1,1.6,1.4,14.1,37
3,Joel Embiid,C,PHI,embiijo01,5713,2020-21,2022-23,26-28,185,185,6166,1855,3561,1638,2956,217,605,1786,2122,372,1633,2005,703,193,280,599,509,0.521,0.554,0.359,0.842,0.636,0.551,33.1,122,106,21.9,11.2,0.258,6.9,1.9,8.8,16.7,31,6.9,29.5,18.4,21.4,1.5,4.1,11.8,36.6
4,Giannis Antetokounmpo,F-G,MIL,antetgi01,5678,2020-21,2022-23,26-28,191,191,6241,2022,3623,1837,2989,185,634,1449,2119,368,1823,2191,1104,196,215,672,577,0.558,0.615,0.292,0.684,0.623,0.584,31.7,121,107,21,10.7,0.244,6.6,3,9.6,18.4,30.1,6.4,29.8,18.5,31.2,1.5,3.1,12.9,35.4
5,Trae Young,G,ATL,youngtr01,5663,2020-21,2022-23,22-24,212,212,7318,1795,4046,1272,2579,523,1467,1550,1738,144,602,746,2072,205,28,864,343,0.444,0.493,0.357,0.892,0.589,0.508,23.8,118,118,20.2,3.6,0.156,6,-1.9,4.1,11.3,23.5,2.2,9,5.6,44.9,1.4,0.3,15.2,33.4
6,Nikola Jokić,C-F,DEN,jokicni01,5592,2020-21,2022-23,25-27,215,215,7287,2142,3626,1896,2952,246,674,1062,1277,578,2038,2616,1861,291,158,750,557,0.591,0.642,0.365,0.832,0.668,0.625,45.8,130,108,34.1,11.7,0.302,9,4,12.9,27.4,31.9,9.2,31,20.3,43.1,2,2,15.2,29.6
7,Stephen Curry,G,GSW,curryst01,5293,2020-21,2022-23,32-34,183,183,6304,1752,3722,857,1532,895,2190,894,974,102,919,1021,1119,214,51,598,366,0.471,0.559,0.409,0.918,0.638,0.591,24.8,119,111,16.8,7.9,0.189,7,0.3,7.3,14.9,23.9,1.8,15.5,8.8,30.3,1.6,0.7,12.6,32.2
8,DeMar DeRozan,G-F,CHISAS,derozde01,5250,2020-21,2022-23,31-33,211,211,7481,1886,3758,1771,3400,115,358,1363,1556,130,864,994,1173,207,75,453,492,0.502,0.521,0.321,0.876,0.591,0.517,24.7,119,115,18.3,6.4,0.159,2.7,-0.2,2.5,8.4,21.9,1.9,12.8,7.4,25.3,1.3,0.9,9.3,28.8
9,Zach LaVine,G-F,CHI,lavinza01,5139,2020-21,2022-23,25-27,202,202,7130,1807,3697,1218,2201,589,1496,936,1101,100,842,942,912,156,68,568,417,0.489,0.553,0.394,0.85,0.615,0.568,18.8,115,115,12.8,6,0.127,3.7,-1,2.7,8.4,20.1,1.6,13.1,7.4,20.7,1.1,0.9,12,29.2
10,Julius Randle,F-C,NYK,randlju01,5095,2020-21,2022-23,26-28,220,220,7948,1772,3999,1274,2584,498,1415,1053,1361,350,1856,2206,1113,166,78,702,663,0.443,0.493,0.352,0.774,0.554,0.505,19,110,110,8.2,10.8,0.115,2.4,0.3,2.7,9.4,18.7,4.8,25.5,15.1,23.5,1,0.9,13.2,29.2
11,Donovan Mitchell,G,CLEUTA,mitchdo01,5056,2020-21,2022-23,24-26,188,188,6469,1774,3869,1119,2119,655,1750,853,997,168,638,806,936,250,54,527,449,0.459,0.528,0.374,0.856,0.587,0.543,22.3,116,111,14,8.3,0.165,5,0.1,5.1,11.5,22,3,10.7,6.9,25.1,1.9,0.7,10.9,32.8
12,Devin Booker,G,PHO,bookede01,5005,2020-21,2022-23,24-26,188,188,6450,1812,3775,1392,2610,420,1165,961,1113,125,738,863,911,181,60,514,520,0.48,0.533,0.361,0.863,0.587,0.536,18.5,114,112,11.4,7.2,0.138,3.3,-0.5,2.8,7.8,20.8,2.1,12.5,7.4,23.2,1.4,0.8,10.8,32.2
13,Anthony Edwards,G,MIN,edwaran01,4871,2020-21,2022-23,19-21,223,206,7622,1761,3997,1162,2297,599,1700,750,974,168,969,1137,836,312,140,609,479,0.441,0.506,0.352,0.77,0.55,0.516,8.9,105,114,1.5,7.4,0.056,0.7,-0.6,0.1,4.1,16,2.4,14.1,8.2,17.3,1.9,1.7,12.1,27.9
14,Jaylen Brown,F-G,BOS,brownja02,4773,2020-21,2022-23,24-26,191,191,6624,1793,3711,1301,2349,492,1362,695,912,202,1008,1210,658,217,76,533,503,0.483,0.554,0.361,0.762,0.58,0.549,15.6,110,111,6.7,8.8,0.113,2.1,-0.2,1.9,6.5,19.3,3.4,16.4,10,17,1.6,1,11.5,30.6
15,De'Aaron Fox,G,SAC,foxde01,4654,2020-21,2022-23,23-25,190,190,6555,1727,3533,1431,2597,296,936,904,1205,98,642,740,1194,238,75,523,514,0.489,0.551,0.316,0.75,0.573,0.531,14.1,113,117,10.5,3.6,0.103,2.4,-1.1,1.3,5.4,20,1.7,11,6.3,29.7,1.7,1,11.4,30.1
16,Damian Lillard,G,POR,lillada01,4489,2020-21,2022-23,30-32,154,154,5561,1380,3088,769,1442,611,1646,1118,1223,89,591,680,1142,129,46,477,248,0.447,0.533,0.371,0.914,0.619,0.546,21.2,123,120,19.6,1.6,0.183,7.2,-1.5,5.6,10.8,24.7,1.7,12,6.8,34.6,1.1,0.8,11.6,31.9
17,Pascal Siakam,F,TOR,siakapa01,4467,2020-21,2022-23,26-28,195,195,7236,1663,3481,1422,2730,241,751,900,1154,354,1187,1541,1025,214,115,480,627,0.478,0.521,0.321,0.78,0.56,0.512,20.1,115,113,12.3,7.8,0.133,2.5,0.2,2.6,8.4,19.6,5.1,19.2,11.8,23,1.5,1.6,10.7,26.5
18,LeBron James,F-G,LAL,jamesle01,4411,2020-21,2022-23,36-38,156,155,5542,1671,3263,1285,2153,386,1110,683,918,157,1105,1262,1074,171,116,542,279,0.512,0.597,0.348,0.744,0.601,0.571,18.7,115,111,11.3,7.4,0.162,6.1,1.1,7.2,12.9,24.8,3.1,21.4,12.4,34.7,1.5,1.8,12.9,32.5
