"player","class","pos","team","x3_p_s","slasher","ball_dominant","playmaker","perim_defender","rim_protector","oreb","dreb","sim_1","sim_1_url","sim_2","sim_3","sim_4","sim_5","Dim.1","Dim.2","Dim.3","Dim.4","URL","#"
"Chris Bell","SO","F","Syracuse",0.974187380497132,0.0439770554493308,0.832695984703633,0.0564053537284895,0.361376673040153,0.456022944550669,0.0133843212237094,0.0239005736137667,"Terrence Ross","https://cdn.nba.com/headshots/nba/latest/260x190/203082.png","Dillon Brooks","Ziaire Williams","Ignas Brazdeikis","Timothé Luwawu-Cabarrot",-2.92850732525441,-0.0160712830837225,1.0947059565874,-1.96167988834459,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4684627.png",4
"Hunter Goodrick","SR","F","California Baptist",0.37189292543021,0.748565965583174,0.405353728489484,0.872848948374761,0.472275334608031,0.39961759082218,0.769598470363289,0.941682600382409,"Jaren Jackson Jr.","https://cdn.nba.com/headshots/nba/latest/260x190/1628991.png","Naz Reid","Santi Aldama","D.J. Wilson","Chris Boucher",1.32495749075296,-0.0849211822466039,-0.0336045049964903,1.94336160312905,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4593836.png",10
"David Jones","JR","F","Memphis",0.82791586998088,0.304015296367113,0.964627151051625,0.150095602294455,0.976099426386233,0.552581261950287,0.436902485659656,0.382409177820268,"Mikal Bridges","https://cdn.nba.com/headshots/nba/latest/260x190/1628969.png","Gordon Hayward","Khris Middleton","Naji Marshall","Cedi Osman",-0.497435841754604,0.935260789289326,1.8447406849005,-1.68680818321508,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4713010.png",8
"Johnny O'Neil","JR","F","Santa Clara",0.874760994263862,0.0391969407265774,0.474187380497132,0.708413001912046,0.558317399617591,0.690248565965583,0.108986615678776,0.62810707456979,"Trevor Ariza","https://cdn.nba.com/headshots/nba/latest/260x190/2772.png","Cameron Johnson","Sam Hauser","Mike Scott","Taurean Prince",-1.53212072344237,1.8087236562457,0.602926039306726,0.240916717716635,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4702481.png",14
"Brantly Stevenson","SR","F","California Baptist",0.951242829827916,0.10038240917782,0.527724665391969,0.65678776290631,0.443594646271511,0.324091778202677,0.164435946462715,0.109942638623327,"Trey Murphy III","https://cdn.nba.com/headshots/nba/latest/260x190/1630530.png","Justin Holiday","Patrick Patterson","Georges Niang","AJ Griffin",-2.61104895443452,0.822441357643739,-0.0996870896086514,-0.0905791590031551,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4702353.png",4
"Kaosi Ezeagu","SR","F","New Mexico State",0,0.806883365200765,0.675908221797323,0.0124282982791587,0.116634799235182,0.0659655831739962,0.734225621414914,0.678776290630975,"Precious Achiuwa","https://cdn.nba.com/headshots/nba/latest/260x190/1630173.png","Jaylen Hoard","Jeremy Sochan","Jalen Smith","Jabari Walker",0.893311345553429,-3.18969373735734,0.473766763904293,0.0164507305014023,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4397867.png",1
"Robert Carpenter","SR","F","New Mexico State",0.581261950286807,0.387189292543021,0.805927342256214,0.0602294455066922,0.284894837476099,0.277246653919694,0.666347992351816,0.382409177820268,"Jerami Grant","https://cdn.nba.com/headshots/nba/latest/260x190/203924.png","Harrison Barnes","T.J. Warren","Josh Jackson","Eric Paschall",-0.664418705822514,-1.54369378063591,1.07936206813891,-0.859119254290668,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4592486.png",21
"Jaykwon Walton","SR","F","Memphis",0.756214149139579,0.224665391969407,0.60038240917782,0.739005736137667,0.783938814531549,0.649139579349904,0.0745697896749522,0.168260038240918,"Solomon Hill","https://cdn.nba.com/headshots/nba/latest/260x190/203524.png","Trevor Ariza","Maurice Harkless","Mike Scott","Vlatko Čančar",-1.40664787925133,1.96658355413729,-0.0251616413326075,-0.47038951738872,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4431713.png",10
"Calvin Solomon","SR","F","UTEP",0.186424474187381,0.983747609942639,0.577437858508604,0.963671128107075,0.963671128107075,0.825047801147228,0.287762906309751,0.282982791586998,"Al-Farouq Aminu","https://cdn.nba.com/headshots/nba/latest/260x190/202329.png","Usman Garuba","Jaylin Williams","Caleb Martin","Javonte Green",1.62330036942133,1.66726865329006,-0.933071847399301,0.19017640800379,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4594155.png",13
"Nick Ellington","JR","F","Murray State",0,0.891969407265774,0.582217973231358,0.187380497131931,0.477055449330784,0.759082217973231,0.88623326959847,0.845124282982792,"Brandon Clarke","https://cdn.nba.com/headshots/nba/latest/260x190/1629634.png","Trendon Watford","Bruno Fernando","Isaiah Roby","Drew Eubanks",2.72986014878401,-1.19330173746146,0.449643694278757,-0.391773820235231,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5107894.png",11
