opponent,ESPN_name,KP_name,SRurl
Georgia,,,https://www.sports-reference.com/cbb/schools/georgia/men/2024.html
Montana,,,https://www.sports-reference.com/cbb/schools/montana/men/2024.html
Tennessee State,,,https://www.sports-reference.com/cbb/schools/tennessee-state/men/2024.html
Florida A&M,,,https://www.sports-reference.com/cbb/schools/florida-am/men/2024.html
Santa Clara,,,https://www.sports-reference.com/cbb/schools/santa-clara/men/2024.html
Alabama,,,https://www.sports-reference.com/cbb/schools/alabama/men/2024.html
Ohio State,,,https://www.sports-reference.com/cbb/schools/ohio-state/men/2024.html
Michigan,,,https://www.sports-reference.com/cbb/schools/michigan/men/2024.html
UTEP,,,https://www.sports-reference.com/cbb/schools/texas-el-paso/men/2024.html
California Baptist,,Cal Baptist,https://www.sports-reference.com/cbb/schools/california-baptist/men/2024.html
Syracuse,,,https://www.sports-reference.com/cbb/schools/syracuse/men/2024.html
Kent State,,,https://www.sports-reference.com/cbb/schools/kent-state/men/2024.html
USC,,,https://www.sports-reference.com/cbb/schools/southern-california/men/2024.html
UCLA,,,https://www.sports-reference.com/cbb/schools/ucla/men/2024.html
Washinton,,,https://www.sports-reference.com/cbb/schools/washington/men/2024.html
Washington State,,,https://www.sports-reference.com/cbb/schools/washington-state/men/2024.html
California,,,https://www.sports-reference.com/cbb/schools/california/men/2024.html
Colorado,,,https://www.sports-reference.com/cbb/schools/colorado/men/2024.html
Utah,,,https://www.sports-reference.com/cbb/schools/utah/men/2024.html
Arizona State,,,https://www.sports-reference.com/cbb/schools/arizona-state/men/2024.html
Arizona,,,https://www.sports-reference.com/cbb/schools/arizona/men/2024.html
Oregon State,,,https://www.sports-reference.com/cbb/schools/oregon-state/men/2024.html
Stanford,,,https://www.sports-reference.com/cbb/schools/stanford/men/2024.html
Alcorn State,,,https://www.sports-reference.com/cbb/schools/alcorn-state/men/2024.html
Winthrop,,,https://www.sports-reference.com/cbb/schools/winthrop/men/2024.html
UAB,,,https://www.sports-reference.com/cbb/schools/alabama-birmingham/men/2024.html
Davidson,,,https://www.sports-reference.com/cbb/schools/davidson/men/2024.html
Boise State,,,https://www.sports-reference.com/cbb/schools/boise-state/men/2024.html
Pittsburgh,,,https://www.sports-reference.com/cbb/schools/pittsburgh/men/2024.html
South Carolina,,,https://www.sports-reference.com/cbb/schools/south-carolina/men/2024.html
TCU,,,https://www.sports-reference.com/cbb/schools/texas-christian/men/2024.html
Memphis,,,https://www.sports-reference.com/cbb/schools/memphis/men/2024.html
Queens,Queens University,,https://www.sports-reference.com/cbb/schools/queens-nc/men/2024.html
Radford,,,https://www.sports-reference.com/cbb/schools/radford/men/2024.html
Miami,,Miami FL,https://www.sports-reference.com/cbb/schools/miami-fl/men/2024.html
UNC,North Carolina,North Carolina,https://www.sports-reference.com/cbb/schools/north-carolina/men/2024.html
Virginia Tech,,,https://www.sports-reference.com/cbb/schools/virginia-tech/men/2024.html
Boston College,,,https://www.sports-reference.com/cbb/schools/boston-college/men/2024.html
Georgia Tech,,,https://www.sports-reference.com/cbb/schools/georgia-tech/men/2024.html
Florida State,,,https://www.sports-reference.com/cbb/schools/florida-state/men/2024.html
Duke,,,https://www.sports-reference.com/cbb/schools/duke/men/2024.html
Louisville,,,https://www.sports-reference.com/cbb/schools/louisville/men/2024.html
Virginia,,,https://www.sports-reference.com/cbb/schools/virginia/men/2024.html
NC State,,N.C. State,https://www.sports-reference.com/cbb/schools/north-carolina-state/men/2024.html
Notre Dame,,,https://www.sports-reference.com/cbb/schools/notre-dame/men/2024.html
Wake Forest,,,https://www.sports-reference.com/cbb/schools/wake-forest/men/2024.html
Texas Southern,,,https://www.sports-reference.com/cbb/schools/texas-southern/men/2024.html
