"player","class","pos","team","x3_p_s","slasher","ball_dominant","playmaker","limit_to","perim_defender","rim_protector","oreb","dreb"
"Mikal Bridges","NBA","F-G","BRKPHO",0.545454545454545,0.517045454545455,0.573863636363636,0.636363636363636,0.943181818181818,0.767045454545455,0.664772727272727,0.1875,0.0681818181818182
"Jayson Tatum","NBA","F","BOS",0.647727272727273,0.625,0.988636363636364,0.852272727272727,0.363636363636364,0.676136363636364,0.596590909090909,0.176136363636364,0.880681818181818
"Harrison Barnes","NBA","F","SAC",0.522727272727273,0.829545454545455,0.573863636363636,0.551136363636364,0.647727272727273,0.0397727272727273,0.0113636363636364,0.267045454545455,0.392045454545455
"Pascal Siakam","NBA","F","TOR",0.198863636363636,0.880681818181818,0.948863636363636,0.926136363636364,0.903409090909091,0.636363636363636,0.551136363636364,0.579545454545455,0.784090909090909
"Royce O'Neale","NBA","F","BRKUTA",0.943181818181818,0.0568181818181818,0.0397727272727273,0.892045454545455,0.954545454545455,0.829545454545455,0.721590909090909,0.232954545454545,0.460227272727273
"Tobias Harris","NBA","F","PHI",0.386363636363636,0.585227272727273,0.846590909090909,0.840909090909091,0.869318181818182,0.505681818181818,0.488636363636364,0.255681818181818,0.6875
"Saddiq Bey","NBA","F","ATLDET",0.823863636363636,0.295454545454545,0.801136363636364,0.494318181818182,0.806818181818182,0.153409090909091,0.0340909090909091,0.346590909090909,0.403409090909091
"Jaylen Brown","NBA","F-G","BOS",0.579545454545455,0.556818181818182,0.971590909090909,0.642045454545455,0.0625,0.488636363636364,0.346590909090909,0.255681818181818,0.579545454545455
"Dorian Finney-Smith","NBA","F","BRKDAL",0.880681818181818,0.107954545454545,0.176136363636364,0.5625,0.772727272727273,0.636363636363636,0.511363636363636,0.676136363636364,0.130681818181818
"Kyle Kuzma","NBA","F","LALWAS",0.625,0.414772727272727,0.909090909090909,0.698863636363636,0.125,0.210227272727273,0.318181818181818,0.392045454545455,0.863636363636364
"Giannis Antetokounmpo","NBA","F-G","MIL",0.119318181818182,0.971590909090909,1,0.977272727272727,0.284090909090909,0.903409090909091,0.948863636363636,0.744318181818182,0.994318181818182
"P.J. Washington","NBA","F","CHO",0.698863636363636,0.352272727272727,0.670454545454545,0.681818181818182,0.4375,0.579545454545455,0.772727272727273,0.426136363636364,0.460227272727273
