"school","logo","type","color","alt_color","wordmark","g","w","l","w_l_percent","srs","sos","offense_mp","offense_fg","offense_fga","offense_fg_percent","offense_x3p","offense_x3pa","offense_x3p_percent","offense_ft","offense_fta","offense_ft_percent","offense_orb","offense_trb","offense_ast","offense_stl","offense_blk","offense_tov","offense_pf","defense_mp","defense_fg","defense_fga","defense_fg_percent","defense_x3p","defense_x3pa","defense_x3p_percent","defense_ft","defense_fta","defense_ft_percent","defense_orb","defense_trb","defense_ast","defense_stl","defense_blk","defense_tov","defense_pf","offense_pace","offense_o_rtg","offense_f_tr","offense_x3p_ar","offense_ts_percent","offense_trb_percent","offense_ast_percent","offense_stl_percent","offense_blk_percent","offense_e_fg_percent","offense_tov_percent","offense_orb_percent","offense_ft_fga","defense_pace","defense_o_rtg","defense_f_tr","defense_x3p_ar","defense_ts_percent","defense_trb_percent","defense_ast_percent","defense_stl_percent","defense_blk_percent","defense_e_fg_percent","defense_tov_percent","defense_orb_percent","defense_ft_fga","offense_x2p_percent","offense_drb_percent"
"Alabama","http://a.espncdn.com/i/teamlogos/ncaa/500/333.png","P5","#690014","#f1f2f3","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/alabama_crimson_tide_logo_secondary_19987746.png",37,31,6,0.838,23.18,9.64,1510,1023,2314,0.442,366,1093,0.335,615,848,0.725,484,1652,555,224,189,512,691,1510,885,2387,0.371,202,715,0.283,554,779,0.711,452,1383,364,268,142,434,737,72.6,110.4,0.366,0.472,0.557,54.4,54.3,8.2,11.3,0.521,15.9,34.2,0.266,72.6,92.1,0.326,0.3,0.458,45.6,41.1,9.8,11.6,0.413,13.6,27.9,0.232,0.538083538083538,72.1
"Arizona","http://a.espncdn.com/i/teamlogos/ncaa/500/12.png","P5","#002449","#00205b","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/2804_arizona_wildcats-wordmark-2003.png",35,28,7,0.8,19.08,8.34,1400,1023,2072,0.494,295,781,0.378,525,742,0.708,356,1376,662,213,110,468,593,1400,905,2216,0.408,277,858,0.323,403,565,0.713,360,1163,443,276,122,431,671,72.7,112.6,0.358,0.377,0.591,54.2,64.7,8.4,8.1,0.565,16.2,30.7,0.253,72.7,97.8,0.255,0.387,0.501,45.8,49,10.8,9.5,0.471,14.8,26.1,0.182,0.563903950426026,73.9
"Arkansas","http://a.espncdn.com/i/teamlogos/ncaa/500/8.png","P5","#9c1831","#000000","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/2749_arkansas_razorbacks-wordmark-2014.png",36,22,14,0.611,15.98,9.87,1445,961,2063,0.466,179,572,0.313,565,810,0.698,373,1272,462,302,182,458,694,1445,847,1996,0.424,189,608,0.311,563,788,0.714,348,1189,382,241,103,519,681,70.2,105.1,0.393,0.277,0.545,51.7,48.1,11.9,13.1,0.509,15.8,30.7,0.274,70.2,96.4,0.395,0.305,0.516,48.3,45.1,9.5,6.9,0.472,18,27.9,0.282,0.52448021462106,72.1
"Auburn","http://a.espncdn.com/i/teamlogos/ncaa/500/2.png","P5","#03244d","#f1f2f3","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/auburn_tigers_logo_wordmark_20067195.png",34,21,13,0.618,14.34,9.28,1365,875,1991,0.439,221,701,0.315,503,723,0.696,396,1231,479,263,172,414,655,1365,788,1935,0.407,192,667,0.288,534,752,0.71,401,1211,380,238,118,442,610,68.7,105.6,0.363,0.352,0.53,50.4,54.7,11.2,13.6,0.495,15.1,32.8,0.253,68.7,98.3,0.389,0.345,0.502,49.6,48.2,10.2,9.1,0.457,16.2,32.4,0.276,0.506976744186047,67.6
"Baylor","http://a.espncdn.com/i/teamlogos/ncaa/500/239.png","P5","#004834","#ffb81c","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/1778_baylor_bears-wordmark-2005.png",34,23,11,0.676,17.3,10.53,1365,880,1957,0.45,323,878,0.368,536,720,0.744,391,1155,483,223,82,413,590,1365,864,1902,0.454,234,720,0.325,427,595,0.718,341,1086,518,208,97,460,624,67.8,113.3,0.368,0.449,0.57,51.5,54.9,9.6,6.9,0.532,15.2,34.4,0.274,67.8,103.3,0.313,0.379,0.547,48.5,60,9,9,0.516,17.4,30.9,0.225,0.516218721037998,69.1
"Boise State","http://a.espncdn.com/i/teamlogos/ncaa/500/68.png","G5","#09347A","#d8d9da","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/boise_state_broncos_logo_wordmark_2013_sportslogosnet-5682.png",34,24,10,0.706,12.78,6.2,1375,878,1938,0.453,265,733,0.362,430,587,0.733,307,1215,385,171,97,379,555,1375,802,1933,0.415,223,717,0.311,371,528,0.703,284,1096,364,176,109,401,569,66.8,106.8,0.303,0.378,0.553,52.6,43.8,7.5,8,0.521,14.6,27.4,0.222,66.8,95.8,0.273,0.371,0.503,47.4,45.4,7.7,9,0.473,15.5,23.8,0.192,0.508713692946058,76.2
"Connecticut","http://a.espncdn.com/i/teamlogos/ncaa/500/41.png","G5","#001d40","#f1f2f3","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/uconn_huskies_logo_alternate_20132910.png",39,31,8,0.795,22.95,8.51,1560,1082,2333,0.464,353,973,0.363,547,719,0.761,507,1534,684,245,190,503,692,1560,856,2145,0.399,194,653,0.297,595,810,0.735,361,1173,357,258,105,493,662,68.4,114.9,0.308,0.417,0.573,56.7,63.2,9.2,12.7,0.539,15.8,38.4,0.234,68.4,93.8,0.378,0.304,0.494,43.3,41.7,9.7,7.7,0.444,16.3,26,0.277,0.536029411764706,74
"Duke","http://a.espncdn.com/i/teamlogos/ncaa/500/150.png","P5","#001A57","#f1f2f3","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/1549_duke_blue_devils-wordmark-1978.png",36,27,9,0.75,15.84,7.45,1445,936,2072,0.452,245,731,0.335,475,620,0.766,432,1392,526,204,163,432,549,1445,844,2079,0.406,226,741,0.305,376,493,0.763,337,1108,409,220,132,391,588,65.5,109.5,0.299,0.353,0.548,55.7,56.2,8.6,12.2,0.511,15.4,35.9,0.229,65.5,96.7,0.237,0.356,0.495,44.3,48.5,9.3,9.8,0.46,14.5,26,0.181,0.515287099179717,74
"Florida Atlantic","http://a.espncdn.com/i/teamlogos/ncaa/500/2226.png","G5","#004B85","#bb2f4c","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/florida_atlantic_owls_logo_wordmark_2014_sportslogosnet-2808.png",39,35,4,0.897,13.85,2.23,1570,1084,2326,0.466,375,1024,0.366,492,684,0.719,425,1519,562,252,100,460,613,1570,923,2290,0.403,258,800,0.323,443,603,0.735,364,1286,321,225,89,481,651,68.5,112.8,0.294,0.44,0.572,54.2,51.8,9.4,6.7,0.547,14.8,31.6,0.212,68.5,94.7,0.263,0.349,0.494,45.8,34.8,8.4,6.8,0.459,15.7,25,0.193,0.544546850998464,75
"Houston","http://a.espncdn.com/i/teamlogos/ncaa/500/248.png","G5","#C90822","#231f20","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/houston_cougars_logo_wordmark_20129226.png",37,33,4,0.892,22.2,4.79,1480,1010,2203,0.458,284,835,0.34,466,636,0.733,474,1441,544,293,182,370,618,1480,708,1933,0.366,234,840,0.279,476,691,0.689,370,1173,376,199,91,506,599,64.8,115.5,0.289,0.379,0.553,55.1,53.9,12.2,16.7,0.523,12.9,37.1,0.212,64.8,88.6,0.357,0.435,0.47,44.9,53.1,8.3,6.7,0.427,18.3,27.7,0.246,0.530701754385965,72.3
"Illinois","http://a.espncdn.com/i/teamlogos/ncaa/500/356.png","P5","#f77329","#fa6300","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/3664_illinois_fighting_illini-wordmark-2014.png",33,20,13,0.606,14.82,7.67,1335,874,1946,0.449,251,815,0.308,453,667,0.679,366,1248,409,229,186,426,559,1335,804,1934,0.416,197,589,0.334,411,583,0.705,322,1115,353,228,93,429,604,69.5,105.7,0.343,0.419,0.542,52.8,46.8,9.9,13.8,0.514,15.8,31.6,0.233,69.5,95.5,0.301,0.305,0.501,47.2,43.9,9.8,8.2,0.467,16.3,26.7,0.213,0.550839964633068,73.3
"Indiana","http://a.espncdn.com/i/teamlogos/ncaa/500/84.png","P5","#7D110C","#eeedeb","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/5051_indiana_hoosiers-wordmark-0.png",35,23,12,0.657,14.96,8.9,1405,994,2044,0.486,200,544,0.368,428,602,0.711,321,1250,533,203,177,402,599,1405,852,2084,0.409,263,787,0.334,437,621,0.704,379,1199,408,229,111,391,561,68.4,109,0.295,0.266,0.561,51,53.6,8.5,13.6,0.535,14.7,28.1,0.209,68.4,100.1,0.298,0.378,0.505,49,47.9,9.5,7.4,0.472,14.1,29,0.21,0.529333333333333,71
"Iowa","http://a.espncdn.com/i/teamlogos/ncaa/500/2294.png","P5","#000000","#ffe100","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/iowa_hawkeyes_logo_wordmark_2012_sportslogosnet-5540.png",33,19,14,0.576,14.1,8.71,1335,941,2077,0.453,265,779,0.34,495,671,0.738,398,1207,541,216,112,325,488,1335,939,1982,0.474,234,640,0.366,352,472,0.746,305,1145,478,189,115,424,598,69.6,113.7,0.323,0.375,0.551,51.3,57.5,9.3,8.3,0.517,11.9,32.1,0.238,69.6,106,0.238,0.323,0.558,48.7,50.9,8.1,8.9,0.533,16.1,27.4,0.178,0.520801232665639,72.6
"Iowa State","http://a.espncdn.com/i/teamlogos/ncaa/500/66.png","P5","#660015","#830b2c","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/iowa_state_wordmark.png",33,19,14,0.576,15.36,10.39,1330,834,1882,0.443,211,637,0.331,352,525,0.67,380,1111,457,290,96,427,633,1330,671,1598,0.42,252,747,0.337,473,652,0.725,264,1005,388,224,97,546,561,65.7,102.2,0.279,0.338,0.523,52.5,54.8,13.3,11.3,0.499,16.7,33.9,0.187,65.7,94.6,0.408,0.467,0.542,47.5,57.8,10.3,7.8,0.499,22.3,26.5,0.296,0.500401606425703,73.5
"Kansas","http://a.espncdn.com/i/teamlogos/ncaa/500/2305.png","P5","#0022B4","#e8000d","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/1709_kansas_jayhawks-wordmark-2006.png",36,28,8,0.778,19.19,11.83,1450,1002,2142,0.468,251,724,0.347,460,639,0.72,353,1294,590,317,139,444,597,1450,873,2103,0.415,230,742,0.31,474,654,0.725,379,1255,406,220,101,515,577,70.2,106.8,0.298,0.338,0.555,50.8,58.9,12.5,10.2,0.526,15.4,28.7,0.215,70.2,96.3,0.311,0.353,0.508,49.2,46.5,8.7,7.1,0.47,17.6,28.7,0.225,0.529619181946403,71.3
"Kansas State","http://a.espncdn.com/i/teamlogos/ncaa/500/2306.png","P5","#633194","#e7d2ad","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/kansas_state_wildcats_logo_alternate_2019_sportslogosnet-4205.png",36,26,10,0.722,15.78,9.48,1465,961,2083,0.461,258,752,0.343,562,751,0.748,355,1247,611,289,100,498,644,1465,878,2070,0.424,235,764,0.308,524,751,0.698,388,1221,493,259,140,541,659,70.5,106.2,0.361,0.361,0.562,50.5,63.6,11.2,7.7,0.523,17,29.9,0.27,70.5,97.4,0.363,0.369,0.518,49.5,56.2,10,10.5,0.481,18.2,30.3,0.253,0.528174305033809,69.7
"Kentucky","http://a.espncdn.com/i/teamlogos/ncaa/500/96.png","P5","#005DAA","#ffffff","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/kentucky_wildcats_logo_wordmark_20162011.png",34,22,12,0.647,14.75,8.08,1370,929,2045,0.454,213,613,0.347,461,653,0.706,472,1339,512,219,125,400,545,1370,827,1929,0.429,222,685,0.324,429,577,0.744,290,1022,399,205,75,379,580,66.8,110.7,0.319,0.3,0.538,56.7,55.1,9.6,10,0.506,14.5,39.2,0.225,66.8,100.7,0.299,0.355,0.523,43.3,48.2,9,5.2,0.486,14.7,25.1,0.222,0.5,74.9
"Liberty","http://a.espncdn.com/i/teamlogos/ncaa/500/2335.png","G5","#071740","#a61f21","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/liberty_flames_logo_wordmark_20131049.png",36,27,9,0.75,8.36,-1.91,1440,963,2032,0.474,376,1007,0.373,387,532,0.727,296,1219,580,226,82,373,540,1440,792,1891,0.419,230,689,0.334,380,518,0.734,239,1089,327,205,92,468,569,65.7,113.7,0.262,0.496,0.588,52.8,60.2,9.6,6.8,0.566,14,25.8,0.19,65.7,92.8,0.274,0.364,0.513,47.2,41.3,8.7,9,0.48,18,20.6,0.201,0.572682926829268,79.4
