"school","logo","type","color","alt_color","wordmark","g","w","l","w_l_percent","srs","sos","offense_mp","offense_fg","offense_fga","offense_fg_percent","offense_x3p","offense_x3pa","offense_x3p_percent","offense_ft","offense_fta","offense_ft_percent","offense_orb","offense_trb","offense_ast","offense_stl","offense_blk","offense_tov","offense_pf","defense_mp","defense_fg","defense_fga","defense_fg_percent","defense_x3p","defense_x3pa","defense_x3p_percent","defense_ft","defense_fta","defense_ft_percent","defense_orb","defense_trb","defense_ast","defense_stl","defense_blk","defense_tov","defense_pf","offense_pace","offense_o_rtg","offense_f_tr","offense_x3p_ar","offense_ts_percent","offense_trb_percent","offense_ast_percent","offense_stl_percent","offense_blk_percent","offense_e_fg_percent","offense_tov_percent","offense_orb_percent","offense_ft_fga","defense_pace","defense_o_rtg","defense_f_tr","defense_x3p_ar","defense_ts_percent","defense_trb_percent","defense_ast_percent","defense_stl_percent","defense_blk_percent","defense_e_fg_percent","defense_tov_percent","defense_orb_percent","defense_ft_fga","offense_x2p_percent","offense_drb_percent"
"Alabama","http://a.espncdn.com/i/teamlogos/ncaa/500/333.png","P5","#690014","#f1f2f3","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/alabama_crimson_tide_logo_secondary_19987746.png",37,31,6,0.838,23.18,9.64,1510,1023,2314,0.442,366,1093,0.335,615,848,0.725,484,1652,555,224,189,512,691,1510,885,2387,0.371,202,715,0.283,554,779,0.711,452,1383,364,268,142,434,737,72.6,110.4,0.366,0.472,0.557,54.4,54.3,8.2,11.3,0.521,15.9,34.2,0.266,72.6,92.1,0.326,0.3,0.458,45.6,41.1,9.8,11.6,0.413,13.6,27.9,0.232,0.538083538083538,72.1
"Arizona","http://a.espncdn.com/i/teamlogos/ncaa/500/12.png","P5","#002449","#00205b","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/2804_arizona_wildcats-wordmark-2003.png",35,28,7,0.8,19.08,8.34,1400,1023,2072,0.494,295,781,0.378,525,742,0.708,356,1376,662,213,110,468,593,1400,905,2216,0.408,277,858,0.323,403,565,0.713,360,1163,443,276,122,431,671,72.7,112.6,0.358,0.377,0.591,54.2,64.7,8.4,8.1,0.565,16.2,30.7,0.253,72.7,97.8,0.255,0.387,0.501,45.8,49,10.8,9.5,0.471,14.8,26.1,0.182,0.563903950426026,73.9
"Arizona State","http://a.espncdn.com/i/teamlogos/ncaa/500/9.png","P5","#942139","#f1f2f3","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/2342_arizona_state_sun_devils-wordmark-2012.png",36,23,13,0.639,11.29,8.17,1455,910,2163,0.421,274,851,0.322,465,675,0.689,395,1315,515,255,170,422,668,1455,836,2096,0.399,279,818,0.341,496,702,0.707,423,1382,458,219,107,505,652,69,101.9,0.312,0.393,0.515,48.8,56.6,10.2,13.3,0.484,14.5,29.2,0.215,69,97.5,0.335,0.39,0.504,51.2,54.8,8.7,8.2,0.465,17.2,31.5,0.237,0.484756097560976,68.5
"California","http://a.espncdn.com/i/teamlogos/ncaa/500/25.png","P5","#031522","#ffc423","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/7066_california_golden_bears-wordmark-2013.png",32,3,29,0.094,-3.36,8.42,1290,662,1694,0.391,156,524,0.298,386,534,0.723,278,1007,308,151,100,417,548,1290,801,1772,0.452,227,679,0.334,414,578,0.716,318,1137,413,185,130,332,526,64.3,90,0.315,0.309,0.479,47,46.5,7.3,9.1,0.437,17.6,25.3,0.228,64.3,108.1,0.326,0.383,0.548,53,51.6,8.9,11.1,0.516,14,30.4,0.234,0.432478632478632,69.6
"Colorado","http://a.espncdn.com/i/teamlogos/ncaa/500/38.png","P5","#d1c57e","#ffd200","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/8028_colorado_buffaloes-wordmark-2006.png",35,18,17,0.514,11.16,8.39,1400,894,2059,0.434,229,712,0.322,428,616,0.695,388,1300,454,261,128,463,566,1400,842,1982,0.425,217,676,0.321,447,623,0.717,305,1175,393,249,140,470,602,69.6,100.4,0.299,0.346,0.52,52.5,50.8,10.7,9.8,0.49,16.4,30.8,0.208,69.6,96.4,0.314,0.341,0.515,47.5,46.7,10.2,10.4,0.48,17.1,25.1,0.226,0.493689680772086,74.9
"Connecticut","http://a.espncdn.com/i/teamlogos/ncaa/500/41.png","G5","#001d40","#f1f2f3","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/uconn_huskies_logo_alternate_20132910.png",39,31,8,0.795,22.95,8.51,1560,1082,2333,0.464,353,973,0.363,547,719,0.761,507,1534,684,245,190,503,692,1560,856,2145,0.399,194,653,0.297,595,810,0.735,361,1173,357,258,105,493,662,68.4,114.9,0.308,0.417,0.573,56.7,63.2,9.2,12.7,0.539,15.8,38.4,0.234,68.4,93.8,0.378,0.304,0.494,43.3,41.7,9.7,7.7,0.444,16.3,26,0.277,0.536029411764706,74
"Houston","http://a.espncdn.com/i/teamlogos/ncaa/500/248.png","G5","#C90822","#231f20","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/houston_cougars_logo_wordmark_20129226.png",37,33,4,0.892,22.2,4.79,1480,1010,2203,0.458,284,835,0.34,466,636,0.733,474,1441,544,293,182,370,618,1480,708,1933,0.366,234,840,0.279,476,691,0.689,370,1173,376,199,91,506,599,64.8,115.5,0.289,0.379,0.553,55.1,53.9,12.2,16.7,0.523,12.9,37.1,0.212,64.8,88.6,0.357,0.435,0.47,44.9,53.1,8.3,6.7,0.427,18.3,27.7,0.246,0.530701754385965,72.3
"Michigan State","http://a.espncdn.com/i/teamlogos/ncaa/500/127.png","P5","#18453B","#ffffff","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/michigan_state_spartans_logo_wordmark_2010_sportslogosnet-9157.png",34,21,13,0.618,14.26,11.26,1380,879,1944,0.452,252,642,0.393,401,528,0.759,307,1213,497,160,102,370,557,1380,834,1968,0.424,245,757,0.324,396,550,0.72,305,1110,447,193,117,333,556,65.4,106.8,0.272,0.33,0.549,52.2,56.5,7.1,8.4,0.517,14.4,27.6,0.206,65.4,102.3,0.279,0.385,0.518,47.8,53.6,8.5,9,0.486,13,25.2,0.201,0.481566820276498,74.8
"Nevada","http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png","G5","#153E5F","#8e9295","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/5309_nevada_wolf_pack-primary-2008.png",33,22,11,0.667,10.01,6.41,1345,799,1794,0.445,238,678,0.351,561,708,0.792,245,1101,474,197,100,339,592,1345,781,1836,0.425,255,779,0.327,421,577,0.73,280,1107,421,168,94,413,637,66.4,107.3,0.395,0.378,0.563,49.9,59.3,8.8,9.5,0.512,13.7,22.9,0.313,66.4,100.2,0.314,0.424,0.53,50.1,53.9,7.5,8.4,0.495,16.4,24.6,0.229,0.502688172043011,75.4
"Oregon","http://a.espncdn.com/i/teamlogos/ncaa/500/2483.png","P5","#044520","#fee123","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/oregon_ducks_wordmark.png",36,21,15,0.583,13.83,9.49,1445,916,2043,0.448,256,799,0.32,454,653,0.695,397,1354,477,201,175,440,529,1445,866,2119,0.409,265,787,0.337,389,507,0.767,343,1165,441,219,89,395,627,66.5,105.7,0.32,0.391,0.54,53.8,52.1,8.4,13.1,0.511,15.8,32.6,0.222,66.5,99.3,0.239,0.371,0.506,46.2,50.9,9.1,7.2,0.471,14.3,26.4,0.184,0.530546623794212,73.6
"Oregon State","http://a.espncdn.com/i/teamlogos/ncaa/500/204.png","P5","#c34500","#dea076","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/oregon_state_beavers_logo_wordmark_20133449.png",32,11,21,0.344,0.08,6.59,1280,676,1647,0.41,192,605,0.317,415,551,0.753,254,996,326,172,98,429,570,1280,745,1743,0.427,225,665,0.338,429,593,0.723,320,1075,432,208,103,377,531,65.1,94,0.335,0.367,0.513,48.1,48.2,8.3,9.1,0.469,18.4,25.2,0.252,65.1,102.9,0.34,0.382,0.529,51.9,58,10,9.9,0.492,15.7,30.1,0.246,0.464491362763916,69.9
"Stanford","http://a.espncdn.com/i/teamlogos/ncaa/500/24.png","P5","#A80532","#ffffff","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/stanford_cardinal_logo_wordmark_2015_sportslogosnet-4752.png",33,14,19,0.424,9.63,7.66,1320,838,1853,0.452,267,736,0.363,378,545,0.694,342,1137,490,188,106,413,557,1320,806,1819,0.443,263,742,0.354,381,521,0.731,285,1041,415,196,90,400,535,66.1,106.4,0.294,0.397,0.55,52.2,58.5,8.6,9.8,0.524,16.4,31.1,0.204,66.1,103.4,0.286,0.408,0.546,47.8,51.5,9,8.1,0.515,16.2,26.4,0.209,0.511190689346464,73.6
"UCF","http://a.espncdn.com/i/teamlogos/ncaa/500/2116.png","G5","#000000","#231f20","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/central_florida_knights_logo_wordmark_20076509.png",34,19,15,0.559,11.09,5.09,1395,848,1980,0.428,295,835,0.353,441,572,0.771,393,1190,469,261,129,452,566,1395,779,1855,0.42,221,720,0.307,449,620,0.724,353,1130,416,229,97,504,554,66.1,105.5,0.289,0.422,0.54,51.3,55.3,11.3,11.4,0.503,16.7,33.6,0.223,66.1,96.6,0.334,0.388,0.518,48.7,53.4,9.9,8.5,0.48,19,30.7,0.242,0.48296943231441,69.3
"UCLA","http://a.espncdn.com/i/teamlogos/ncaa/500/26.png","P5","#005C8E","#ffc72c","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/ucla_bruins_logo_wordmark_2017_sportslogosnet-6926.png",37,31,6,0.838,22.11,8.65,1480,1033,2245,0.46,227,651,0.349,450,616,0.731,418,1307,538,310,142,371,573,1480,812,1992,0.408,240,772,0.311,381,547,0.697,350,1198,415,171,99,580,608,67.2,110.3,0.274,0.29,0.54,52.2,52.1,12.5,11.6,0.511,12.8,33,0.2,67.2,90.3,0.275,0.388,0.498,47.8,51.1,6.9,6.2,0.468,20.5,28.2,0.191,0.50564617314931,71.8
"USC","http://a.espncdn.com/i/teamlogos/ncaa/500/30.png","P5","#AE2531","#ffc72c","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/southern_california_trojans_logo_wordmark_20162572.png",33,22,11,0.667,13.06,8,1325,855,1878,0.455,214,620,0.345,465,624,0.745,310,1164,445,227,167,410,568,1325,776,1977,0.393,245,733,0.334,427,598,0.714,415,1181,433,224,98,406,576,68.3,105.7,0.332,0.33,0.55,49.6,52,10,13.4,0.512,15.9,28.8,0.248,68.3,98.3,0.302,0.371,0.492,50.4,55.8,9.9,7.8,0.454,15.2,32.7,0.216,0.509538950715421,67.3
"Utah","http://a.espncdn.com/i/teamlogos/ncaa/500/254.png","P5","#890012","#7e8083","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/4760_utah_utes-wordmark-2015.png",32,17,15,0.531,11.33,6.52,1285,791,1852,0.427,232,698,0.332,383,541,0.708,357,1254,462,161,126,384,487,1285,764,1924,0.397,204,676,0.302,311,470,0.662,337,1121,409,198,121,325,515,66.5,102.9,0.292,0.377,0.521,52.8,58.4,7.5,10.1,0.49,15.4,31.3,0.207,66.5,95.6,0.244,0.351,0.476,47.2,53.5,9.3,10.5,0.45,13.1,27.3,0.162,0.484402079722704,72.7
"Washington","http://a.espncdn.com/i/teamlogos/ncaa/500/264.png","P5","#2B2F64","#e8e3d3","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/washington_huskies_logo_wordmark_2016_sportslogosnet-3187.png",32,16,16,0.5,6.78,7.94,1300,786,1823,0.431,209,668,0.313,432,577,0.749,286,1083,368,220,165,448,529,1300,834,2005,0.416,220,741,0.297,360,509,0.707,422,1218,501,223,114,413,557,69.2,98.4,0.317,0.366,0.528,47.1,46.8,9.8,13.1,0.488,17.6,26.4,0.237,69.2,100.1,0.254,0.37,0.501,52.9,60.1,9.9,9.9,0.471,15.5,34.6,0.18,0.4995670995671,65.4
"Washington State","http://a.espncdn.com/i/teamlogos/ncaa/500/265.png","P5","#94022a","#6a747c","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/1054_washington_state_cougars-wordmark-2011.png",34,17,17,0.5,10.51,7.9,1365,813,1919,0.424,310,832,0.373,388,542,0.716,369,1183,403,166,93,408,544,1365,836,1875,0.446,194,603,0.322,369,533,0.692,288,1089,403,199,93,366,569,64.8,105.1,0.282,0.434,0.534,52.1,49.6,7.5,7.3,0.504,15.8,31.5,0.202,64.8,101.1,0.284,0.322,0.525,47.9,48.2,9,8.6,0.498,14.7,26.1,0.197,0.462741490340386,73.9
