"Team","split","input","game_code","stats"
"Houston","recency5","Winning_Margin","Cincinnati 20230311",21
"Houston","recency5","Winning_Margin","Memphis 20230312",-10
"Houston","recency5","Winning_Margin","Northern Kentucky 20230316",11
"Houston","recency5","Winning_Margin","Auburn 20230318",17
"Houston","recency5","Winning_Margin","Miami 20230324",-14
"Houston","recency10","Winning_Margin","Tulane 20230222",30
"Houston","recency10","Winning_Margin","East Carolina 20230225",19
"Houston","recency10","Winning_Margin","Wichita State 20230302",17
"Houston","recency10","Winning_Margin","Memphis 20230305",2
"Houston","recency10","Winning_Margin","East Carolina 20230310",14
"Houston","recency10","Winning_Margin","Cincinnati 20230311",21
"Houston","recency10","Winning_Margin","Memphis 20230312",-10
"Houston","recency10","Winning_Margin","Northern Kentucky 20230316",11
"Houston","recency10","Winning_Margin","Auburn 20230318",17
"Houston","recency10","Winning_Margin","Miami 20230324",-14
"Houston","home","Winning_Margin","Northern Colorado 20221107",47
"Houston","home","Winning_Margin","Oral Roberts 20221114",38
"Houston","home","Winning_Margin","Texas Southern 20221116",35
"Houston","home","Winning_Margin","Kent State 20221126",5
"Houston","home","Winning_Margin","Norfolk State 20221129",48
"Houston","home","Winning_Margin","North Florida 20221206",34
"Houston","home","Winning_Margin","Alabama 20221210",-6
"Houston","home","Winning_Margin","North Carolina A&T 20221213",28
"Houston","home","Winning_Margin","McNeese 20221221",39
"Houston","home","Winning_Margin","UCF 20221231",6
"Houston","home","Winning_Margin","SMU 20230105",34
"Houston","home","Winning_Margin","South Florida 20230111",6
"Houston","home","Winning_Margin","Temple 20230122",-1
"Houston","home","Winning_Margin","Cincinnati 20230128",6
"Houston","home","Winning_Margin","Tulsa 20230208",38
"Houston","home","Winning_Margin","Memphis 20230219",8
"Houston","home","Winning_Margin","Tulane 20230222",30
"Houston","home","Winning_Margin","Wichita State 20230302",17
"Houston","away","Winning_Margin","Saint Joseph's 20221111",26
"Houston","away","Winning_Margin","Oregon 20221120",10
"Houston","away","Winning_Margin","Saint Mary's 20221203",5
"Houston","away","Winning_Margin","Virginia 20221217",8
"Houston","away","Winning_Margin","Tulsa 20221228",39
"Houston","away","Winning_Margin","Cincinnati 20230108",13
"Houston","away","Winning_Margin","Tulane 20230117",20
"Houston","away","Winning_Margin","UCF 20230125",11
"Houston","away","Winning_Margin","Wichita State 20230202",9
"Houston","away","Winning_Margin","Temple 20230205",16
"Houston","away","Winning_Margin","SMU 20230216",15
