"date","game_date","location","opponent","wl","team_score","opponent_score","conference_game","Winning_Margin","game_code","net","net_rk","spread","ATS_Margin","Pace","Offensive_Efficency","Defensive_Efficency","Points_Scored","Points_Allowed","Offensive_3PAr","Offensive_3Ppct","Offensive_TOpct","Offensive_OREBpct","Offensive_FTr","Defensive_3PAr","Defensive_3Ppct","Defensive_TOpct","Defensive_OREBpct","Defensive_FTr","Team"
2022-11-07,20221107,"Home","Northern Colorado","W",83,36,"OOC",47,"Northern Colorado 20221107",235,"Other",-23,24,64,130.3,56.5,83,36,40.3,37.9,12.6,45.2,13.9,53.8,23.8,36.1,25,41,"Houston"
2022-11-11,20221111,"Away","Saint Joseph's","W",81,55,"OOC",26,"Saint Joseph's 20221111",200,"Other",-21,5,69,117.9,80,81,55,40,19.2,13.1,32.4,24.6,44.4,20.8,23.3,34.1,50,"Houston"
2022-11-14,20221114,"Home","Oral Roberts","W",83,45,"OOC",38,"Oral Roberts 20221114",36,"NET Top 50",-20,18,67,123.9,67.2,83,45,29.3,35.3,17.9,46.9,43.1,61.3,21.1,16.4,26,24.2,"Houston"
2022-11-16,20221116,"Home","Texas Southern","W",83,48,"OOC",35,"Texas Southern 20221116",294,"Other",-31,4,66,126.1,72.9,83,48,31.7,26.3,12.2,34.4,33.3,32.7,18.8,27.4,27.3,30.6,"Houston"
2022-11-20,20221120,"Away","Oregon","W",66,56,"OOC",10,"Oregon 20221120",47,"NET Top 50",-7,3,60,109.8,93.1,66,56,39.3,50,16.6,31.2,17.9,44.9,13.6,26.6,45.5,40.8,"Houston"
2022-11-26,20221126,"Home","Kent State","W",49,44,"OOC",5,"Kent State 20221126",59,"NET Top 100",-19,-14,70,70.4,63.2,49,44,34,11.8,33.1,41,46,46,20.7,18.7,20,17.5,"Houston"
2022-11-29,20221129,"Home","Norfolk State","W",100,52,"OOC",48,"Norfolk State 20221129",181,"Other",-26,22,64,155.1,80.7,100,52,50,51.5,14,53.3,15.2,31.6,5.6,24.8,36.8,22.8,"Houston"
2022-12-03,20221203,"Away","Saint Mary's","W",53,48,"OOC",5,"Saint Mary's 20221203",11,"NET Top 50",-10,-5,56,94.6,85.7,53,48,19.3,27.3,8.9,28.6,15.8,47.8,40.9,30.3,39.3,17.4,"Houston"
2022-12-06,20221206,"Home","North Florida","W",76,42,"OOC",34,"North Florida 20221206",238,"Other",-32,2,61,125.5,69.3,76,42,29.9,30,13.2,48.6,7.5,54.5,37.5,33,24.2,22.7,"Houston"
2022-12-10,20221210,"Home","Alabama","L",65,71,"OOC",-6,"Alabama 20221210",2,"NET Top 50",-8,-14,72,90.5,98.8,65,71,20.3,23.1,13.9,28.9,34.4,42.6,30.4,20.9,31.6,59.3,"Houston"
2022-12-13,20221213,"Home","North Carolina A&T","W",74,46,"OOC",28,"North Carolina A&T 20221213",318,"Other",-32,-4,68,109.5,68.1,74,46,31.6,27.8,25.2,44.1,33.3,48.1,24,22.2,17.9,28.9,"Houston"
2022-12-17,20221217,"Away","Virginia","W",69,61,"OOC",8,"Virginia 20221217",27,"NET Top 50",-2,6,59,116.7,103.2,69,61,41.2,38.1,13.5,25.9,25.5,45.8,27.3,16.9,20.7,35.4,"Houston"
2022-12-21,20221221,"Home","McNeese","W",83,44,"OOC",39,"McNeese 20221221",339,"Other",-35,4,62,134.8,71.5,83,44,54.1,42.4,19.5,50,16.4,49,25,26,18.2,10.2,"Houston"
