"#","URL","first","last","Team","Class","Pos","Height","Weight","GP","GS","MPG","Poss%","USG%","PG","SG","SF","PF","C","PER","OBPM","DBPM","BPM","PPG","FD/40","2P%","3P%","3PAr","eFG%","TS%","FT%","FTr","ApG","AST:TO","AST%","TOV%","ORB%","DRB%","TRB%","STL%","BLK%","FC/40","All Players","Guards","Wings","Bigs","Starters","Lefties"
0,"https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432107.png&w=350&h=254","Marcus","Sasser","Houston","Sr","G","6-2",195,36,36,30.8,25,26.1,21.7391304347826,78.2608695652174,NA,NA,NA,24.9,7.7,4.3,12,16.8,4.5,51.1,38.4,57.6,54.8,59.7,84.8,34.8,3.1,1.94,19.6,10.1,1.4,8.9,5.2,3.2,0.7,2,1,1,0,0,1,0
25,"https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5106060.png&w=350&h=254","Jarace","Walker","Houston","Fr","F","6-8",240,36,35,27.6,22.2,22.4,NA,NA,NA,NA,100,22.1,4.5,4.4,8.8,11.2,3.2,51.5,34.7,29.7,51.6,53.4,66.3,23.5,1.8,1.2,12.5,12.3,9.6,18.2,14,2.2,6.3,3,1,0,0,1,1,0
1,"https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432241.png&w=350&h=254","Jamal","Shead","Houston","Jr","G","6-1",195,37,37,32.6,20.7,19.7,100,NA,NA,NA,NA,16.7,2.4,4.2,6.6,10.5,2.7,48.8,31,41.2,47.9,50.4,73.2,20.2,5.4,2.57,29.6,16.5,1.9,8.4,5.2,3.2,0.9,2.7,1,1,0,0,1,0
12,"https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432243.png&w=350&h=254","Tramon","Mark","Houston","So","G","6-5",195,37,37,29.5,19.3,19.9,NA,NA,100,NA,NA,15.6,1.8,3.5,5.3,10.1,3.4,42.6,32.8,36.3,45,49.8,78.4,31.1,1.8,1.5,10.9,10.7,4.9,13.6,9.3,2.2,1.9,2.6,1,0,1,0,1,0
13,"https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4433068.png&w=350&h=254","J'Wan","Roberts","Houston","Jr","F","6-7",230,37,36,26.4,18.4,17.7,NA,NA,NA,82.1917808219178,17.8082191780822,25.4,5.3,4.2,9.5,10,3.2,61.4,0,0.4,61.2,62.7,68.6,33.7,1.2,1.09,8.6,11.6,13.2,19.7,16.5,1.6,6.8,3.2,1,0,0,1,1,0
21,"https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5106058.png&w=350&h=254","Emanuel","Sharp","Houston","Fr","G","6-3",205,33,0,15.6,19.1,20.5,14.8936170212766,65.9574468085106,19.1489361702128,NA,NA,12.4,0.2,1.8,2,5.9,3.1,42.9,34.7,78,50,54.8,88.1,26.4,0.5,0.62,5.5,12.7,4.5,11.6,8.1,1.2,0.5,5.6,1,1,0,0,0,0
5,"https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4684301.png&w=350&h=254","Ja'Vier","Francis","Houston","So","F","6-8",235,35,1,10.3,17.1,16.8,NA,NA,NA,NA,100,31.3,4.5,6.4,11,4.3,3.9,71.3,NA,0,71.3,69.5,59.1,50.6,0.2,0.67,3.2,8.5,16,22,19.1,2,14.6,6.1,1,0,0,1,0,0
23,"https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5106059.png&w=350&h=254","Terrance","Arceneaux","Houston","Fr","G","6-5",190,34,1,13.9,16.9,17.6,NA,76.1904761904762,23.8095238095238,NA,NA,11.9,-0.5,4,3.4,3.7,2.1,49.2,25,51.1,43.2,44,52.6,14.3,0.6,1,7,11.8,7.4,12.7,10.1,2.9,1.4,3.1,1,1,0,0,0,0
32,"https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4395708.png&w=350&h=254","Reggie","Chaney","Houston","Sr","F","6-8",230,35,1,13.5,12.4,11.2,NA,NA,NA,100,NA,15,0.2,5.1,5.3,3,2.5,66.2,NA,0,66.2,62.5,43.8,47.1,0.3,0.6,4.3,18.6,11.1,11.8,11.4,3,3.4,6.3,1,0,1,0,0,0
3,"https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4708176.png&w=350&h=254","Ramon","Walker","Houston","So","G","6-4",210,10,0,15.1,12.5,12.7,NA,NA,NA,NA,NA,6.4,-3.3,2.8,-0.6,2.9,2.1,46.2,26.7,53.6,42.9,46.3,71.4,25,0.4,0.67,4.3,16.1,5.4,13.2,9.4,0.8,0,4.2,1,NA,NA,NA,0,0
