"player","class","pos","team","x3_p_s","slasher","ball_dominant","playmaker","limit_to","perim_defender","oreb","dreb","sim_1","sim_1_url","sim_2","sim_3","sim_4","sim_5","URL","#"
"Jaime Jaquez","SR","G","UCLA",0.157355679702048,0.783519553072626,0.950651769087523,0.338919925512104,0.559124767225326,0.944599627560521,0.971601489757914,0.976722532588454,"Scottie Barnes","https://cdn.nba.com/headshots/nba/latest/260x190/1630567.png","Dalano Banton","Jalen Williams","Bruce Brown","Miles Bridges","https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432848.png&w=350&h=254",24
"Jamal Shead","SR","G","Houston",0.393854748603352,0.462756052141527,0.550279329608939,0.9743947858473,0.986964618249534,0.961824953445065,0.332867783985102,0.217877094972067,"Marcus Smart","https://cdn.nba.com/headshots/nba/latest/260x190/203935.png","Tyus Jones","Tyrese Haliburton","Jose Alvarado","Derrick White","https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432241.png&w=350&h=254",1
"Tyger Campbell","SR","G","UCLA",0.409683426443203,0.629422718808194,0.829608938547486,0.937150837988827,0.993947858472998,0.884078212290503,0.282122905027933,0.178305400372439,"Tyrese Haliburton","https://cdn.nba.com/headshots/nba/latest/260x190/1630169.png","Derrick Rose","Derrick White","Marcus Smart","Mike Conley","https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397128.png&w=350&h=254",10
"Tyson Walker","SR","G","Michigan State",0.539571694599628,0.500465549348231,0.781657355679702,0.667597765363129,0.93389199255121,0.838454376163873,0.0893854748603352,0.141061452513966,"Derrick White","https://cdn.nba.com/headshots/nba/latest/260x190/1628401.png","Kira Lewis Jr.","Ty Jerome","Tyus Jones","Mike Conley","https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432129.png&w=350&h=254",2
"Justin Powell","SR","G","Washington State",0.930633147113594,0.117783985102421,0.263500931098696,0.777467411545624,0.975325884543762,0.645251396648045,0.139199255121043,0.727188081936685,"Ryan Arcidiacono","https://cdn.nba.com/headshots/nba/latest/260x190/1627853.png","Malachi Flynn","Kyle Lowry","Theo Pinson","Bogdan Bogdanović","https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432250.png&w=350&h=254",24
"Tristen Newton","SR","G","Connecticut",0.45391061452514,0.868249534450652,0.574022346368715,0.955307262569832,0.888268156424581,0.896648044692737,0.790502793296089,0.708100558659218,"Jrue Holiday","https://cdn.nba.com/headshots/nba/latest/260x190/201950.png","T.J. McConnell","Saben Lee","Jordan Goodwin","Dennis Smith Jr.","https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4592965.png&w=350&h=254",2
"Marcus Sasser","SR","G","Houston",0.80074487895717,0.434357541899441,0.90316573556797,0.672253258845438,0.884543761638734,0.962290502793296,0.196927374301676,0.265828677839851,"Fred VanVleet","https://cdn.nba.com/headshots/nba/latest/260x190/1627832.png","Mike Conley","Derrick White","Tyrese Haliburton","Cameron Payne","https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432107.png&w=350&h=254",0
"Mark Sears","SR","G","Alabama",0.659217877094972,0.517690875232775,0.583798882681564,0.629422718808194,0.539571694599628,0.895716945996276,0.501396648044693,0.265828677839851,"Josh Richardson","https://cdn.nba.com/headshots/nba/latest/260x190/1626196.png","Aaron Holiday","Derrick White","Jose Alvarado","Marcus Smart","https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4703530.png&w=350&h=254",1
"Tramon Mark","SR","G","Houston",0.359869646182495,0.674115456238361,0.564711359404097,0.35707635009311,0.728584729981378,0.894785847299814,0.80586592178771,0.762104283054004,"Jeremy Lamb","https://cdn.nba.com/headshots/nba/latest/260x190/203087.png","Jalen Williams","Bruce Brown","PJ Dozier","Terance Mann","https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432243.png&w=350&h=254",12
"Jordan Hawkins","JR","G","Connecticut",0.894785847299814,0.305400372439479,0.878491620111732,0.047951582867784,0.427839851024209,0.696927374301676,0.711824953445065,0.486499068901304,"Desmond Bane","https://cdn.nba.com/headshots/nba/latest/260x190/1630217.png","Svi Mykhailiuk","Terence Davis","Nickeil Alexander-Walker","Tre Mann","https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4683750.png&w=350&h=254",24
