"player","class","pos","team","x3_p_s","slasher","ball_dominant","playmaker","limit_to","perim_defender","rim_protector","oreb","dreb","sim_1","sim_2","sim_3","sim_4","sim_5"
"Brandon Miller","SO","F","Alabama",0.919656786271451,0.207488299531981,0.927457098283931,0.637285491419657,0.487519500780031,0.886115444617785,0.74414976599064,0.356474258970359,0.630265210608424,"P.J. Washington","OG Anunoby","Paul George","Jayson Tatum","Markieff Morris"
"Adama Sanogo","SR","F","Connecticut",0.501560062402496,0.503120124804992,0.963338533541342,0.318252730109204,0.241029641185647,0.864274570982839,0.789391575663027,0.846333853354134,0.861934477379095,"Naz Reid","Jaren Jackson Jr.","Tari Eason","D.J. Wilson","Christian Wood"
"Joey Hauser","SR","F","Michigan State",0.921996879875195,0.205148205928237,0.650546021840874,0.688767550702028,0.845553822152886,0.641185647425897,0.462558502340094,0.165366614664587,0.744929797191888,"Trevor Ariza","Cameron Johnson","Jae Crowder","Sam Hauser","Yuta Watanabe"
"Mouhamed Gueye","JR","F","Washington State",0.401716068642746,0.588923556942278,0.922776911076443,0.726989079563182,0.338533541341654,0.747269890795632,0.680967238689548,0.876755070202808,0.753510140405616,"Isaiah Roby","Paul Millsap","Justise Winslow","Nemanja Bjelica","Aleksej Pokusevski"
"Jarace Walker","SO","F","Houston",0.6801872074883,0.291731669266771,0.779251170046802,0.747269890795632,0.785491419656786,0.947737909516381,0.9399375975039,0.685647425897036,0.6801872074883,"Nemanja Bjelica","Otto Porter Jr.","Paul Millsap","P.J. Washington","Chuma Okeke"
"J'Wan Roberts","SR","F","Houston",0.170826833073323,0.693447737909516,0.450078003120125,0.62792511700468,0.839313572542902,0.896255850234009,0.952418096723869,0.924336973478939,0.788611544461779,"Brandon Clarke","Paul Millsap","Xavier Tillman Sr.","Jalen Johnson","Justise Winslow"
"Alex Karaban","SO","F","Connecticut",0.926677067082683,0.0764430577223089,0.231669266770671,0.826053042121685,0.918096723868955,0.813572542901716,0.745709828393136,0.31591263650546,0.123244929797192,"Royce O'Neale","Solomon Hill","Nicolas Batum","Joe Ingles","Dean Wade"
"Noah Clowney","SO","F","Alabama",0.674726989079563,0.322152886115445,0.471138845553822,0.28783151326053,0.507800312012481,0.873634945397816,0.828393135725429,0.578783151326053,0.861934477379095,"Santi Aldama","D.J. Wilson","Otto Porter Jr.","Caleb Martin","Obi Toppin"
"DJ Rodman","SR","F","Washington State",0.900936037441498,0.178627145085803,0.314352574102964,0.718408736349454,0.927457098283931,0.698127925117005,0.441497659906396,0.495319812792512,0.326053042121685,"Dorian Finney-Smith","Trevor Ariza","P.J. Tucker","Sam Hauser","Yuta Watanabe"
"Adem Bona","SO","F","UCLA",0,0.892355694227769,0.314352574102964,0.405616224648986,0.35179407176287,0.890015600624025,0.985959438377535,0.829173166926677,0.451638065522621,"Daniel Gafford","Onyeka Okongwu","Javonte Green","Freddie Gillespie","Mamadi Diakite"
"Malik Hall","SR","F","Michigan State",0.626365054602184,0.374414976599064,0.667706708268331,0.548361934477379,0.478159126365055,0.729329173166927,0.589703588143526,0.377535101404056,0.195787831513261,"OG Anunoby","P.J. Washington","Andrew Wiggins","Caleb Martin","Jalen McDaniels"
"Andrej Jakimovski","SR","F","Washington State",0.959438377535101,0.0429017160686427,0.461778471138846,0.617004680187207,0.771450858034321,0.633385335413417,0.390795631825273,0.274570982839314,0.388455538221529,"Sam Hauser","Cameron Johnson","Trevor Ariza","Patrick Patterson","Yuta Watanabe"
"Noah Gurley","SR","F","Alabama",0.793291731669267,0.107644305772231,0.283151326053042,0.62792511700468,0.46411856474259,0.861934477379095,0.804212168486739,0.274570982839314,0.243369734789392,"Grant Williams","Jaden McDaniels","Killian Tillie","Chuma Okeke","Solomon Hill"
"Ja'Vier Francis","JR","F","Houston",0,0.867394695787831,0.373634945397816,0.106084243369735,0.803432137285491,0.943057722308892,0.999219968798752,0.984399375975039,0.882995319812793,"Brandon Clarke","Onyeka Okongwu","Orlando Robinson","Mamadi Diakite","Daniel Gafford"
"Nick Pringle","SR","F","Alabama",0,0.990639625585023,0.354914196567863,0.260530421216849,0.28003120124805,0.890015600624025,0.889235569422777,0.941497659906396,0.934477379095164,"Onyeka Okongwu","Daniel Gafford","Paul Reed","Mamadi Diakite","Drew Eubanks"
"Reggie Chaney","SR","F","Houston",0,0.836193447737909,0.0413416536661466,0.521840873634945,0.641965678627145,0.986739469578783,0.830733229329173,0.812792511700468,0.133385335413417,"Javonte Green","Herbert Jones","Derrick Jones Jr.","DeAndre' Bembry","Xavier Tillman Sr."
"Jaxon Kohler","SO","F","Michigan State",0.236349453978159,0.409516380655226,0.489859594383775,0.232449297971919,0.337753510140406,0.641185647425897,0.881435257410296,0.853354134165367,0.780811232449298,"Santi Aldama","Mamadi Diakite","Chris Boucher","John Collins","Naz Reid"
"Carlos Rosario","SR","F","Washington State",0.666146645865835,0.421996879875195,0.248829953198128,0.515600624024961,0.334633385335413,0.693447737909516,0.573322932917317,0.274570982839314,0.1801872074883,"Jaden McDaniels","Grant Williams","Patrick Williams","JT Thor","Maurice Harkless"
"Kenneth Nwuba","SR","F","UCLA",0,0.705928237129485,0.00078003120124805,0.741809672386895,0.8198127925117,0.776911076443058,0.926677067082683,0.450078003120125,0.0202808112324493,"DeAndre' Bembry","Herbert Jones","James Johnson","Javonte Green","Stanley Johnson"
"Mac Etienne","SO","F","UCLA",0,0.786271450858034,0.0569422776911076,0.603744149765991,0.97191887675507,0.898595943837754,0.978159126365055,0.946957878315133,0.788611544461779,"Ed Davis","Xavier Tillman Sr.","Orlando Robinson","Brandon Clarke","Jarred Vanderbilt"
