"on_court","stint_start_s","stint_end_s","g_date","opp","team"
"JAMALSHEAD",2400,2257,"11-07-2022","Northern Colo.","Houston"
"JWANROBERTS",2400,2257,"11-07-2022","Northern Colo.","Houston"
"MARCUSSASSER",2400,2257,"11-07-2022","Northern Colo.","Houston"
"JARACEWALKER",2400,2257,"11-07-2022","Northern Colo.","Houston"
"TRAMONMARK",2400,2257,"11-07-2022","Northern Colo.","Houston"
"JAMALSHEAD",2257,2218,"11-07-2022","Northern Colo.","Houston"
"JWANROBERTS",2257,2218,"11-07-2022","Northern Colo.","Houston"
"MARCUSSASSER",2257,2218,"11-07-2022","Northern Colo.","Houston"
"JARACEWALKER",2257,2218,"11-07-2022","Northern Colo.","Houston"
"TRAMONMARK",2257,2218,"11-07-2022","Northern Colo.","Houston"
"JAMALSHEAD",2218,2021,"11-07-2022","Northern Colo.","Houston"
"JWANROBERTS",2218,2021,"11-07-2022","Northern Colo.","Houston"
"MARCUSSASSER",2218,2021,"11-07-2022","Northern Colo.","Houston"
"JARACEWALKER",2218,2021,"11-07-2022","Northern Colo.","Houston"
"TRAMONMARK",2218,2021,"11-07-2022","Northern Colo.","Houston"
"JAMALSHEAD",2021,1959,"11-07-2022","Northern Colo.","Houston"
"JWANROBERTS",2021,1959,"11-07-2022","Northern Colo.","Houston"
"MARCUSSASSER",2021,1959,"11-07-2022","Northern Colo.","Houston"
"TRAMONMARK",2021,1959,"11-07-2022","Northern Colo.","Houston"
"REGGIECHANEY",2021,1959,"11-07-2022","Northern Colo.","Houston"
"JAMALSHEAD",1959,1911,"11-07-2022","Northern Colo.","Houston"
"JWANROBERTS",1959,1911,"11-07-2022","Northern Colo.","Houston"
"MARCUSSASSER",1959,1911,"11-07-2022","Northern Colo.","Houston"
"REGGIECHANEY",1959,1911,"11-07-2022","Northern Colo.","Houston"
"RAMONWALKER",1959,1911,"11-07-2022","Northern Colo.","Houston"
"JAMALSHEAD",1911,1863,"11-07-2022","Northern Colo.","Houston"
"JWANROBERTS",1911,1863,"11-07-2022","Northern Colo.","Houston"
"MARCUSSASSER",1911,1863,"11-07-2022","Northern Colo.","Houston"
"REGGIECHANEY",1911,1863,"11-07-2022","Northern Colo.","Houston"
"RAMONWALKER",1911,1863,"11-07-2022","Northern Colo.","Houston"
"JAMALSHEAD",1863,1809,"11-07-2022","Northern Colo.","Houston"
"MARCUSSASSER",1863,1809,"11-07-2022","Northern Colo.","Houston"
"JARACEWALKER",1863,1809,"11-07-2022","Northern Colo.","Houston"
"REGGIECHANEY",1863,1809,"11-07-2022","Northern Colo.","Houston"
"RAMONWALKER",1863,1809,"11-07-2022","Northern Colo.","Houston"
"MARCUSSASSER",1809,1775,"11-07-2022","Northern Colo.","Houston"
"JARACEWALKER",1809,1775,"11-07-2022","Northern Colo.","Houston"
"REGGIECHANEY",1809,1775,"11-07-2022","Northern Colo.","Houston"
"RAMONWALKER",1809,1775,"11-07-2022","Northern Colo.","Houston"
"TERRANCEARCENEAUX",1809,1775,"11-07-2022","Northern Colo.","Houston"
"MARCUSSASSER",1775,1631,"11-07-2022","Northern Colo.","Houston"
"JARACEWALKER",1775,1631,"11-07-2022","Northern Colo.","Houston"
"TRAMONMARK",1775,1631,"11-07-2022","Northern Colo.","Houston"
"TERRANCEARCENEAUX",1775,1631,"11-07-2022","Northern Colo.","Houston"
"JAVIERFRANCIS",1775,1631,"11-07-2022","Northern Colo.","Houston"
"JAMALSHEAD",1631,1595,"11-07-2022","Northern Colo.","Houston"
"JARACEWALKER",1631,1595,"11-07-2022","Northern Colo.","Houston"
"TRAMONMARK",1631,1595,"11-07-2022","Northern Colo.","Houston"
"TERRANCEARCENEAUX",1631,1595,"11-07-2022","Northern Colo.","Houston"
"JAVIERFRANCIS",1631,1595,"11-07-2022","Northern Colo.","Houston"
"JAMALSHEAD",1595,1565,"11-07-2022","Northern Colo.","Houston"
"JARACEWALKER",1595,1565,"11-07-2022","Northern Colo.","Houston"
"TRAMONMARK",1595,1565,"11-07-2022","Northern Colo.","Houston"
"TERRANCEARCENEAUX",1595,1565,"11-07-2022","Northern Colo.","Houston"
"JAVIERFRANCIS",1595,1565,"11-07-2022","Northern Colo.","Houston"
"JAMALSHEAD",1565,1458,"11-07-2022","Northern Colo.","Houston"
"JARACEWALKER",1565,1458,"11-07-2022","Northern Colo.","Houston"
"TRAMONMARK",1565,1458,"11-07-2022","Northern Colo.","Houston"
"TERRANCEARCENEAUX",1565,1458,"11-07-2022","Northern Colo.","Houston"
"JAVIERFRANCIS",1565,1458,"11-07-2022","Northern Colo.","Houston"
"JAMALSHEAD",1458,1256,"11-07-2022","Northern Colo.","Houston"
"JWANROBERTS",1458,1256,"11-07-2022","Northern Colo.","Houston"
"MARCUSSASSER",1458,1256,"11-07-2022","Northern Colo.","Houston"
"JARACEWALKER",1458,1256,"11-07-2022","Northern Colo.","Houston"
"TRAMONMARK",1458,1256,"11-07-2022","Northern Colo.","Houston"
"JAMALSHEAD",1256,1238,"11-07-2022","Northern Colo.","Houston"
"JWANROBERTS",1256,1238,"11-07-2022","Northern Colo.","Houston"
"TRAMONMARK",1256,1238,"11-07-2022","Northern Colo.","Houston"
"TERRANCEARCENEAUX",1256,1238,"11-07-2022","Northern Colo.","Houston"
"JAVIERFRANCIS",1256,1238,"11-07-2022","Northern Colo.","Houston"
"JAMALSHEAD",1238,1218,"11-07-2022","Northern Colo.","Houston"
"JWANROBERTS",1238,1218,"11-07-2022","Northern Colo.","Houston"
"TRAMONMARK",1238,1218,"11-07-2022","Northern Colo.","Houston"
"TERRANCEARCENEAUX",1238,1218,"11-07-2022","Northern Colo.","Houston"
"JAVIERFRANCIS",1238,1218,"11-07-2022","Northern Colo.","Houston"
"JAMALSHEAD",1218,1204,"11-07-2022","Northern Colo.","Houston"
"JWANROBERTS",1218,1204,"11-07-2022","Northern Colo.","Houston"
"TRAMONMARK",1218,1204,"11-07-2022","Northern Colo.","Houston"
"TERRANCEARCENEAUX",1218,1204,"11-07-2022","Northern Colo.","Houston"
"JAVIERFRANCIS",1218,1204,"11-07-2022","Northern Colo.","Houston"
"JAMALSHEAD",1204,1200,"11-07-2022","Northern Colo.","Houston"
"JWANROBERTS",1204,1200,"11-07-2022","Northern Colo.","Houston"
"MARCUSSASSER",1204,1200,"11-07-2022","Northern Colo.","Houston"
"TRAMONMARK",1204,1200,"11-07-2022","Northern Colo.","Houston"
"JAVIERFRANCIS",1204,1200,"11-07-2022","Northern Colo.","Houston"
"JARACEWALKER",1200,1009,"11-07-2022","Northern Colo.","Houston"
"JWANROBERTS",1200,1009,"11-07-2022","Northern Colo.","Houston"
"MARCUSSASSER",1200,1009,"11-07-2022","Northern Colo.","Houston"
"TRAMONMARK",1200,1009,"11-07-2022","Northern Colo.","Houston"
"JAMALSHEAD",1200,1009,"11-07-2022","Northern Colo.","Houston"
"JARACEWALKER",1009,975,"11-07-2022","Northern Colo.","Houston"
"JWANROBERTS",1009,975,"11-07-2022","Northern Colo.","Houston"
"MARCUSSASSER",1009,975,"11-07-2022","Northern Colo.","Houston"
"TRAMONMARK",1009,975,"11-07-2022","Northern Colo.","Houston"
"JAMALSHEAD",1009,975,"11-07-2022","Northern Colo.","Houston"
"JARACEWALKER",975,955,"11-07-2022","Northern Colo.","Houston"
"JWANROBERTS",975,955,"11-07-2022","Northern Colo.","Houston"
"MARCUSSASSER",975,955,"11-07-2022","Northern Colo.","Houston"
"TRAMONMARK",975,955,"11-07-2022","Northern Colo.","Houston"
"JAMALSHEAD",975,955,"11-07-2022","Northern Colo.","Houston"
"JARACEWALKER",955,804,"11-07-2022","Northern Colo.","Houston"
"MARCUSSASSER",955,804,"11-07-2022","Northern Colo.","Houston"
"TRAMONMARK",955,804,"11-07-2022","Northern Colo.","Houston"
"JAMALSHEAD",955,804,"11-07-2022","Northern Colo.","Houston"
"REGGIECHANEY",955,804,"11-07-2022","Northern Colo.","Houston"
"JWANROBERTS",804,735,"11-07-2022","Northern Colo.","Houston"
"MARCUSSASSER",804,735,"11-07-2022","Northern Colo.","Houston"
"JAMALSHEAD",804,735,"11-07-2022","Northern Colo.","Houston"
"REGGIECHANEY",804,735,"11-07-2022","Northern Colo.","Houston"
"RAMONWALKER",804,735,"11-07-2022","Northern Colo.","Houston"
"JAVIERFRANCIS",735,613,"11-07-2022","Northern Colo.","Houston"
"JWANROBERTS",735,613,"11-07-2022","Northern Colo.","Houston"
"MARCUSSASSER",735,613,"11-07-2022","Northern Colo.","Houston"
"JAMALSHEAD",735,613,"11-07-2022","Northern Colo.","Houston"
"RAMONWALKER",735,613,"11-07-2022","Northern Colo.","Houston"
"JAVIERFRANCIS",613,571,"11-07-2022","Northern Colo.","Houston"
"JARACEWALKER",613,571,"11-07-2022","Northern Colo.","Houston"
"MARCUSSASSER",613,571,"11-07-2022","Northern Colo.","Houston"
"RAMONWALKER",613,571,"11-07-2022","Northern Colo.","Houston"
"TERRANCEARCENEAUX",613,571,"11-07-2022","Northern Colo.","Houston"
