"school","logo","type","color","alt_color","wordmark","g","w","l","w_l_percent","srs","sos","offense_mp","offense_fg","offense_fga","offense_fg_percent","offense_x3p","offense_x3pa","offense_x3p_percent","offense_ft","offense_fta","offense_ft_percent","offense_orb","offense_trb","offense_ast","offense_stl","offense_blk","offense_tov","offense_pf","defense_mp","defense_fg","defense_fga","defense_fg_percent","defense_x3p","defense_x3pa","defense_x3p_percent","defense_ft","defense_fta","defense_ft_percent","defense_orb","defense_trb","defense_ast","defense_stl","defense_blk","defense_tov","defense_pf","offense_pace","offense_o_rtg","offense_f_tr","offense_x3p_ar","offense_ts_percent","offense_trb_percent","offense_ast_percent","offense_stl_percent","offense_blk_percent","offense_e_fg_percent","offense_tov_percent","offense_orb_percent","offense_ft_fga","defense_pace","defense_o_rtg","defense_f_tr","defense_x3p_ar","defense_ts_percent","defense_trb_percent","defense_ast_percent","defense_stl_percent","defense_blk_percent","defense_e_fg_percent","defense_tov_percent","defense_orb_percent","defense_ft_fga","offense_x2p_percent","offense_drb_percent"
"Alabama","http://a.espncdn.com/i/teamlogos/ncaa/500/333.png","P5","#690014","#f1f2f3","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/alabama_crimson_tide_logo_secondary_19987746.png",9,6,3,0.667,24.58,8.14,360,272,551,0.494,104,254,0.409,191,242,0.789,112,356,142,69,45,107,170,360,241,547,0.441,67,199,0.337,142,198,0.717,95,290,104,62,33,111,198,73.2,127.3,0.439,0.461,0.63,55.1,52.2,10.5,12.9,0.588,13.8,36.5,0.347,73.2,104.9,0.362,0.364,0.539,44.9,43.2,9.4,11.1,0.502,14.8,28,0.26,0.565656565656566,72
"Boise State","http://a.espncdn.com/i/teamlogos/ncaa/500/68.png","G5","#09347A","#d8d9da","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/boise_state_broncos_logo_wordmark_2013_sportslogosnet-5682.png",10,7,3,0.7,10.71,8.21,400,261,566,0.461,76,228,0.333,154,218,0.706,100,359,130,66,25,119,160,400,244,561,0.435,63,192,0.328,108,152,0.711,79,306,116,55,35,130,179,68.6,109.6,0.385,0.403,0.562,54,49.8,9.6,6.8,0.528,15.1,30.6,0.272,68.6,96.1,0.271,0.342,0.52,46,47.5,8,10.4,0.491,17,23.4,0.193,0.547337278106509,76.6
"Boston College","http://a.espncdn.com/i/teamlogos/ncaa/500/103.png","P5","#88001a","#a39161","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/7381_boston_college-wordmark.png",11,8,3,0.727,8.24,0.33,445,320,686,0.466,79,231,0.342,149,192,0.776,114,408,161,79,48,111,169,445,281,663,0.424,89,246,0.362,130,170,0.765,111,384,143,61,39,146,179,69.8,111.9,0.28,0.337,0.558,51.5,50.3,10.2,11.5,0.524,12.5,29.5,0.217,69.8,100.6,0.256,0.371,0.525,48.5,50.9,7.9,8.6,0.491,16.4,27.4,0.196,0.52967032967033,72.6
"Clemson","http://a.espncdn.com/i/teamlogos/ncaa/500/228.png","P5","#F66733","#522d80","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/2397_clemson_tigers-wordmark-2014.png",9,9,0,1,17.41,6.97,360,254,539,0.471,87,222,0.392,113,155,0.729,89,344,153,41,47,92,163,360,205,521,0.393,67,206,0.325,137,194,0.706,87,307,97,56,20,88,151,68.3,115.1,0.288,0.412,0.578,52.8,60.2,6.7,14.9,0.552,13.1,28.8,0.21,68.3,99.8,0.372,0.395,0.501,47.2,47.3,9.1,6.3,0.458,12.6,25.4,0.263,0.526813880126183,74.6
"Duke","http://a.espncdn.com/i/teamlogos/ncaa/500/150.png","P5","#001A57","#f1f2f3","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/1549_duke_blue_devils-wordmark-1978.png",10,7,3,0.7,19.83,4.33,400,292,602,0.485,79,214,0.369,153,211,0.725,100,364,165,66,37,90,157,400,242,562,0.431,70,217,0.323,107,154,0.695,77,315,137,42,50,126,169,68.8,118.6,0.35,0.355,0.581,53.6,56.5,9.6,10.7,0.551,11.4,29.6,0.254,68.8,96.1,0.274,0.386,0.52,46.4,56.6,6.1,12.9,0.493,16.6,22.6,0.19,0.548969072164949,77.4
"Florida State","http://a.espncdn.com/i/teamlogos/ncaa/500/52.png","P5","#782F40","#ceb888","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/5954_florida_state_seminoles-wordmark-2014.png",8,4,4,0.5,7.98,5.35,325,224,500,0.448,66,182,0.363,110,172,0.64,84,290,121,77,34,109,174,325,201,467,0.43,47,162,0.29,154,227,0.678,102,309,93,57,24,128,150,74.3,103.3,0.344,0.364,0.536,48.4,54,12.7,11.1,0.514,15.8,28.9,0.22,74.3,99.8,0.486,0.347,0.525,51.6,46.3,9.4,7.5,0.481,18.2,33.1,0.33,0.49685534591195,66.9
"Georgia Tech","http://a.espncdn.com/i/teamlogos/ncaa/500/59.png","P5","#00223e","#002c56","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/georgia_tech_wordmark_gt_lockup_02.png",8,5,3,0.625,3.37,2.62,320,200,501,0.399,59,199,0.296,109,167,0.653,116,332,105,43,43,102,137,320,198,496,0.399,51,192,0.266,115,161,0.714,92,300,81,56,34,83,144,70.6,100.5,0.333,0.397,0.489,52.5,52.5,7.6,14.1,0.458,14.9,35.8,0.218,70.6,99.5,0.325,0.387,0.491,47.5,40.9,9.9,11.3,0.451,12.7,29.9,0.232,0.466887417218543,70.1
"Louisville","http://a.espncdn.com/i/teamlogos/ncaa/500/97.png","P5","#ad000a","#cccccc","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/8185_louisville_cardinals-wordmark-2013.png",9,4,5,0.444,-3.69,-3.57,365,223,535,0.417,48,170,0.282,177,240,0.738,115,344,96,52,27,117,173,365,239,529,0.452,55,181,0.304,139,194,0.716,89,318,124,60,33,113,193,71,103.5,0.449,0.318,0.517,52,43,8,7.8,0.462,15.3,33.4,0.331,71,103.7,0.367,0.342,0.541,48,51.9,9.3,9,0.504,15.4,28,0.263,0.479452054794521,72
"Memphis","http://a.espncdn.com/i/teamlogos/ncaa/500/235.png","G5","#002447","#231f20","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/memphis_tigers_logo_wordmark_2021_sportslogosnet-8745.png",9,7,2,0.778,11.63,6.07,365,247,540,0.457,74,207,0.357,149,204,0.73,100,337,118,77,43,126,162,365,233,580,0.402,78,247,0.316,123,166,0.741,127,349,110,67,36,126,176,72.4,108.6,0.378,0.383,0.563,49.1,47.8,11.7,12.9,0.526,16.5,31.1,0.276,72.4,101.1,0.286,0.426,0.506,50.9,47.2,10.2,10.8,0.469,16.1,34.9,0.212,0.519519519519519,65.1
"Miami","http://a.espncdn.com/i/teamlogos/ncaa/500/2390.png","P5","#004325","#f0f0f0","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/2537_miami_wordmark.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
