"school","logo","type","color","alt_color","wordmark","belong","g","w","l","w_l_percent","srs","sos","offense_mp","offense_fg","offense_fga","offense_fg_percent","offense_x3p","offense_x3pa","offense_x3p_percent","offense_ft","offense_fta","offense_ft_percent","offense_orb","offense_trb","offense_ast","offense_stl","offense_blk","offense_tov","offense_pf","defense_mp","defense_fg","defense_fga","defense_fg_percent","defense_x3p","defense_x3pa","defense_x3p_percent","defense_ft","defense_fta","defense_ft_percent","defense_orb","defense_trb","defense_ast","defense_stl","defense_blk","defense_tov","defense_pf","offense_pace","offense_o_rtg","offense_f_tr","offense_x3p_ar","offense_ts_percent","offense_trb_percent","offense_ast_percent","offense_stl_percent","offense_blk_percent","offense_e_fg_percent","offense_tov_percent","offense_orb_percent","offense_ft_fga","defense_pace","defense_o_rtg","defense_f_tr","defense_x3p_ar","defense_ts_percent","defense_trb_percent","defense_ast_percent","defense_stl_percent","defense_blk_percent","defense_e_fg_percent","defense_tov_percent","defense_orb_percent","defense_ft_fga","offense_x2p_percent","offense_drb_percent"
"Arizona","http://a.espncdn.com/i/teamlogos/ncaa/500/12.png","P5","#002449","#00205b","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/2804_arizona_wildcats-wordmark-2003.png",1,8,8,0,1,34.85,4.73,320,273,530,0.515,68,174,0.391,138,189,0.73,110,369,173,76,37,101,124,320,192,493,0.389,62,186,0.333,65,104,0.625,53,226,100,55,22,121,158,76.3,123.1,0.357,0.328,0.607,62,63.4,12.4,12.1,0.579,14,38.9,0.26,76.3,83.6,0.211,0.377,0.471,38,52.1,9,6.2,0.452,18.2,17,0.132,0.575842696629214,83
"Baylor","http://a.espncdn.com/i/teamlogos/ncaa/500/239.png","P5","#004834","#ffb81c","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/1778_baylor_bears-wordmark-2005.png",1,9,9,0,1,24.65,1.4,360,285,548,0.52,82,190,0.432,168,227,0.74,124,360,150,66,46,106,139,360,225,549,0.41,54,188,0.287,104,138,0.754,98,264,112,53,41,119,197,70.7,128.7,0.414,0.347,0.625,57.7,52.6,10.4,12.7,0.595,13.9,42.8,0.307,70.7,95.4,0.251,0.342,0.495,42.3,49.8,8.3,11.5,0.459,16.2,29.3,0.189,0.567039106145251,70.7
"BYU","http://a.espncdn.com/i/teamlogos/ncaa/500/252.png","P5","#001E4C","#ffffff","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/brigham_young_cougars_logo_wordmark_19992374.png",1,9,8,1,0.889,28.85,0.08,360,293,611,0.48,110,293,0.375,108,149,0.725,130,407,192,61,22,93,153,360,211,528,0.4,42,178,0.236,81,130,0.623,68,280,101,54,15,119,140,71.4,125,0.244,0.48,0.59,59.2,65.5,9.5,6.3,0.57,12,38,0.177,71.4,84.8,0.246,0.337,0.462,40.8,47.9,8.4,4.7,0.439,16.8,19.7,0.153,0.575471698113208,80.3
"Clemson","http://a.espncdn.com/i/teamlogos/ncaa/500/228.png","P5","#F66733","#522d80","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/2397_clemson_tigers-wordmark-2014.png",1,9,9,0,1,17.41,6.97,360,254,539,0.471,87,222,0.392,113,155,0.729,89,344,153,41,47,92,163,360,205,521,0.393,67,206,0.325,137,194,0.706,87,307,97,56,20,88,151,68.3,115.1,0.288,0.412,0.578,52.8,60.2,6.7,14.9,0.552,13.1,28.8,0.21,68.3,99.8,0.372,0.395,0.501,47.2,47.3,9.1,6.3,0.458,12.6,25.4,0.263,0.526813880126183,74.6
"Colorado State","http://a.espncdn.com/i/teamlogos/ncaa/500/36.png","G5","#004537","#ffc425","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/colorado_state_rams_logo_wordmark_20217977.png",1,10,9,1,0.9,20.47,7.67,400,295,567,0.52,83,219,0.379,160,206,0.777,67,317,197,66,27,96,168,400,259,582,0.445,67,210,0.319,120,161,0.745,93,320,115,47,26,128,175,69.4,120,0.363,0.386,0.626,49.8,66.8,9.5,7.3,0.593,12.6,22.8,0.282,69.4,101.6,0.277,0.361,0.535,50.2,44.4,6.8,7.5,0.503,16.3,27.1,0.206,0.609195402298851,72.9
"Duke","http://a.espncdn.com/i/teamlogos/ncaa/500/150.png","P5","#001A57","#f1f2f3","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/1549_duke_blue_devils-wordmark-1978.png",1,10,7,3,0.7,19.83,4.33,400,292,602,0.485,79,214,0.369,153,211,0.725,100,364,165,66,37,90,157,400,242,562,0.431,70,217,0.323,107,154,0.695,77,315,137,42,50,126,169,68.8,118.6,0.35,0.355,0.581,53.6,56.5,9.6,10.7,0.551,11.4,29.6,0.254,68.8,96.1,0.274,0.386,0.52,46.4,56.6,6.1,12.9,0.493,16.6,22.6,0.19,0.548969072164949,77.4
"Florida Atlantic","http://a.espncdn.com/i/teamlogos/ncaa/500/2226.png","G5","#004B85","#bb2f4c","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/florida_atlantic_owls_logo_wordmark_2014_sportslogosnet-2808.png",1,9,7,2,0.778,20.99,7.11,360,273,541,0.505,80,208,0.385,134,186,0.72,96,332,139,70,28,98,157,360,230,535,0.43,64,195,0.328,111,156,0.712,96,291,81,42,20,113,158,69.9,120.8,0.344,0.384,0.604,53.3,50.9,11.1,8.2,0.579,13.5,33,0.248,69.9,101,0.292,0.364,0.521,46.7,35.2,6.7,6,0.49,15.6,28.9,0.207,0.57957957957958,71.1
"Houston","http://a.espncdn.com/i/teamlogos/ncaa/500/248.png","G5","#C90822","#231f20","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/houston_cougars_logo_wordmark_20129226.png",1,10,10,0,1,26.69,-0.01,400,270,619,0.436,82,236,0.347,142,219,0.648,161,419,142,116,47,92,184,400,164,469,0.35,53,193,0.275,116,189,0.614,91,315,107,47,25,179,175,65,117.5,0.354,0.381,0.528,57.1,52.6,17.8,17,0.502,11.3,41.8,0.229,65,76.5,0.403,0.412,0.445,42.9,65.2,7.2,6.5,0.406,24.3,26.1,0.247,0.490861618798956,73.9
"Illinois","http://a.espncdn.com/i/teamlogos/ncaa/500/356.png","P5","#f77329","#fa6300","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/3664_illinois_fighting_illini-wordmark-2014.png",1,9,7,2,0.778,20.07,5.07,360,268,571,0.469,75,232,0.323,109,164,0.665,113,405,110,38,39,115,132,360,214,584,0.366,51,170,0.3,106,158,0.671,100,314,91,64,29,88,155,72.1,110.9,0.287,0.406,0.555,56.3,41,5.9,9.4,0.535,15.1,34.6,0.191,72.1,90.1,0.271,0.291,0.444,43.7,42.5,9.9,8.6,0.41,11.8,25.5,0.182,0.569321533923304,74.5
"James Madison","http://a.espncdn.com/i/teamlogos/ncaa/500/256.png","G5","#450084","#cbb778","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/3393_james_madison_dukes-wordmark-2017.png",1,9,9,0,1,12.85,0.48,375,310,614,0.505,88,227,0.388,139,198,0.702,111,371,157,85,40,107,164,375,237,575,0.412,61,200,0.305,142,202,0.703,105,314,96,57,22,141,162,75.3,120,0.322,0.37,0.598,54.2,50.6,12,10.7,0.577,13.1,34.7,0.226,75.3,95.9,0.351,0.348,0.505,45.8,40.5,8.1,5.7,0.465,17.4,28.8,0.247,0.573643410852713,71.2
