"school","logo","type","color","alt_color","wordmark","belong","g","w","l","w_l_percent","srs","sos","offense_mp","offense_fg","offense_fga","offense_fg_percent","offense_x3p","offense_x3pa","offense_x3p_percent","offense_ft","offense_fta","offense_ft_percent","offense_orb","offense_trb","offense_ast","offense_stl","offense_blk","offense_tov","offense_pf","defense_mp","defense_fg","defense_fga","defense_fg_percent","defense_x3p","defense_x3pa","defense_x3p_percent","defense_ft","defense_fta","defense_ft_percent","defense_orb","defense_trb","defense_ast","defense_stl","defense_blk","defense_tov","defense_pf","offense_pace","offense_o_rtg","offense_f_tr","offense_x3p_ar","offense_ts_percent","offense_trb_percent","offense_ast_percent","offense_stl_percent","offense_blk_percent","offense_e_fg_percent","offense_tov_percent","offense_orb_percent","offense_ft_fga","defense_pace","defense_o_rtg","defense_f_tr","defense_x3p_ar","defense_ts_percent","defense_trb_percent","defense_ast_percent","defense_stl_percent","defense_blk_percent","defense_e_fg_percent","defense_tov_percent","defense_orb_percent","defense_ft_fga","offense_x2p_percent","offense_drb_percent"
"Alabama","http://a.espncdn.com/i/teamlogos/ncaa/500/333.png","P5","#690014","#f1f2f3","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/alabama_crimson_tide_logo_secondary_19987746.png",1,9,6,3,0.667,24.58,8.14,360,272,551,0.494,104,254,0.409,191,242,0.789,112,356,142,69,45,107,170,360,241,547,0.441,67,199,0.337,142,198,0.717,95,290,104,62,33,111,198,73.2,127.3,0.439,0.461,0.63,55.1,52.2,10.5,12.9,0.588,13.8,36.5,0.347,73.2,104.9,0.362,0.364,0.539,44.9,43.2,9.4,11.1,0.502,14.8,28,0.26,0.565656565656566,72
"Arizona","http://a.espncdn.com/i/teamlogos/ncaa/500/12.png","P5","#002449","#00205b","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/2804_arizona_wildcats-wordmark-2003.png",1,8,8,0,1,34.85,4.73,320,273,530,0.515,68,174,0.391,138,189,0.73,110,369,173,76,37,101,124,320,192,493,0.389,62,186,0.333,65,104,0.625,53,226,100,55,22,121,158,76.3,123.1,0.357,0.328,0.607,62,63.4,12.4,12.1,0.579,14,38.9,0.26,76.3,83.6,0.211,0.377,0.471,38,52.1,9,6.2,0.452,18.2,17,0.132,0.575842696629214,83
"Auburn","http://a.espncdn.com/i/teamlogos/ncaa/500/2.png","P5","#03244d","#f1f2f3","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/auburn_tigers_logo_wordmark_20067195.png",1,8,6,2,0.75,18.04,3.04,320,224,498,0.45,62,191,0.325,144,202,0.713,110,328,154,52,43,86,164,320,174,458,0.38,42,152,0.276,144,188,0.766,87,276,73,50,19,107,164,71.1,114.9,0.406,0.384,0.551,54.3,68.8,9.1,14.1,0.512,12.6,36.8,0.289,71.1,93.8,0.41,0.332,0.488,45.7,42,8.8,6.2,0.426,16.4,28.5,0.314,0.527687296416938,71.5
"Baylor","http://a.espncdn.com/i/teamlogos/ncaa/500/239.png","P5","#004834","#ffb81c","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/1778_baylor_bears-wordmark-2005.png",1,9,9,0,1,24.65,1.4,360,285,548,0.52,82,190,0.432,168,227,0.74,124,360,150,66,46,106,139,360,225,549,0.41,54,188,0.287,104,138,0.754,98,264,112,53,41,119,197,70.7,128.7,0.414,0.347,0.625,57.7,52.6,10.4,12.7,0.595,13.9,42.8,0.307,70.7,95.4,0.251,0.342,0.495,42.3,49.8,8.3,11.5,0.459,16.2,29.3,0.189,0.567039106145251,70.7
"BYU","http://a.espncdn.com/i/teamlogos/ncaa/500/252.png","P5","#001E4C","#ffffff","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/brigham_young_cougars_logo_wordmark_19992374.png",1,9,8,1,0.889,28.85,0.08,360,293,611,0.48,110,293,0.375,108,149,0.725,130,407,192,61,22,93,153,360,211,528,0.4,42,178,0.236,81,130,0.623,68,280,101,54,15,119,140,71.4,125,0.244,0.48,0.59,59.2,65.5,9.5,6.3,0.57,12,38,0.177,71.4,84.8,0.246,0.337,0.462,40.8,47.9,8.4,4.7,0.439,16.8,19.7,0.153,0.575471698113208,80.3
"Cincinnati","http://a.espncdn.com/i/teamlogos/ncaa/500/2132.png","G5","#000000","#717073","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/cincinnati_bearcats_logo_wordmark_20058032.png",1,9,8,1,0.889,18.38,-1.96,365,284,604,0.47,78,220,0.355,129,183,0.705,127,395,156,59,39,89,129,365,222,546,0.407,54,181,0.298,94,131,0.718,65,281,112,50,39,108,156,71.5,118.9,0.303,0.364,0.561,58.4,54.9,9,10.7,0.535,11.4,37,0.214,71.5,90.8,0.24,0.332,0.487,41.6,50.5,7.7,10.2,0.456,15.1,19.5,0.172,0.536458333333333,80.5
"Clemson","http://a.espncdn.com/i/teamlogos/ncaa/500/228.png","P5","#F66733","#522d80","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/2397_clemson_tigers-wordmark-2014.png",1,9,9,0,1,17.41,6.97,360,254,539,0.471,87,222,0.392,113,155,0.729,89,344,153,41,47,92,163,360,205,521,0.393,67,206,0.325,137,194,0.706,87,307,97,56,20,88,151,68.3,115.1,0.288,0.412,0.578,52.8,60.2,6.7,14.9,0.552,13.1,28.8,0.21,68.3,99.8,0.372,0.395,0.501,47.2,47.3,9.1,6.3,0.458,12.6,25.4,0.263,0.526813880126183,74.6
"Colorado","http://a.espncdn.com/i/teamlogos/ncaa/500/38.png","P5","#d1c57e","#ffd200","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/8028_colorado_buffaloes-wordmark-2006.png",1,9,7,2,0.778,17.4,1.84,365,272,518,0.525,63,154,0.409,153,194,0.789,97,339,170,65,22,127,145,365,214,512,0.418,65,190,0.342,127,172,0.738,77,247,83,78,27,122,173,70.1,118.9,0.375,0.297,0.623,57.8,62.5,10.2,6.8,0.586,17.2,36.3,0.295,70.1,97,0.336,0.371,0.522,42.2,38.8,12.2,7.4,0.481,17,24.1,0.248,0.574175824175824,75.9
"Colorado State","http://a.espncdn.com/i/teamlogos/ncaa/500/36.png","G5","#004537","#ffc425","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/colorado_state_rams_logo_wordmark_20217977.png",1,10,9,1,0.9,20.47,7.67,400,295,567,0.52,83,219,0.379,160,206,0.777,67,317,197,66,27,96,168,400,259,582,0.445,67,210,0.319,120,161,0.745,93,320,115,47,26,128,175,69.4,120,0.363,0.386,0.626,49.8,66.8,9.5,7.3,0.593,12.6,22.8,0.282,69.4,101.6,0.277,0.361,0.535,50.2,44.4,6.8,7.5,0.503,16.3,27.1,0.206,0.609195402298851,72.9
"Connecticut","http://a.espncdn.com/i/teamlogos/ncaa/500/41.png","G5","#001d40","#f1f2f3","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/uconn_huskies_logo_alternate_20132910.png",1,10,9,1,0.9,20.18,-4.03,400,311,611,0.509,89,265,0.336,163,226,0.721,131,419,189,66,59,98,162,400,224,565,0.396,70,187,0.374,114,177,0.644,83,281,114,56,25,121,183,68.6,127.4,0.37,0.434,0.608,59.9,60.8,9.6,15.6,0.582,12,39.8,0.267,68.6,92.1,0.313,0.331,0.487,40.1,50.9,8.2,7.2,0.458,15.7,22.4,0.202,0.641618497109827,77.6
