"school","logo","type","color","alt_color","wordmark","g","w","l","w_l_percent","srs","sos","offense_mp","offense_fg","offense_fga","offense_fg_percent","offense_x3p","offense_x3pa","offense_x3p_percent","offense_ft","offense_fta","offense_ft_percent","offense_orb","offense_trb","offense_ast","offense_stl","offense_blk","offense_tov","offense_pf","defense_mp","defense_fg","defense_fga","defense_fg_percent","defense_x3p","defense_x3pa","defense_x3p_percent","defense_ft","defense_fta","defense_ft_percent","defense_orb","defense_trb","defense_ast","defense_stl","defense_blk","defense_tov","defense_pf","offense_pace","offense_o_rtg","offense_f_tr","offense_x3p_ar","offense_ts_percent","offense_trb_percent","offense_ast_percent","offense_stl_percent","offense_blk_percent","offense_e_fg_percent","offense_tov_percent","offense_orb_percent","offense_ft_fga","defense_pace","defense_o_rtg","defense_f_tr","defense_x3p_ar","defense_ts_percent","defense_trb_percent","defense_ast_percent","defense_stl_percent","defense_blk_percent","defense_e_fg_percent","defense_tov_percent","defense_orb_percent","defense_ft_fga","offense_x2p_percent","offense_drb_percent"
"Alabama","http://a.espncdn.com/i/teamlogos/ncaa/500/333.png","P5","#690014","#f1f2f3","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/alabama_crimson_tide_logo_secondary_19987746.png",9,6,3,0.667,24.58,8.14,360,272,551,0.494,104,254,0.409,191,242,0.789,112,356,142,69,45,107,170,360,241,547,0.441,67,199,0.337,142,198,0.717,95,290,104,62,33,111,198,73.2,127.3,0.439,0.461,0.63,55.1,52.2,10.5,12.9,0.588,13.8,36.5,0.347,73.2,104.9,0.362,0.364,0.539,44.9,43.2,9.4,11.1,0.502,14.8,28,0.26,0.565656565656566,72
"Arizona State","http://a.espncdn.com/i/teamlogos/ncaa/500/9.png","P5","#942139","#f1f2f3","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/2342_arizona_state_sun_devils-wordmark-2012.png",9,6,3,0.667,6.88,5.77,360,220,521,0.422,57,186,0.306,134,217,0.618,76,325,117,80,35,96,139,360,230,573,0.401,68,235,0.289,93,134,0.694,118,388,123,53,17,132,173,71.9,97.5,0.417,0.357,0.506,45.6,53.2,12.4,10.4,0.477,13.3,22,0.257,71.9,96,0.234,0.41,0.488,54.4,53.5,8.2,5.1,0.461,17.2,32.2,0.162,0.486567164179104,67.8
"Arkansas","http://a.espncdn.com/i/teamlogos/ncaa/500/8.png","P5","#9c1831","#000000","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/2749_arkansas_razorbacks-wordmark-2014.png",10,6,4,0.6,9.99,5.19,410,270,578,0.467,69,203,0.34,203,284,0.715,92,370,118,61,70,121,209,410,259,612,0.423,77,220,0.35,169,243,0.695,104,348,127,64,16,122,223,72.6,109.1,0.491,0.351,0.57,51.5,43.7,8.2,17.9,0.527,14.5,27.4,0.351,72.6,102.7,0.397,0.359,0.525,48.5,49,8.6,4.3,0.486,14.4,27.2,0.276,0.536,72.8
"Auburn","http://a.espncdn.com/i/teamlogos/ncaa/500/2.png","P5","#03244d","#f1f2f3","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/auburn_tigers_logo_wordmark_20067195.png",8,6,2,0.75,18.04,3.04,320,224,498,0.45,62,191,0.325,144,202,0.713,110,328,154,52,43,86,164,320,174,458,0.38,42,152,0.276,144,188,0.766,87,276,73,50,19,107,164,71.1,114.9,0.406,0.384,0.551,54.3,68.8,9.1,14.1,0.512,12.6,36.8,0.289,71.1,93.8,0.41,0.332,0.488,45.7,42,8.8,6.2,0.426,16.4,28.5,0.314,0.527687296416938,71.5
"Florida","http://a.espncdn.com/i/teamlogos/ncaa/500/57.png","P5","#0021A5","#0021a5","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/9227_florida_gators-wordmark-1992.png",9,6,3,0.667,16.42,6.42,360,264,576,0.458,65,198,0.328,160,239,0.669,145,394,142,66,43,119,163,360,235,557,0.422,67,191,0.351,126,188,0.67,96,299,119,79,27,109,178,73.5,113.9,0.415,0.344,0.546,56.9,53.8,10,11.7,0.515,14.7,41.7,0.278,73.5,100.3,0.338,0.343,0.513,43.1,50.6,12,7.1,0.482,14.4,27.8,0.226,0.526455026455027,72.2
"Georgia","http://a.espncdn.com/i/teamlogos/ncaa/500/61.png","P5","#CC0000","#000000","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/georgia_bulldogs_logo_wordmark_20156350.png",9,6,3,0.667,6.8,4.58,360,212,525,0.404,72,227,0.317,153,217,0.705,91,345,101,51,27,103,160,360,225,573,0.393,65,208,0.313,114,162,0.704,113,365,117,48,30,100,182,70.9,101.6,0.413,0.432,0.517,48.6,47.6,8,7.4,0.472,14.1,26.5,0.291,70.9,98.4,0.283,0.363,0.484,51.4,52,7.5,10.1,0.449,13.3,30.8,0.199,0.469798657718121,69.2
"Georgia Tech","http://a.espncdn.com/i/teamlogos/ncaa/500/59.png","P5","#00223e","#002c56","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/georgia_tech_wordmark_gt_lockup_02.png",8,5,3,0.625,3.37,2.62,320,200,501,0.399,59,199,0.296,109,167,0.653,116,332,105,43,43,102,137,320,198,496,0.399,51,192,0.266,115,161,0.714,92,300,81,56,34,83,144,70.6,100.5,0.333,0.397,0.489,52.5,52.5,7.6,14.1,0.458,14.9,35.8,0.218,70.6,99.5,0.325,0.387,0.491,47.5,40.9,9.9,11.3,0.451,12.7,29.9,0.232,0.466887417218543,70.1
"Kentucky","http://a.espncdn.com/i/teamlogos/ncaa/500/96.png","P5","#005DAA","#ffffff","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/kentucky_wildcats_logo_wordmark_20162011.png",9,7,2,0.778,17.45,-0.67,365,301,597,0.504,96,232,0.414,117,161,0.727,83,340,176,85,43,80,127,365,234,560,0.418,81,248,0.327,103,149,0.691,89,326,131,49,24,132,144,73.7,121.3,0.27,0.389,0.605,51.1,58.5,12.6,13.8,0.585,10.6,25.9,0.196,73.7,97,0.266,0.443,0.517,48.9,56,7.3,6.6,0.49,17.3,25.7,0.184,0.561643835616438,74.3
"LSU","http://a.espncdn.com/i/teamlogos/ncaa/500/99.png","P5","#22005c","#fdd023","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/lsu_tigers_logo_wordmark_20029527.png",9,5,4,0.556,2.41,-1.15,365,226,492,0.459,55,171,0.322,149,207,0.72,91,313,93,88,39,130,155,365,207,524,0.395,87,245,0.355,123,163,0.755,117,318,105,72,33,141,163,68.8,104.6,0.421,0.348,0.556,49.6,41.2,14,14,0.515,18,31.2,0.303,68.8,99.5,0.311,0.468,0.519,50.4,50.7,11.5,10.3,0.478,19,34.5,0.235,0.532710280373832,65.5
"Mississippi State","http://a.espncdn.com/i/teamlogos/ncaa/500/344.png","P5","#762123","#c8c8c8","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/8440_mississippi_state_bulldogs-wordmark-2009.png",9,7,2,0.778,15.81,2.36,360,237,543,0.436,75,240,0.313,130,182,0.714,111,378,139,79,30,124,153,360,193,519,0.372,50,201,0.249,122,179,0.682,86,303,88,79,24,120,161,71.1,106.1,0.335,0.442,0.539,55.5,58.6,12.3,9.4,0.506,16.5,33.8,0.239,71.1,87.2,0.345,0.387,0.462,44.5,45.6,12.3,7.9,0.42,16.6,24.4,0.235,0.534653465346535,75.6
