"school","logo","type","color","alt_color","wordmark","g","w","l","w_l_percent","srs","sos","offense_mp","offense_fg","offense_fga","offense_fg_percent","offense_x3p","offense_x3pa","offense_x3p_percent","offense_ft","offense_fta","offense_ft_percent","offense_orb","offense_trb","offense_ast","offense_stl","offense_blk","offense_tov","offense_pf","defense_mp","defense_fg","defense_fga","defense_fg_percent","defense_x3p","defense_x3pa","defense_x3p_percent","defense_ft","defense_fta","defense_ft_percent","defense_orb","defense_trb","defense_ast","defense_stl","defense_blk","defense_tov","defense_pf","offense_pace","offense_o_rtg","offense_f_tr","offense_x3p_ar","offense_ts_percent","offense_trb_percent","offense_ast_percent","offense_stl_percent","offense_blk_percent","offense_e_fg_percent","offense_tov_percent","offense_orb_percent","offense_ft_fga","defense_pace","defense_o_rtg","defense_f_tr","defense_x3p_ar","defense_ts_percent","defense_trb_percent","defense_ast_percent","defense_stl_percent","defense_blk_percent","defense_e_fg_percent","defense_tov_percent","defense_orb_percent","defense_ft_fga","offense_x2p_percent","offense_drb_percent"
"Air Force","http://a.espncdn.com/i/teamlogos/ncaa/500/2005.png","G5","#004a7b","#ffffff","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/air_force_falcons_logo_wordmark_20202087.png",10,7,3,0.7,-2.23,-7.93,405,234,521,0.449,83,240,0.346,127,189,0.672,74,331,150,77,50,121,167,405,218,543,0.401,65,200,0.325,120,174,0.69,97,338,103,52,28,132,178,65.1,102.9,0.363,0.461,0.555,49.5,64.1,11.7,14.6,0.529,16.5,23.5,0.244,65.1,94.2,0.32,0.368,0.496,50.5,47.2,7.9,10,0.461,17.4,27.4,0.221,0.537366548042705,72.6
"Boise State","http://a.espncdn.com/i/teamlogos/ncaa/500/68.png","G5","#09347A","#d8d9da","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/boise_state_broncos_logo_wordmark_2013_sportslogosnet-5682.png",10,7,3,0.7,10.71,8.21,400,261,566,0.461,76,228,0.333,154,218,0.706,100,359,130,66,25,119,160,400,244,561,0.435,63,192,0.328,108,152,0.711,79,306,116,55,35,130,179,68.6,109.6,0.385,0.403,0.562,54,49.8,9.6,6.8,0.528,15.1,30.6,0.272,68.6,96.1,0.271,0.342,0.52,46,47.5,8,10.4,0.491,17,23.4,0.193,0.547337278106509,76.6
"Colorado State","http://a.espncdn.com/i/teamlogos/ncaa/500/36.png","G5","#004537","#ffc425","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/colorado_state_rams_logo_wordmark_20217977.png",10,9,1,0.9,20.47,7.67,400,295,567,0.52,83,219,0.379,160,206,0.777,67,317,197,66,27,96,168,400,259,582,0.445,67,210,0.319,120,161,0.745,93,320,115,47,26,128,175,69.4,120,0.363,0.386,0.626,49.8,66.8,9.5,7.3,0.593,12.6,22.8,0.282,69.4,101.6,0.277,0.361,0.535,50.2,44.4,6.8,7.5,0.503,16.3,27.1,0.206,0.609195402298851,72.9
"Fresno State","http://a.espncdn.com/i/teamlogos/ncaa/500/278.png","G5","#c41230","#231f20","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/fresno_state_bulldogs_logo_wordmark_2020_sportslogosnet-2559.png",9,5,4,0.556,-2.07,-1.45,365,246,500,0.492,67,178,0.376,108,159,0.679,79,313,129,64,17,136,133,365,249,548,0.454,70,195,0.359,93,135,0.689,82,281,111,64,28,99,147,69.1,105.7,0.318,0.356,0.579,52.7,52.4,10.1,4.8,0.559,19.1,28.4,0.216,69.1,104.8,0.246,0.356,0.54,47.3,44.6,10.1,8.7,0.518,13.9,25.9,0.17,0.555900621118012,74.1
"Louisiana Tech","http://a.espncdn.com/i/teamlogos/ncaa/500/2348.png","G5","#002d65","#d3313a","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/la_tech_wordmark.png",11,9,2,0.818,10.03,2.25,440,282,632,0.446,93,248,0.375,182,265,0.687,135,452,155,96,44,142,182,440,235,635,0.37,66,223,0.296,136,200,0.68,113,376,108,78,40,148,207,69.5,109.7,0.419,0.392,0.554,54.6,55,12.5,10.7,0.52,15.8,33.9,0.288,69.5,87.8,0.315,0.351,0.46,45.4,46,10.2,10.4,0.422,16.9,26.3,0.214,0.4921875,73.7
"Nevada","http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png","G5","#153E5F","#8e9295","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/5309_nevada_wolf_pack-primary-2008.png",8,7,1,0.875,12.79,-1.33,320,213,460,0.463,42,131,0.321,171,231,0.74,78,318,119,37,32,77,143,320,191,486,0.393,68,220,0.309,76,128,0.594,76,273,112,39,29,100,198,71.2,112.1,0.502,0.285,0.561,53.8,55.9,6.5,12,0.509,11.9,28.4,0.372,71.2,92.3,0.263,0.453,0.481,46.2,58.6,6.8,8.8,0.463,15.5,24.1,0.156,0.519756838905775,75.9
"New Mexico","http://a.espncdn.com/i/teamlogos/ncaa/500/167.png","G5","#000000","#231f20","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/new_mexico_lobos_logo_secondary_2017_sportslogosnet-2427.png",10,9,1,0.9,18.74,0.84,400,312,648,0.481,65,186,0.349,172,246,0.699,125,407,166,94,44,107,191,400,230,578,0.398,63,205,0.307,159,215,0.74,94,346,121,54,39,161,202,74.7,115.3,0.38,0.287,0.563,54.1,53.2,12.6,11.8,0.532,12.3,33.2,0.265,74.7,91.3,0.372,0.355,0.501,45.9,52.6,7.2,8.4,0.452,19.1,25,0.275,0.534632034632035,75
"New Mexico State","http://a.espncdn.com/i/teamlogos/ncaa/500/166.png","G5","#891216","#000000","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/new_mexico_state_aggies_logo_wordmark_20056268.png",10,4,6,0.4,-13.65,5.49,410,247,575,0.43,67,197,0.34,157,220,0.714,93,356,133,66,21,127,216,410,238,559,0.426,94,266,0.353,177,259,0.683,87,331,150,73,29,124,182,69.9,100.3,0.383,0.343,0.528,51.8,53.8,9.2,7.2,0.488,15.7,27.6,0.273,69.9,104.3,0.463,0.476,0.548,48.2,63,10.2,7.7,0.51,15.4,24.9,0.317,0.476190476190476,75.1
"Rice","http://a.espncdn.com/i/teamlogos/ncaa/500/242.png","G5","#003D7D","#d1d5d8","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/2538_rice_owls-wordmark-2017.png",9,3,6,0.333,-5.07,7.43,360,232,545,0.426,65,214,0.304,126,183,0.689,93,323,129,58,30,108,132,360,263,561,0.469,75,204,0.368,110,155,0.71,88,341,136,59,30,104,152,72.1,100.9,0.336,0.393,0.518,48.6,55.6,8.9,8.4,0.485,14.6,26.9,0.231,72.1,109.6,0.276,0.364,0.56,51.4,51.7,9.1,9.1,0.536,14.1,27.7,0.196,0.504531722054381,72.3
"San Diego State","http://a.espncdn.com/i/teamlogos/ncaa/500/21.png","G5","#BF2C37","#a8996e","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/san_diego_state_aztecs_logo_wordmark_20135405.png",10,8,2,0.8,15.13,8.24,410,256,589,0.435,75,219,0.342,174,238,0.731,111,379,147,83,34,110,174,410,240,600,0.4,78,261,0.299,121,169,0.716,107,361,121,61,27,128,202,68.4,108.6,0.404,0.372,0.542,51.2,57.4,11.8,10,0.498,13.5,30.4,0.295,68.4,96.9,0.282,0.435,0.499,48.8,50.4,8.7,7.3,0.465,15.8,28.5,0.202,0.489189189189189,71.5
