"Team","split","variable","game_code","stats"
"Syracuse","recency5","Winning_Margin","Chaminade 20231122",49
"Syracuse","recency5","Winning_Margin","LSU 20231128",23
"Syracuse","recency5","Winning_Margin","Virginia 20231202",-22
"Syracuse","recency5","Winning_Margin","Cornell 20231205",11
"Syracuse","recency5","Winning_Margin","Georgetown 20231209",12
"Syracuse","recency10","Winning_Margin","New Hampshire 20231106",11
"Syracuse","recency10","Winning_Margin","Canisius 20231108",12
"Syracuse","recency10","Winning_Margin","Colgate 20231114",4
"Syracuse","recency10","Winning_Margin","Tennessee 20231120",-17
"Syracuse","recency10","Winning_Margin","Gonzaga 20231121",-19
"Syracuse","recency10","Winning_Margin","Chaminade 20231122",49
"Syracuse","recency10","Winning_Margin","LSU 20231128",23
"Syracuse","recency10","Winning_Margin","Virginia 20231202",-22
"Syracuse","recency10","Winning_Margin","Cornell 20231205",11
"Syracuse","recency10","Winning_Margin","Georgetown 20231209",12
"Syracuse","home","Winning_Margin","New Hampshire 20231106",11
"Syracuse","home","Winning_Margin","Canisius 20231108",12
"Syracuse","home","Winning_Margin","Colgate 20231114",4
"Syracuse","home","Winning_Margin","LSU 20231128",23
"Syracuse","home","Winning_Margin","Cornell 20231205",11
"Syracuse","away","Winning_Margin","Tennessee 20231120",-17
"Syracuse","away","Winning_Margin","Gonzaga 20231121",-19
"Syracuse","away","Winning_Margin","Chaminade 20231122",49
"Syracuse","away","Winning_Margin","Virginia 20231202",-22
"Syracuse","away","Winning_Margin","Georgetown 20231209",12
"Syracuse","net50","Winning_Margin","Tennessee 20231120",-17
"Syracuse","net50","Winning_Margin","Gonzaga 20231121",-19
"Syracuse","net50","Winning_Margin","Virginia 20231202",-22
"Syracuse","net100","Winning_Margin","Tennessee 20231120",-17
"Syracuse","net100","Winning_Margin","Gonzaga 20231121",-19
"Syracuse","net100","Winning_Margin","Virginia 20231202",-22
"Syracuse","wins","Winning_Margin","New Hampshire 20231106",11
"Syracuse","wins","Winning_Margin","Canisius 20231108",12
"Syracuse","wins","Winning_Margin","Colgate 20231114",4
"Syracuse","wins","Winning_Margin","Chaminade 20231122",49
"Syracuse","wins","Winning_Margin","LSU 20231128",23
"Syracuse","wins","Winning_Margin","Cornell 20231205",11
"Syracuse","wins","Winning_Margin","Georgetown 20231209",12
"Syracuse","losses","Winning_Margin","Tennessee 20231120",-17
"Syracuse","losses","Winning_Margin","Gonzaga 20231121",-19
"Syracuse","losses","Winning_Margin","Virginia 20231202",-22
"Syracuse","conf","Winning_Margin","Virginia 20231202",-22
"Syracuse","recency5","Pace","Chaminade 20231122",77
"Syracuse","recency5","Pace","LSU 20231128",72
"Syracuse","recency5","Pace","Virginia 20231202",66
"Syracuse","recency5","Pace","Cornell 20231205",74
"Syracuse","recency5","Pace","Georgetown 20231209",68
"Syracuse","recency10","Pace","New Hampshire 20231106",78
"Syracuse","recency10","Pace","Canisius 20231108",70
"Syracuse","recency10","Pace","Colgate 20231114",75
"Syracuse","recency10","Pace","Tennessee 20231120",76
"Syracuse","recency10","Pace","Gonzaga 20231121",71
"Syracuse","recency10","Pace","Chaminade 20231122",77
"Syracuse","recency10","Pace","LSU 20231128",72
"Syracuse","recency10","Pace","Virginia 20231202",66
"Syracuse","recency10","Pace","Cornell 20231205",74
"Syracuse","recency10","Pace","Georgetown 20231209",68
"Syracuse","home","Pace","New Hampshire 20231106",78
"Syracuse","home","Pace","Canisius 20231108",70
"Syracuse","home","Pace","Colgate 20231114",75
"Syracuse","home","Pace","LSU 20231128",72
"Syracuse","home","Pace","Cornell 20231205",74
"Syracuse","away","Pace","Tennessee 20231120",76
"Syracuse","away","Pace","Gonzaga 20231121",71
"Syracuse","away","Pace","Chaminade 20231122",77
"Syracuse","away","Pace","Virginia 20231202",66
"Syracuse","away","Pace","Georgetown 20231209",68
"Syracuse","net50","Pace","Tennessee 20231120",76
"Syracuse","net50","Pace","Gonzaga 20231121",71
"Syracuse","net50","Pace","Virginia 20231202",66
"Syracuse","net100","Pace","Tennessee 20231120",76
"Syracuse","net100","Pace","Gonzaga 20231121",71
"Syracuse","net100","Pace","Virginia 20231202",66
"Syracuse","wins","Pace","New Hampshire 20231106",78
"Syracuse","wins","Pace","Canisius 20231108",70
"Syracuse","wins","Pace","Colgate 20231114",75
"Syracuse","wins","Pace","Chaminade 20231122",77
"Syracuse","wins","Pace","LSU 20231128",72
"Syracuse","wins","Pace","Cornell 20231205",74
"Syracuse","wins","Pace","Georgetown 20231209",68
"Syracuse","losses","Pace","Tennessee 20231120",76
"Syracuse","losses","Pace","Gonzaga 20231121",71
"Syracuse","losses","Pace","Virginia 20231202",66
"Syracuse","conf","Pace","Virginia 20231202",66
"Syracuse","recency5","Offensive_Efficency","Chaminade 20231122",137.1
"Syracuse","recency5","Offensive_Efficency","LSU 20231128",111.4
"Syracuse","recency5","Offensive_Efficency","Virginia 20231202",94.5
"Syracuse","recency5","Offensive_Efficency","Cornell 20231205",108.9
"Syracuse","recency5","Offensive_Efficency","Georgetown 20231209",117.3
"Syracuse","recency10","Offensive_Efficency","New Hampshire 20231106",106.5
"Syracuse","recency10","Offensive_Efficency","Canisius 20231108",128
"Syracuse","recency10","Offensive_Efficency","Colgate 20231114",104.9
"Syracuse","recency10","Offensive_Efficency","Tennessee 20231120",73.2
"Syracuse","recency10","Offensive_Efficency","Gonzaga 20231121",80
"Syracuse","recency10","Offensive_Efficency","Chaminade 20231122",137.1
"Syracuse","recency10","Offensive_Efficency","LSU 20231128",111.4
"Syracuse","recency10","Offensive_Efficency","Virginia 20231202",94.5
"Syracuse","recency10","Offensive_Efficency","Cornell 20231205",108.9
"Syracuse","recency10","Offensive_Efficency","Georgetown 20231209",117.3
"Syracuse","home","Offensive_Efficency","New Hampshire 20231106",106.5
"Syracuse","home","Offensive_Efficency","Canisius 20231108",128
"Syracuse","home","Offensive_Efficency","Colgate 20231114",104.9
"Syracuse","home","Offensive_Efficency","LSU 20231128",111.4
"Syracuse","home","Offensive_Efficency","Cornell 20231205",108.9
"Syracuse","away","Offensive_Efficency","Tennessee 20231120",73.2
"Syracuse","away","Offensive_Efficency","Gonzaga 20231121",80
"Syracuse","away","Offensive_Efficency","Chaminade 20231122",137.1
"Syracuse","away","Offensive_Efficency","Virginia 20231202",94.5
"Syracuse","away","Offensive_Efficency","Georgetown 20231209",117.3
"Syracuse","net50","Offensive_Efficency","Tennessee 20231120",73.2
"Syracuse","net50","Offensive_Efficency","Gonzaga 20231121",80
"Syracuse","net50","Offensive_Efficency","Virginia 20231202",94.5
"Syracuse","net100","Offensive_Efficency","Tennessee 20231120",73.2
"Syracuse","net100","Offensive_Efficency","Gonzaga 20231121",80
