"date","game_date","location","opponent","wl","team_score","opponent_score","conference_game","Winning_Margin","game_code","net","net_rk","Pace","Offensive_Efficency","Defensive_Efficency","Points_Scored","Points_Allowed","Offensive_3PAr","Offensive_3Ppct","Offensive_TOpct","Offensive_OREBpct","Offensive_FTr","Defensive_3PAr","Defensive_3Ppct","Defensive_TOpct","Defensive_OREBpct","Defensive_FTr","Team"
"2023-11-06",20231106,"Home","New Hampshire","W",83,72,"OOC",11,"New Hampshire 20231106",188,"Other",78,106.5,92.4,83,72,31.3,23.8,14.1,34.1,40.3,45.6,25.8,20.5,29.8,27.9,"Syracuse"
"2023-11-08",20231108,"Home","Canisius","W",89,77,"OOC",12,"Canisius 20231108",159,"Other",70,128,110.7,89,77,29.2,36.8,14.4,38.2,29.2,34.4,45.5,17.2,40,26.6,"Syracuse"
"2023-11-14",20231114,"Home","Colgate","W",79,75,"OOC",4,"Colgate 20231114",109,"Other",75,104.9,99.5,79,75,47.8,28.1,9.3,19.1,29.9,40,37.5,25.2,29.4,21.7,"Syracuse"
"2023-11-20",20231120,"Away","Tennessee","L",56,73,"OOC",-17,"Tennessee 20231120",10,"NET Top 50",76,73.2,95.5,56,73,33.3,30,19.6,14.6,28.3,23.3,35.7,20.9,32.5,45,"Syracuse"
"2023-11-21",20231121,"Away","Gonzaga","L",57,76,"OOC",-19,"Gonzaga 20231121",16,"NET Top 50",71,80,106.7,57,76,37.5,12.5,18.2,24.4,15.6,31.2,35,25.3,48.6,18.8,"Syracuse"
"2023-11-22",20231122,"Away","Chaminade","W",105,56,"OOC",49,"Chaminade 20231122",NA,"Other",77,137.1,73.1,105,56,38.5,40,13.1,42.9,9,44.3,22.6,17,20,11.4,"Syracuse"
"2023-11-28",20231128,"Home","LSU","W",80,57,"OOC",23,"LSU 20231128",158,"Other",72,111.4,79.3,80,57,33.3,52.4,20.9,42.5,36.5,36.1,9.1,26.4,33.3,16.4,"Syracuse"
"2023-12-02",20231202,"Away","Virginia","L",62,84,"ACC",-22,"Virginia 20231202",21,"NET Top 50",66,94.5,128.1,62,84,37,25,21.4,28.6,35.2,38.2,57.1,15.2,32,27.3,"Syracuse"
"2023-12-05",20231205,"Home","Cornell","W",81,70,"OOC",11,"Cornell 20231205",101,"Other",74,108.9,94.1,81,70,47.1,40.6,16.1,30.9,20.6,50.8,27.3,20.2,28.9,26.1,"Syracuse"
"2023-12-09",20231209,"Away","Georgetown","W",80,68,"OOC",12,"Georgetown 20231209",236,"Other",68,117.3,99.7,80,68,20.4,45.5,20.5,36.7,42.6,44.1,19.2,20.5,36.8,33.9,"Syracuse"
"2023-12-17",20231217,"Away","Oregon",NA,NA,NA,"OOC",NA,"Oregon 20231217",49,"NET Top 50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Syracuse"
"2023-12-21",20231221,"Home","Niagara",NA,NA,NA,"OOC",NA,"Niagara 20231221",321,"Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Syracuse"
"2023-12-30",20231230,"Home","Pittsburgh",NA,NA,NA,"ACC",NA,"Pittsburgh 20231230",47,"NET Top 50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Syracuse"
"2023-11-06",20231106,"Home","Malone","W",79,58,"OOC",21,"Malone 20231106",NA,"Other",67,118.6,87,79,58,39,21.7,18,50,40.7,52.6,33.3,25.5,29.4,10.5,"Kent State"
"2023-11-09",20231109,"Home","James Madison","L",108,113,"OOC",-5,"James Madison 20231109",45,"NET Top 50",80,108.6,113.6,108,113,37.3,39.3,16.1,29.4,64,45.5,48.6,12.1,14.3,46.8,"Kent State"
"2023-11-11",20231111,"Home","Fresno State","W",79,69,"OOC",10,"Fresno State 20231111",191,"Other",68,115.5,100.9,79,69,46.6,40.7,17.6,25,27.6,35.6,43.8,32.2,31.6,28.9,"Kent State"
"2023-11-17",20231117,"Away","Hampton","W",100,62,"OOC",38,"Hampton 20231117",309,"Other",70,143.4,88.9,100,62,40,46.2,12.9,43.3,35.4,48.1,36,21.5,25,38.5,"Kent State"
"2023-11-19",20231119,"Away","Missouri State","L",52,56,"OOC",-4,"Missouri State 20231119",98,"NET Top 100",69,75.6,81.4,52,56,32.8,13.6,13.1,26.5,17.9,40.7,31.8,27.6,38.5,42.6,"Kent State"
"2023-11-20",20231120,"Away","Fordham","W",79,72,"OOC",7,"Fordham 20231120",185,"Other",78,101.8,92.8,79,72,35.3,33.3,25.8,37.9,68.6,46.6,33.3,27.1,39.5,60.3,"Kent State"
"2023-11-26",20231126,"Home","Charleston","L",78,84,"OOC",-6,"Charleston 20231126",NA,"Other",71,110.2,118.6,78,84,37.5,28.6,18.4,30.8,35.7,49.2,40.6,16.9,35.1,23.1,"Kent State"
"2023-11-30",20231130,"Home","Shawnee St.","W",103,61,"OOC",42,"Shawnee St. 20231130",NA,"Other",75,137.4,81.4,103,61,37.9,40,14.7,40,28.8,30.4,14.3,33.3,20,50,"Kent State"
"2023-12-05",20231205,"Away","South Dakota State","W",82,73,"OOC",9,"South Dakota State 20231205",125,"Other",73,112,99.7,82,73,46.6,37,21.9,35.3,41.4,45.2,28.6,19.1,31.6,30.6,"Kent State"
"2023-12-09",20231209,"Home","Cleveland State","W",83,77,"OOC",6,"Cleveland State 20231209",173,"Other",70,118.2,109.7,83,77,25,35.7,27.1,54.5,48.2,34.8,34.8,14.2,34.1,27.3,"Kent State"
"2023-12-21",20231221,"Away","Oregon",NA,NA,NA,"OOC",NA,"Oregon 20231221",49,"NET Top 50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kent State"
"2023-12-29",20231229,"Away","Saint Mary's",NA,NA,NA,"OOC",NA,"Saint Mary's 20231229",43,"NET Top 50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kent State"
"2024-01-02",20240102,"Home","Ball State",NA,NA,NA,"MAC",NA,"Ball State 20240102",258,"Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kent State"
