"school","logo","type","color","alt_color","wordmark","g","w","l","w_l_percent","srs","sos","offense_mp","offense_fg","offense_fga","offense_fg_percent","offense_x3p","offense_x3pa","offense_x3p_percent","offense_ft","offense_fta","offense_ft_percent","offense_orb","offense_trb","offense_ast","offense_stl","offense_blk","offense_tov","offense_pf","defense_mp","defense_fg","defense_fga","defense_fg_percent","defense_x3p","defense_x3pa","defense_x3p_percent","defense_ft","defense_fta","defense_ft_percent","defense_orb","defense_trb","defense_ast","defense_stl","defense_blk","defense_tov","defense_pf","offense_pace","offense_o_rtg","offense_f_tr","offense_x3p_ar","offense_ts_percent","offense_trb_percent","offense_ast_percent","offense_stl_percent","offense_blk_percent","offense_e_fg_percent","offense_tov_percent","offense_orb_percent","offense_ft_fga","defense_pace","defense_o_rtg","defense_f_tr","defense_x3p_ar","defense_ts_percent","defense_trb_percent","defense_ast_percent","defense_stl_percent","defense_blk_percent","defense_e_fg_percent","defense_tov_percent","defense_orb_percent","defense_ft_fga","offense_x2p_percent","offense_drb_percent"
"Alabama","http://a.espncdn.com/i/teamlogos/ncaa/500/333.png","P5","#690014","#f1f2f3","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/alabama_crimson_tide_logo_secondary_19987746.png",9,6,3,0.667,24.58,8.14,360,272,551,0.494,104,254,0.409,191,242,0.789,112,356,142,69,45,107,170,360,241,547,0.441,67,199,0.337,142,198,0.717,95,290,104,62,33,111,198,73.2,127.3,0.439,0.461,0.63,55.1,52.2,10.5,12.9,0.588,13.8,36.5,0.347,73.2,104.9,0.362,0.364,0.539,44.9,43.2,9.4,11.1,0.502,14.8,28,0.26,0.565656565656566,72
"Arizona","http://a.espncdn.com/i/teamlogos/ncaa/500/12.png","P5","#002449","#00205b","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/2804_arizona_wildcats-wordmark-2003.png",8,8,0,1,34.85,4.73,320,273,530,0.515,68,174,0.391,138,189,0.73,110,369,173,76,37,101,124,320,192,493,0.389,62,186,0.333,65,104,0.625,53,226,100,55,22,121,158,76.3,123.1,0.357,0.328,0.607,62,63.4,12.4,12.1,0.579,14,38.9,0.26,76.3,83.6,0.211,0.377,0.471,38,52.1,9,6.2,0.452,18.2,17,0.132,0.575842696629214,83
"Arizona State","http://a.espncdn.com/i/teamlogos/ncaa/500/9.png","P5","#942139","#f1f2f3","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/2342_arizona_state_sun_devils-wordmark-2012.png",9,6,3,0.667,6.88,5.77,360,220,521,0.422,57,186,0.306,134,217,0.618,76,325,117,80,35,96,139,360,230,573,0.401,68,235,0.289,93,134,0.694,118,388,123,53,17,132,173,71.9,97.5,0.417,0.357,0.506,45.6,53.2,12.4,10.4,0.477,13.3,22,0.257,71.9,96,0.234,0.41,0.488,54.4,53.5,8.2,5.1,0.461,17.2,32.2,0.162,0.486567164179104,67.8
"California","http://a.espncdn.com/i/teamlogos/ncaa/500/25.png","P5","#031522","#ffc423","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/7066_california_golden_bears-wordmark-2013.png",9,3,6,0.333,0.27,-0.51,375,237,540,0.439,79,233,0.339,134,178,0.753,112,345,94,47,26,126,164,375,237,536,0.442,68,193,0.352,138,183,0.754,84,285,91,58,26,95,162,67.9,108,0.33,0.431,0.55,54.8,39.7,7.4,7.6,0.512,16.8,35.8,0.248,67.9,106.9,0.341,0.36,0.546,45.2,38.4,9.1,8.5,0.506,13.2,26.5,0.257,0.514657980456026,73.5
"Colorado","http://a.espncdn.com/i/teamlogos/ncaa/500/38.png","P5","#d1c57e","#ffd200","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/8028_colorado_buffaloes-wordmark-2006.png",9,7,2,0.778,17.4,1.84,365,272,518,0.525,63,154,0.409,153,194,0.789,97,339,170,65,22,127,145,365,214,512,0.418,65,190,0.342,127,172,0.738,77,247,83,78,27,122,173,70.1,118.9,0.375,0.297,0.623,57.8,62.5,10.2,6.8,0.586,17.2,36.3,0.295,70.1,97,0.336,0.371,0.522,42.2,38.8,12.2,7.4,0.481,17,24.1,0.248,0.574175824175824,75.9
"Georgia","http://a.espncdn.com/i/teamlogos/ncaa/500/61.png","P5","#CC0000","#000000","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/georgia_bulldogs_logo_wordmark_20156350.png",9,6,3,0.667,6.8,4.58,360,212,525,0.404,72,227,0.317,153,217,0.705,91,345,101,51,27,103,160,360,225,573,0.393,65,208,0.313,114,162,0.704,113,365,117,48,30,100,182,70.9,101.6,0.413,0.432,0.517,48.6,47.6,8,7.4,0.472,14.1,26.5,0.291,70.9,98.4,0.283,0.363,0.484,51.4,52,7.5,10.1,0.449,13.3,30.8,0.199,0.469798657718121,69.2
"Kent State","http://a.espncdn.com/i/teamlogos/ncaa/500/2309.png","G5","#002445","#f0b510","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/kent_state_golden_flashes_logo_wordmark_2017_sportslogosnet-7257.png",10,7,3,0.7,7.37,0.49,410,287,611,0.47,79,231,0.342,190,248,0.766,126,377,142,88,27,137,189,410,252,583,0.432,90,252,0.357,131,208,0.63,109,329,137,79,21,167,207,72.2,113.9,0.406,0.378,0.578,53.4,49.5,11.9,8.2,0.534,15.8,36.4,0.311,72.2,98,0.357,0.432,0.532,46.6,54.4,10.7,5.5,0.509,19.7,30.3,0.225,0.547368421052632,69.7
"Michigan","http://a.espncdn.com/i/teamlogos/ncaa/500/130.png","P5","#00274c","#ffcb05","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/michigan_wolverines_logo_wordmark_2016_sportslogosnet-8199.png",10,5,5,0.5,11.52,6.32,405,298,605,0.493,89,240,0.371,136,196,0.694,117,375,140,48,39,131,168,405,283,630,0.449,79,209,0.378,124,171,0.725,116,327,128,70,38,119,165,70.4,115.1,0.324,0.397,0.588,53.4,47,6.7,9.3,0.566,15.8,35.7,0.225,70.4,107.9,0.271,0.332,0.541,46.6,45.2,9.8,10.4,0.512,14.3,31,0.197,0.572602739726027,69
"Oregon","http://a.espncdn.com/i/teamlogos/ncaa/500/2483.png","P5","#044520","#fee123","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/oregon_ducks_wordmark.png",9,7,2,0.778,13.48,2.92,365,261,542,0.482,71,183,0.388,129,199,0.648,95,339,133,70,29,97,159,365,220,518,0.425,59,182,0.324,128,184,0.696,87,308,92,44,29,121,183,70,113,0.367,0.338,0.567,52.4,51,11,8.6,0.547,13.2,30.1,0.238,70,98.1,0.355,0.351,0.518,47.6,41.8,6.9,8.1,0.482,16.7,26.3,0.247,0.52924791086351,73.7
"Oregon State","http://a.espncdn.com/i/teamlogos/ncaa/500/204.png","P5","#c34500","#dea076","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/oregon_state_beavers_logo_wordmark_20133449.png",9,6,3,0.667,1.02,4.64,385,214,498,0.43,48,177,0.271,169,223,0.758,87,335,105,57,35,131,185,385,217,540,0.402,66,216,0.306,138,199,0.693,106,320,118,69,27,123,203,67.5,99.2,0.448,0.355,0.534,51.1,49.1,8.8,10.8,0.478,17.8,28.9,0.339,67.5,98.2,0.369,0.4,0.503,48.9,54.4,10.6,8.4,0.463,16.2,29.9,0.256,0.517133956386293,70.1
