"#","player_join","URL","first","last","Team","Class","Pos","Height","Weight","GP","GS","MPG","Poss%","USG%","PG","SG","SF","PF","C","PER","OBPM","DBPM","BPM","PPG","FD/40","2P%","3P%","3PAr","eFG%","TS%","FT%","FTr","ApG","AST:TO","AST%","TOV%","ORB%","DRB%","TRB%","STL%","BLK%","FC/40","All Players","Guards","Wings","Bigs","Starters","Lefties"
3,"JUDAHMINTZ","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4684729.png","Judah","Mintz","Syracuse","So","G","6-4",185,10,10,30.4,32.7,30.3,100,NA,NA,NA,NA,25.7,6.6,3.1,9.8,20.1,8.6,45.8,43.8,25,50.8,58.9,78.9,70.3,3.5,1.46,22.3,12.3,2.1,8,5.1,3.6,1,3.2,1,1,0,0,1,0
4,"CHRISBELL","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4684627.png","Chris","Bell","Syracuse","So","F","6-7",188,10,10,28.3,19.9,23.1,NA,20.5128205128205,79.4871794871795,NA,NA,12.8,1.7,-0.3,1.4,13.1,1.6,42.9,38.2,60.8,51.6,51.4,40,4,0.6,0.55,4,7.9,1.1,6.8,4,1.4,2.6,2.3,1,0,1,0,1,0
2,"JJSTARLING","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4683697.png","JJ","Starling","Syracuse","So","G","6-4",206,10,10,34.7,21.7,21.2,27.3809523809524,72.6190476190476,NA,NA,NA,11.9,-1,-0.2,-1.2,12.4,3,46.8,22.2,22.3,43.8,46.5,69.2,21.5,3.2,1.45,16.4,14.2,3.3,10.3,6.9,1.6,0.9,1.9,1,1,0,0,1,0
5,"JUSTINTAYLOR","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4684746.png","Justin","Taylor","Syracuse","So","G","6-6",218,10,10,29.4,14.2,15.7,NA,NA,6.84931506849315,93.1506849315068,NA,9.3,-2,1.1,-0.9,7.4,1.3,35.5,31.4,62.2,42.7,43.9,80,6.1,2.1,1.62,11.6,13.4,0.7,20.8,10.9,1.7,1.1,2.1,1,0,1,0,1,0
1,"MALIQBROWN","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5105337.png","Maliq","Brown","Syracuse","So","F","6-8",222,10,0,21.6,11.5,11.3,NA,NA,NA,NA,100,23.3,2.6,4.5,7.1,6.7,1.8,74.4,0,2.5,72.5,74.9,90,25,0.6,0.86,4.8,13.5,12.6,12.7,12.7,5.6,2.9,4.8,1,0,0,1,0,0
24,"QUADIRCOPELAND","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4683860.png","Quadir","Copeland","Syracuse","So","G","6-6",200,10,0,17.5,22.2,19.9,NA,NA,72.7272727272727,27.2727272727273,NA,17.5,-2.1,1,-1.1,6,3.5,64.1,0,15.2,54.3,56,62.5,34.8,1.9,0.95,19.2,27.2,10.2,20.9,15.7,3.1,1.2,3.9,1,0,1,0,0,0
10,"NAHEEMMCLEOD","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4897004.png","Naheem","McLeod","Syracuse","Jr","C","7-4",265,10,10,16,11.8,11.5,NA,NA,NA,NA,100,23.5,2.8,2.9,5.7,4.9,3.3,70.4,NA,0,70.4,69.9,64.7,63,0.1,0.25,1.1,10.2,15.7,12.7,14.2,0.7,13.1,2,1,0,0,1,1,0
0,"KYLECUFFE","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4816087.png","Kyle","Cuffe","Syracuse","So","G","6-2",190,10,0,11.1,18.3,20,NA,100,NA,NA,NA,6.8,-8.4,0.8,-7.6,3.4,1.6,42.9,30.4,62.2,44.6,44.8,50,5.4,0.3,0.33,4.6,19.2,2.8,9.2,6.1,4,1.9,7.3,1,1,0,0,0,0
13,"BENNYWILLIAMS","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4575472.png","Benny","Williams","Syracuse","Jr","F","6-9",210,6,0,13.2,18.3,19.6,NA,NA,NA,100,NA,10.6,-2,3.3,1.3,3.8,3.8,35.7,27.3,44,38,39.9,50,32,0.8,1.14,10.4,12.2,2.7,16.7,9.8,2.1,8,4.8,1,0,1,0,0,0
55,"MOUNIRHIMA","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4700878.png","Mounir","Hima","Syracuse","Jr","C","6-11",230,2,0,6,10.1,7.9,NA,NA,NA,NA,100,28.6,9.7,3.2,12.9,2,0.9,100,NA,0,100,100,NA,0,0.5,Inf,15.4,0,17.5,8.5,12.9,0,8.7,3.3,1,0,0,1,0,0
14,"NIKORUFFIN","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4897403.png","Niko","Ruffin","Syracuse",NA,"G",NA,NA,1,0,2,NA,23.6,NA,NA,NA,NA,NA,73.1,NA,NA,NA,3,NA,NA,100,100,150,150,NA,0,0,NA,0,0,0,0,0,0,0,NA,1,1,NA,NA,0,0
