"player","class","pos","team","stretch_big","draws_fouls","passing_big","limit_to","rim_protector","oreb","dreb"
"Julius Randle","NBA","F-C","NYK",0.864583333333333,0.53125,0.979166666666667,0.59375,0.104166666666667,0.0520833333333333,0.739583333333333
"Nikola Vučević","NBA","C","CHIORL",0.802083333333333,0.0104166666666667,0.875,0.885416666666667,0.28125,0.145833333333333,0.895833333333333
"Nikola Jokić","NBA","C-F","DEN",0.677083333333333,0.604166666666667,1,0.989583333333333,0.645833333333333,0.395833333333333,0.927083333333333
"Domantas Sabonis","NBA","C-F","INDSAC",0.5,0.791666666666667,0.989583333333333,0.916666666666667,0.427083333333333,0.427083333333333,0.84375
"Bam Adebayo","NBA","C-F","MIA",0.145833333333333,0.770833333333333,0.927083333333333,0.625,0.666666666666667,0.25,0.614583333333333
"Rudy Gobert","NBA","C","MINUTA",0.114583333333333,1,0.125,0.1875,0.875,0.708333333333333,0.989583333333333
"Joel Embiid","NBA","C","PHI",0.65625,0.96875,0.96875,0.125,0.833333333333333,0.208333333333333,0.875
"Jonas Valančiūnas","NBA","C","MEMNOP",0.572916666666667,0.34375,0.708333333333333,0.197916666666667,0.239583333333333,0.75,0.979166666666667
"Jarrett Allen","NBA","C-F","BRKCLE",0.25,0.864583333333333,0.479166666666667,0.5,0.614583333333333,0.677083333333333,0.697916666666667
"Deandre Ayton","NBA","C","PHO",0.333333333333333,0.114583333333333,0.416666666666667,0.3125,0.270833333333333,0.520833333333333,0.78125
"Jakob Poeltl","NBA","C","SASTOR",0.541666666666667,0.427083333333333,0.770833333333333,0.802083333333333,0.75,0.770833333333333,0.416666666666667
"Clint Capela","NBA","C","ATL",0.0416666666666667,0.354166666666667,0.104166666666667,0.75,0.510416666666667,0.927083333333333,0.96875
"Ivica Zubac","NBA","C","LAC",0.208333333333333,0.875,0.375,0.28125,0.489583333333333,0.75,0.666666666666667
"Lauri Markkanen","NBA","F-C","CHICLEUTA",0.958333333333333,0.3125,0.322916666666667,0.552083333333333,0.0520833333333333,0.03125,0.229166666666667
"Mason Plumlee","NBA","C-F","CHODETLAC",0.104166666666667,0.927083333333333,0.916666666666667,0.927083333333333,0.604166666666667,0.572916666666667,0.71875
"Karl-Anthony Towns","NBA","C-F","MIN",0.875,0.625,0.947916666666667,0.270833333333333,0.395833333333333,0.239583333333333,0.625
"Evan Mobley","NBA","F-C","CLE",0.34375,0.447916666666667,0.729166666666667,0.65625,0.8125,0.229166666666667,0.395833333333333
