"player","class","pos","team","x3_p_s","slasher","ball_dominant","playmaker","perim_defender","oreb","dreb"
"Anthony Edwards","NBA","G","MIN",0.501915708812261,0.639846743295019,0.931034482758621,0.383141762452107,0.490421455938697,0.509578544061303,0.812260536398467
"DeMar DeRozan","NBA","G-F","CHISAS",0.0153256704980843,0.996168582375479,0.950191570881226,0.716475095785441,0.53639846743295,0.310344827586207,0.708812260536398
"Buddy Hield","NBA","G-F","INDSAC",0.954022988505747,0.0957854406130268,0.670498084291188,0.367816091954023,0.210727969348659,0.509578544061303,0.793103448275862
"RJ Barrett","NBA","G-F","NYK",0.256704980842912,0.862068965517241,0.885057471264368,0.191570881226054,0.14176245210728,0.636015325670498,0.842911877394636
"Trae Young","NBA","G","ATL",0.340996168582375,0.942528735632184,0.996168582375479,0.992337164750958,0.0996168582375479,0.42911877394636,0.130268199233716
"Dejounte Murray","NBA","G","ATLSAS",0.130268199233716,0.770114942528736,0.865900383141762,0.869731800766284,0.919540229885057,0.636015325670498,0.969348659003831
"Russell Westbrook","NBA","G","LACLALWAS",0.0842911877394636,0.969348659003831,0.946360153256705,0.973180076628352,0.624521072796935,0.885057471264368,0.992337164750958
"Zach LaVine","NBA","G-F","CHI",0.505747126436782,0.747126436781609,0.954022988505747,0.505747126436782,0.222222222222222,0.153256704980843,0.727969348659004
"Terry Rozier","NBA","G","CHO",0.681992337164751,0.436781609195402,0.85823754789272,0.613026819923372,0.39463601532567,0.452107279693487,0.46360153256705
"Luka Dončić","NBA","G-F","DAL",0.409961685823755,0.881226053639847,1,0.980842911877395,0.869731800766284,0.597701149425287,1
"Fred VanVleet","NBA","G","TOR",0.793103448275862,0.375478927203065,0.804597701149425,0.850574712643678,0.850574712643678,0.153256704980843,0.567049808429119
"Darius Garland","NBA","G","CLE",0.455938697318008,0.689655172413793,0.908045977011494,0.954022988505747,0.32183908045977,0.114942528735632,0.0421455938697318
"Kentavious Caldwell-Pope","NBA","G","DENLALWAS",0.704980842911877,0.409961685823755,0.295019157088123,0.260536398467433,0.773946360153257,0.268199233716475,0.14176245210728
"Jalen Brunson","NBA","G","DALNYK",0.237547892720307,0.865900383141762,0.789272030651341,0.789272030651341,0.432950191570881,0.268199233716475,0.486590038314176
"De'Aaron Fox","NBA","G","SAC",0.118773946360153,0.950191570881226,0.96551724137931,0.839080459770115,0.302681992337165,0.210727969348659,0.440613026819923
"Kevin Huerter","NBA","G","ATLSAC",0.789272030651341,0.210727969348659,0.46360153256705,0.478927203065134,0.578544061302682,0.310344827586207,0.35632183908046
"Donovan Mitchell","NBA","G","CLEUTA",0.647509578544061,0.609195402298851,0.992337164750958,0.616858237547893,0.704980842911877,0.685823754789272,0.383141762452107
"Devin Booker","NBA","G","PHO",0.275862068965517,0.85823754789272,0.984674329501916,0.559386973180077,0.413793103448276,0.386973180076628,0.681992337164751
"Keldon Johnson","NBA","G","SAS",0.302681992337165,0.773946360153257,0.766283524904215,0.0919540229885057,0.103448275862069,0.789272030651341,0.911877394636015
"CJ McCollum","NBA","G","NOPPOR",0.659003831417625,0.505747126436782,0.915708812260536,0.731800766283525,0.283524904214559,0.509578544061303,0.501915708812261
"Gary Trent Jr.","NBA","G","PORTOR",0.762452107279693,0.398467432950192,0.697318007662835,0.0153256704980843,0.60536398467433,0.103448275862069,0.0651340996168582
"Tyrese Haliburton","NBA","G","INDSAC",0.609195402298851,0.501915708812261,0.620689655172414,0.977011494252874,0.731800766283525,0.452107279693487,0.260536398467433
"Stephen Curry","NBA","G","GSW",0.911877394636015,0.386973180076628,0.984674329501916,0.823754789272031,0.724137931034483,0.268199233716475,0.881226053639847
"Jrue Holiday","NBA","G","MIL",0.421455938697318,0.632183908045977,0.804597701149425,0.896551724137931,0.796934865900383,0.808429118773946,0.46360153256705
"Bojan Bogdanović","NBA","G-F","DETUTA",0.597701149425287,0.670498084291188,0.831417624521073,0.0459770114942529,0.114942528735632,0.509578544061303,0.517241379310345
"Chris Paul","NBA","G","PHO",0.206896551724138,0.789272030651341,0.64367816091954,1,0.954022988505747,0.0804597701149425,0.766283524904215
"Reggie Bullock","NBA","G-F","DALNYK",0.934865900383142,0.0306513409961686,0.0459770114942529,0.172413793103448,0.597701149425287,0.114942528735632,0.632183908045977
"James Harden","NBA","G","BRKHOUPHI",0.42911877394636,0.904214559386973,0.911877394636015,0.996168582375479,0.781609195402299,0.509578544061303,0.977011494252874
