"player","class","pos","team","x3_p_s","slasher","ball_dominant","playmaker","perim_defender","oreb","dreb","sim_1","sim_1_url","sim_2","sim_3","sim_4","sim_5","URL","#"
"Kenyon Giles","SO","G","Radford",0.378466557911909,0.351821642196846,0.938009787928222,0.618814573137575,0.243066884176183,0.0793909733550843,0.0543773790103317,"Jordan Poole","https://cdn.nba.com/headshots/nba/latest/260x190/1629673.png","Reggie Jackson","Trey Burke","D'Angelo Russell","Tyrese Maxey","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5107508.png",3
"JJ Starling","SO","G","Syracuse",0.11799891245242,0.676454594888526,0.611201740076128,0.599238716693855,0.426318651441001,0.599238716693855,0.4589450788472,"Shake Milton","https://cdn.nba.com/headshots/nba/latest/260x190/1629003.png","Franz Wagner","Josh Christopher","Caris LeVert","Jaylen Nowell","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4683697.png",2
"Jalen Sullinger","JR","G","Kent State",0.77542142468733,0.44100054377379,0.651441000543774,0.417618270799347,0.393692224034802,0.586731919521479,0.0728656878738445,"Josh Richardson","https://cdn.nba.com/headshots/nba/latest/260x190/1626196.png","Keon Johnson","Svi Mykhailiuk","Terry Rozier","Gary Harris","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4898316.png",13
"Chandler Turner","SR","G","Radford",0.856443719412724,0.444806960304513,0.141381185426862,0.303969548667754,0.3442088091354,0.967373572593801,0.754758020663404,"Rodney McGruder","https://cdn.nba.com/headshots/nba/latest/260x190/203585.png","Admiral Schofield","Aaron Nesmith","Troy Brown Jr.","Sterling Brown","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4432130.png",10
"DaQuan Smith","SR","G","Radford",0.722131593257205,0.399673735725938,0.889613920609027,0.316476345840131,0.523654159869494,0.0962479608482871,0.404023926046765,"Kendrick Nunn","https://cdn.nba.com/headshots/nba/latest/260x190/1629134.png","Nickeil Alexander-Walker","Evan Fournier","Furkan Korkmaz","Bogdan Bogdanović","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4398347.png",1
"Bryan Antoine","SR","G","Radford",0.797172376291463,0.358346927678086,0.600870038064165,0.259923871669386,0.917346383904296,0.0353452963567156,0.917890157694399,"Devin Vassell","https://cdn.nba.com/headshots/nba/latest/260x190/1630170.png","Alec Burks","Desmond Bane","Kent Bazemore","Bogdan Bogdanović","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4432814.png",14
"Christian Cook","SR","G","New Mexico State",0.582925502990756,0.374116367591082,0.305600870038064,0.385535617183252,0.0494834148994018,0.257205002718869,0.226753670473083,"Chasson Randle","https://cdn.nba.com/headshots/nba/latest/260x190/1626184.png","Keifer Sykes","Langston Galloway","Damyean Dotson","Eric Gordon","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4741646.png",3
"Judah Mintz","SO","G","Syracuse",0.387710712343665,0.968461120174008,0.979336595976074,0.65905383360522,0.946166394779772,0.370309951060359,0.226753670473083,"Derrick Rose","https://cdn.nba.com/headshots/nba/latest/260x190/201565.png","Shai Gilgeous-Alexander","Jalen Suggs","Dennis Schröder","Donovan Mitchell","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4684729.png",3
"Jaden Harris","JR","G","New Mexico State",0.732463295269168,0.362153344208809,0.322457857531267,0.31810766721044,0.12289287656335,0.343121261555193,0.474170744970092,"Langston Galloway","https://cdn.nba.com/headshots/nba/latest/260x190/204038.png","Furkan Korkmaz","Kyle Guy","Tre Mann","Max Strus","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5176770.png",13
"Giovanni Santiago","SR","G","Kent State",0.179989124524198,0.697661772702556,0.476889613920609,0.866775421424687,0.547036432843937,0.0353452963567156,0.564437194127243,"Killian Hayes","https://cdn.nba.com/headshots/nba/latest/260x190/1630165.png","Théo Maledon","Eric Bledsoe","Spencer Dinwiddie","Jalen Brunson","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4593436.png",11
