"on_court","stint_start_s","stint_end_s","g_date","opp","team"
"NAHEEMMCLEOD",2400,2235,"11-06-2023","New Hampshire","Syracuse"
"JUSTINTAYLOR",2400,2235,"11-06-2023","New Hampshire","Syracuse"
"JUDAHMINTZ",2400,2235,"11-06-2023","New Hampshire","Syracuse"
"JJSTARLING",2400,2235,"11-06-2023","New Hampshire","Syracuse"
"CHRISBELL",2400,2235,"11-06-2023","New Hampshire","Syracuse"
"JUSTINTAYLOR",2235,2098,"11-06-2023","New Hampshire","Syracuse"
"JUDAHMINTZ",2235,2098,"11-06-2023","New Hampshire","Syracuse"
"JJSTARLING",2235,2098,"11-06-2023","New Hampshire","Syracuse"
"CHRISBELL",2235,2098,"11-06-2023","New Hampshire","Syracuse"
"MALIQBROWN",2235,2098,"11-06-2023","New Hampshire","Syracuse"
"JUDAHMINTZ",2098,2027,"11-06-2023","New Hampshire","Syracuse"
"JJSTARLING",2098,2027,"11-06-2023","New Hampshire","Syracuse"
"CHRISBELL",2098,2027,"11-06-2023","New Hampshire","Syracuse"
"MALIQBROWN",2098,2027,"11-06-2023","New Hampshire","Syracuse"
"QUADIRCOPELAND",2098,2027,"11-06-2023","New Hampshire","Syracuse"
"JUDAHMINTZ",2027,1907,"11-06-2023","New Hampshire","Syracuse"
"JJSTARLING",2027,1907,"11-06-2023","New Hampshire","Syracuse"
"MALIQBROWN",2027,1907,"11-06-2023","New Hampshire","Syracuse"
"QUADIRCOPELAND",2027,1907,"11-06-2023","New Hampshire","Syracuse"
"JR,KYLE",2027,1907,"11-06-2023","New Hampshire","Syracuse"
"JUDAHMINTZ",1907,1791,"11-06-2023","New Hampshire","Syracuse"
"JJSTARLING",1907,1791,"11-06-2023","New Hampshire","Syracuse"
"QUADIRCOPELAND",1907,1791,"11-06-2023","New Hampshire","Syracuse"
"JR,KYLE",1907,1791,"11-06-2023","New Hampshire","Syracuse"
"PETERCAREY",1907,1791,"11-06-2023","New Hampshire","Syracuse"
"NAHEEMMCLEOD",1791,1738,"11-06-2023","New Hampshire","Syracuse"
"JUDAHMINTZ",1791,1738,"11-06-2023","New Hampshire","Syracuse"
"JJSTARLING",1791,1738,"11-06-2023","New Hampshire","Syracuse"
"QUADIRCOPELAND",1791,1738,"11-06-2023","New Hampshire","Syracuse"
"JR,KYLE",1791,1738,"11-06-2023","New Hampshire","Syracuse"
"NAHEEMMCLEOD",1738,1719,"11-06-2023","New Hampshire","Syracuse"
"JUSTINTAYLOR",1738,1719,"11-06-2023","New Hampshire","Syracuse"
"JUDAHMINTZ",1738,1719,"11-06-2023","New Hampshire","Syracuse"
"JJSTARLING",1738,1719,"11-06-2023","New Hampshire","Syracuse"
"JR,KYLE",1738,1719,"11-06-2023","New Hampshire","Syracuse"
"NAHEEMMCLEOD",1719,1628,"11-06-2023","New Hampshire","Syracuse"
"JUSTINTAYLOR",1719,1628,"11-06-2023","New Hampshire","Syracuse"
"JJSTARLING",1719,1628,"11-06-2023","New Hampshire","Syracuse"
"CHRISBELL",1719,1628,"11-06-2023","New Hampshire","Syracuse"
"JR,KYLE",1719,1628,"11-06-2023","New Hampshire","Syracuse"
"NAHEEMMCLEOD",1628,1556,"11-06-2023","New Hampshire","Syracuse"
"JUSTINTAYLOR",1628,1556,"11-06-2023","New Hampshire","Syracuse"
"JJSTARLING",1628,1556,"11-06-2023","New Hampshire","Syracuse"
"CHRISBELL",1628,1556,"11-06-2023","New Hampshire","Syracuse"
"JR,KYLE",1628,1556,"11-06-2023","New Hampshire","Syracuse"
"NAHEEMMCLEOD",1556,1540,"11-06-2023","New Hampshire","Syracuse"
"JUSTINTAYLOR",1556,1540,"11-06-2023","New Hampshire","Syracuse"
"JUDAHMINTZ",1556,1540,"11-06-2023","New Hampshire","Syracuse"
"JJSTARLING",1556,1540,"11-06-2023","New Hampshire","Syracuse"
"CHRISBELL",1556,1540,"11-06-2023","New Hampshire","Syracuse"
"NAHEEMMCLEOD",1540,1475,"11-06-2023","New Hampshire","Syracuse"
"JUSTINTAYLOR",1540,1475,"11-06-2023","New Hampshire","Syracuse"
"JUDAHMINTZ",1540,1475,"11-06-2023","New Hampshire","Syracuse"
"JJSTARLING",1540,1475,"11-06-2023","New Hampshire","Syracuse"
"CHRISBELL",1540,1475,"11-06-2023","New Hampshire","Syracuse"
"JUSTINTAYLOR",1475,1436,"11-06-2023","New Hampshire","Syracuse"
"JUDAHMINTZ",1475,1436,"11-06-2023","New Hampshire","Syracuse"
"MALIQBROWN",1475,1436,"11-06-2023","New Hampshire","Syracuse"
"QUADIRCOPELAND",1475,1436,"11-06-2023","New Hampshire","Syracuse"
"JR,KYLE",1475,1436,"11-06-2023","New Hampshire","Syracuse"
"JUSTINTAYLOR",1436,1420,"11-06-2023","New Hampshire","Syracuse"
"JUDAHMINTZ",1436,1420,"11-06-2023","New Hampshire","Syracuse"
"MALIQBROWN",1436,1420,"11-06-2023","New Hampshire","Syracuse"
"QUADIRCOPELAND",1436,1420,"11-06-2023","New Hampshire","Syracuse"
"JR,KYLE",1436,1420,"11-06-2023","New Hampshire","Syracuse"
"JUSTINTAYLOR",1420,1398,"11-06-2023","New Hampshire","Syracuse"
"JUDAHMINTZ",1420,1398,"11-06-2023","New Hampshire","Syracuse"
"JJSTARLING",1420,1398,"11-06-2023","New Hampshire","Syracuse"
"MALIQBROWN",1420,1398,"11-06-2023","New Hampshire","Syracuse"
"QUADIRCOPELAND",1420,1398,"11-06-2023","New Hampshire","Syracuse"
"JUSTINTAYLOR",1398,1384,"11-06-2023","New Hampshire","Syracuse"
"JUDAHMINTZ",1398,1384,"11-06-2023","New Hampshire","Syracuse"
"JJSTARLING",1398,1384,"11-06-2023","New Hampshire","Syracuse"
"MALIQBROWN",1398,1384,"11-06-2023","New Hampshire","Syracuse"
"QUADIRCOPELAND",1398,1384,"11-06-2023","New Hampshire","Syracuse"
"JUSTINTAYLOR",1384,1329,"11-06-2023","New Hampshire","Syracuse"
"JUDAHMINTZ",1384,1329,"11-06-2023","New Hampshire","Syracuse"
"JJSTARLING",1384,1329,"11-06-2023","New Hampshire","Syracuse"
"QUADIRCOPELAND",1384,1329,"11-06-2023","New Hampshire","Syracuse"
"PETERCAREY",1384,1329,"11-06-2023","New Hampshire","Syracuse"
"JUSTINTAYLOR",1329,1231,"11-06-2023","New Hampshire","Syracuse"
"JJSTARLING",1329,1231,"11-06-2023","New Hampshire","Syracuse"
"QUADIRCOPELAND",1329,1231,"11-06-2023","New Hampshire","Syracuse"
"JR,KYLE",1329,1231,"11-06-2023","New Hampshire","Syracuse"
"PETERCAREY",1329,1231,"11-06-2023","New Hampshire","Syracuse"
"JUSTINTAYLOR",1231,1200,"11-06-2023","New Hampshire","Syracuse"
"JJSTARLING",1231,1200,"11-06-2023","New Hampshire","Syracuse"
"QUADIRCOPELAND",1231,1200,"11-06-2023","New Hampshire","Syracuse"
"JR,KYLE",1231,1200,"11-06-2023","New Hampshire","Syracuse"
"PETERCAREY",1231,1200,"11-06-2023","New Hampshire","Syracuse"
"JUDAHMINTZ",1200,1102,"11-06-2023","New Hampshire","Syracuse"
"CHRISBELL",1200,1102,"11-06-2023","New Hampshire","Syracuse"
"NAHEEMMCLEOD",1200,1102,"11-06-2023","New Hampshire","Syracuse"
"JJSTARLING",1200,1102,"11-06-2023","New Hampshire","Syracuse"
"JUSTINTAYLOR",1200,1102,"11-06-2023","New Hampshire","Syracuse"
"JUDAHMINTZ",1102,1055,"11-06-2023","New Hampshire","Syracuse"
"CHRISBELL",1102,1055,"11-06-2023","New Hampshire","Syracuse"
"JJSTARLING",1102,1055,"11-06-2023","New Hampshire","Syracuse"
"JUSTINTAYLOR",1102,1055,"11-06-2023","New Hampshire","Syracuse"
"MALIQBROWN",1102,1055,"11-06-2023","New Hampshire","Syracuse"
"QUADIRCOPELAND",1055,1034,"11-06-2023","New Hampshire","Syracuse"
"JUDAHMINTZ",1055,1034,"11-06-2023","New Hampshire","Syracuse"
"CHRISBELL",1055,1034,"11-06-2023","New Hampshire","Syracuse"
"JJSTARLING",1055,1034,"11-06-2023","New Hampshire","Syracuse"
"MALIQBROWN",1055,1034,"11-06-2023","New Hampshire","Syracuse"
"JR,KYLE",1034,924,"11-06-2023","New Hampshire","Syracuse"
"QUADIRCOPELAND",1034,924,"11-06-2023","New Hampshire","Syracuse"
"CHRISBELL",1034,924,"11-06-2023","New Hampshire","Syracuse"
"JJSTARLING",1034,924,"11-06-2023","New Hampshire","Syracuse"
"MALIQBROWN",1034,924,"11-06-2023","New Hampshire","Syracuse"
"JR,KYLE",924,820,"11-06-2023","New Hampshire","Syracuse"
"QUADIRCOPELAND",924,820,"11-06-2023","New Hampshire","Syracuse"
"CHRISBELL",924,820,"11-06-2023","New Hampshire","Syracuse"
"JJSTARLING",924,820,"11-06-2023","New Hampshire","Syracuse"
"MALIQBROWN",924,820,"11-06-2023","New Hampshire","Syracuse"
"JR,KYLE",820,805,"11-06-2023","New Hampshire","Syracuse"
"QUADIRCOPELAND",820,805,"11-06-2023","New Hampshire","Syracuse"
"JJSTARLING",820,805,"11-06-2023","New Hampshire","Syracuse"
"JUSTINTAYLOR",820,805,"11-06-2023","New Hampshire","Syracuse"
"MALIQBROWN",820,805,"11-06-2023","New Hampshire","Syracuse"
"JR,KYLE",805,722,"11-06-2023","New Hampshire","Syracuse"
"PETERCAREY",805,722,"11-06-2023","New Hampshire","Syracuse"
"QUADIRCOPELAND",805,722,"11-06-2023","New Hampshire","Syracuse"
"JJSTARLING",805,722,"11-06-2023","New Hampshire","Syracuse"
"JUSTINTAYLOR",805,722,"11-06-2023","New Hampshire","Syracuse"
"JR,KYLE",722,707,"11-06-2023","New Hampshire","Syracuse"
"QUADIRCOPELAND",722,707,"11-06-2023","New Hampshire","Syracuse"
"JJSTARLING",722,707,"11-06-2023","New Hampshire","Syracuse"
"JUSTINTAYLOR",722,707,"11-06-2023","New Hampshire","Syracuse"
"MALIQBROWN",722,707,"11-06-2023","New Hampshire","Syracuse"
"JR,KYLE",707,624,"11-06-2023","New Hampshire","Syracuse"
"QUADIRCOPELAND",707,624,"11-06-2023","New Hampshire","Syracuse"
"JJSTARLING",707,624,"11-06-2023","New Hampshire","Syracuse"
"JUSTINTAYLOR",707,624,"11-06-2023","New Hampshire","Syracuse"
"MALIQBROWN",707,624,"11-06-2023","New Hampshire","Syracuse"
"JR,KYLE",624,565,"11-06-2023","New Hampshire","Syracuse"
"QUADIRCOPELAND",624,565,"11-06-2023","New Hampshire","Syracuse"
"JJSTARLING",624,565,"11-06-2023","New Hampshire","Syracuse"
"JUSTINTAYLOR",624,565,"11-06-2023","New Hampshire","Syracuse"
"MALIQBROWN",624,565,"11-06-2023","New Hampshire","Syracuse"
"QUADIRCOPELAND",565,532,"11-06-2023","New Hampshire","Syracuse"
"JUDAHMINTZ",565,532,"11-06-2023","New Hampshire","Syracuse"
"JJSTARLING",565,532,"11-06-2023","New Hampshire","Syracuse"
"JUSTINTAYLOR",565,532,"11-06-2023","New Hampshire","Syracuse"
"MALIQBROWN",565,532,"11-06-2023","New Hampshire","Syracuse"
"QUADIRCOPELAND",532,474,"11-06-2023","New Hampshire","Syracuse"
"JUDAHMINTZ",532,474,"11-06-2023","New Hampshire","Syracuse"
"CHRISBELL",532,474,"11-06-2023","New Hampshire","Syracuse"
"JJSTARLING",532,474,"11-06-2023","New Hampshire","Syracuse"
"MALIQBROWN",532,474,"11-06-2023","New Hampshire","Syracuse"
"JUDAHMINTZ",474,425,"11-06-2023","New Hampshire","Syracuse"
"CHRISBELL",474,425,"11-06-2023","New Hampshire","Syracuse"
"JJSTARLING",474,425,"11-06-2023","New Hampshire","Syracuse"
"JUSTINTAYLOR",474,425,"11-06-2023","New Hampshire","Syracuse"
"MALIQBROWN",474,425,"11-06-2023","New Hampshire","Syracuse"
"JUDAHMINTZ",425,405,"11-06-2023","New Hampshire","Syracuse"
"CHRISBELL",425,405,"11-06-2023","New Hampshire","Syracuse"
"JJSTARLING",425,405,"11-06-2023","New Hampshire","Syracuse"
"JUSTINTAYLOR",425,405,"11-06-2023","New Hampshire","Syracuse"
"MALIQBROWN",425,405,"11-06-2023","New Hampshire","Syracuse"
"QUADIRCOPELAND",405,370,"11-06-2023","New Hampshire","Syracuse"
"JUDAHMINTZ",405,370,"11-06-2023","New Hampshire","Syracuse"
"JJSTARLING",405,370,"11-06-2023","New Hampshire","Syracuse"
"JUSTINTAYLOR",405,370,"11-06-2023","New Hampshire","Syracuse"
"MALIQBROWN",405,370,"11-06-2023","New Hampshire","Syracuse"
"JR,KYLE",370,109,"11-06-2023","New Hampshire","Syracuse"
"QUADIRCOPELAND",370,109,"11-06-2023","New Hampshire","Syracuse"
"JUDAHMINTZ",370,109,"11-06-2023","New Hampshire","Syracuse"
"JUSTINTAYLOR",370,109,"11-06-2023","New Hampshire","Syracuse"
"MALIQBROWN",370,109,"11-06-2023","New Hampshire","Syracuse"
"QUADIRCOPELAND",109,85,"11-06-2023","New Hampshire","Syracuse"
"JUDAHMINTZ",109,85,"11-06-2023","New Hampshire","Syracuse"
"JJSTARLING",109,85,"11-06-2023","New Hampshire","Syracuse"
"JUSTINTAYLOR",109,85,"11-06-2023","New Hampshire","Syracuse"
"MALIQBROWN",109,85,"11-06-2023","New Hampshire","Syracuse"
"QUADIRCOPELAND",85,0,"11-06-2023","New Hampshire","Syracuse"
"JUDAHMINTZ",85,0,"11-06-2023","New Hampshire","Syracuse"
"JJSTARLING",85,0,"11-06-2023","New Hampshire","Syracuse"
"JUSTINTAYLOR",85,0,"11-06-2023","New Hampshire","Syracuse"
"MALIQBROWN",85,0,"11-06-2023","New Hampshire","Syracuse"
"JJSTARLING",2400,2172,"11-08-2023","Canisius","Syracuse"
"JUSTINTAYLOR",2400,2172,"11-08-2023","Canisius","Syracuse"
"CHRISBELL",2400,2172,"11-08-2023","Canisius","Syracuse"
"NAHEEMMCLEOD",2400,2172,"11-08-2023","Canisius","Syracuse"
"JUDAHMINTZ",2400,2172,"11-08-2023","Canisius","Syracuse"
"JJSTARLING",2172,2021,"11-08-2023","Canisius","Syracuse"
"JUSTINTAYLOR",2172,2021,"11-08-2023","Canisius","Syracuse"
"CHRISBELL",2172,2021,"11-08-2023","Canisius","Syracuse"
"NAHEEMMCLEOD",2172,2021,"11-08-2023","Canisius","Syracuse"
"JUDAHMINTZ",2172,2021,"11-08-2023","Canisius","Syracuse"
"JJSTARLING",2021,1874,"11-08-2023","Canisius","Syracuse"
"JUSTINTAYLOR",2021,1874,"11-08-2023","Canisius","Syracuse"
"CHRISBELL",2021,1874,"11-08-2023","Canisius","Syracuse"
"NAHEEMMCLEOD",2021,1874,"11-08-2023","Canisius","Syracuse"
"JUDAHMINTZ",2021,1874,"11-08-2023","Canisius","Syracuse"
"JJSTARLING",1874,1789,"11-08-2023","Canisius","Syracuse"
"JUSTINTAYLOR",1874,1789,"11-08-2023","Canisius","Syracuse"
"JR,KYLE",1874,1789,"11-08-2023","Canisius","Syracuse"
"MALIQBROWN",1874,1789,"11-08-2023","Canisius","Syracuse"
"QUADIRCOPELAND",1874,1789,"11-08-2023","Canisius","Syracuse"
"JJSTARLING",1789,1768,"11-08-2023","Canisius","Syracuse"
"JUSTINTAYLOR",1789,1768,"11-08-2023","Canisius","Syracuse"
"JR,KYLE",1789,1768,"11-08-2023","Canisius","Syracuse"
"MALIQBROWN",1789,1768,"11-08-2023","Canisius","Syracuse"
"QUADIRCOPELAND",1789,1768,"11-08-2023","Canisius","Syracuse"
"JJSTARLING",1768,1715,"11-08-2023","Canisius","Syracuse"
"JUSTINTAYLOR",1768,1715,"11-08-2023","Canisius","Syracuse"
"JR,KYLE",1768,1715,"11-08-2023","Canisius","Syracuse"
"MALIQBROWN",1768,1715,"11-08-2023","Canisius","Syracuse"
"QUADIRCOPELAND",1768,1715,"11-08-2023","Canisius","Syracuse"
"JJSTARLING",1715,1633,"11-08-2023","Canisius","Syracuse"
"JUSTINTAYLOR",1715,1633,"11-08-2023","Canisius","Syracuse"
"JUDAHMINTZ",1715,1633,"11-08-2023","Canisius","Syracuse"
"MALIQBROWN",1715,1633,"11-08-2023","Canisius","Syracuse"
"QUADIRCOPELAND",1715,1633,"11-08-2023","Canisius","Syracuse"
"JJSTARLING",1633,1468,"11-08-2023","Canisius","Syracuse"
"JUSTINTAYLOR",1633,1468,"11-08-2023","Canisius","Syracuse"
"JUDAHMINTZ",1633,1468,"11-08-2023","Canisius","Syracuse"
"MALIQBROWN",1633,1468,"11-08-2023","Canisius","Syracuse"
"QUADIRCOPELAND",1633,1468,"11-08-2023","Canisius","Syracuse"
"JUSTINTAYLOR",1468,1408,"11-08-2023","Canisius","Syracuse"
"NAHEEMMCLEOD",1468,1408,"11-08-2023","Canisius","Syracuse"
"JUDAHMINTZ",1468,1408,"11-08-2023","Canisius","Syracuse"
"JR,KYLE",1468,1408,"11-08-2023","Canisius","Syracuse"
"QUADIRCOPELAND",1468,1408,"11-08-2023","Canisius","Syracuse"
"JUSTINTAYLOR",1408,1373,"11-08-2023","Canisius","Syracuse"
"CHRISBELL",1408,1373,"11-08-2023","Canisius","Syracuse"
"NAHEEMMCLEOD",1408,1373,"11-08-2023","Canisius","Syracuse"
"JUDAHMINTZ",1408,1373,"11-08-2023","Canisius","Syracuse"
"JR,KYLE",1408,1373,"11-08-2023","Canisius","Syracuse"
"JUSTINTAYLOR",1373,1305,"11-08-2023","Canisius","Syracuse"
"CHRISBELL",1373,1305,"11-08-2023","Canisius","Syracuse"
"NAHEEMMCLEOD",1373,1305,"11-08-2023","Canisius","Syracuse"
"JUDAHMINTZ",1373,1305,"11-08-2023","Canisius","Syracuse"
"JR,KYLE",1373,1305,"11-08-2023","Canisius","Syracuse"
"JJSTARLING",1305,1217,"11-08-2023","Canisius","Syracuse"
"JUSTINTAYLOR",1305,1217,"11-08-2023","Canisius","Syracuse"
"CHRISBELL",1305,1217,"11-08-2023","Canisius","Syracuse"
"NAHEEMMCLEOD",1305,1217,"11-08-2023","Canisius","Syracuse"
"JUDAHMINTZ",1305,1217,"11-08-2023","Canisius","Syracuse"
"JJSTARLING",1217,1200,"11-08-2023","Canisius","Syracuse"
"JUSTINTAYLOR",1217,1200,"11-08-2023","Canisius","Syracuse"
"CHRISBELL",1217,1200,"11-08-2023","Canisius","Syracuse"
"JUDAHMINTZ",1217,1200,"11-08-2023","Canisius","Syracuse"
"MALIQBROWN",1217,1200,"11-08-2023","Canisius","Syracuse"
"NAHEEMMCLEOD",1200,1011,"11-08-2023","Canisius","Syracuse"
"CHRISBELL",1200,1011,"11-08-2023","Canisius","Syracuse"
"JJSTARLING",1200,1011,"11-08-2023","Canisius","Syracuse"
"JUDAHMINTZ",1200,1011,"11-08-2023","Canisius","Syracuse"
"JUSTINTAYLOR",1200,1011,"11-08-2023","Canisius","Syracuse"
"NAHEEMMCLEOD",1011,940,"11-08-2023","Canisius","Syracuse"
"CHRISBELL",1011,940,"11-08-2023","Canisius","Syracuse"
"JJSTARLING",1011,940,"11-08-2023","Canisius","Syracuse"
"JR,KYLE",1011,940,"11-08-2023","Canisius","Syracuse"
"JUSTINTAYLOR",1011,940,"11-08-2023","Canisius","Syracuse"
"NAHEEMMCLEOD",940,892,"11-08-2023","Canisius","Syracuse"
"CHRISBELL",940,892,"11-08-2023","Canisius","Syracuse"
"JJSTARLING",940,892,"11-08-2023","Canisius","Syracuse"
"JR,KYLE",940,892,"11-08-2023","Canisius","Syracuse"
"JUSTINTAYLOR",940,892,"11-08-2023","Canisius","Syracuse"
"MALIQBROWN",892,860,"11-08-2023","Canisius","Syracuse"
"CHRISBELL",892,860,"11-08-2023","Canisius","Syracuse"
"JJSTARLING",892,860,"11-08-2023","Canisius","Syracuse"
"JUDAHMINTZ",892,860,"11-08-2023","Canisius","Syracuse"
"JUSTINTAYLOR",892,860,"11-08-2023","Canisius","Syracuse"
"MALIQBROWN",860,749,"11-08-2023","Canisius","Syracuse"
"CHRISBELL",860,749,"11-08-2023","Canisius","Syracuse"
"JJSTARLING",860,749,"11-08-2023","Canisius","Syracuse"
"JUDAHMINTZ",860,749,"11-08-2023","Canisius","Syracuse"
"JUSTINTAYLOR",860,749,"11-08-2023","Canisius","Syracuse"
"MALIQBROWN",749,705,"11-08-2023","Canisius","Syracuse"
"JJSTARLING",749,705,"11-08-2023","Canisius","Syracuse"
"JUDAHMINTZ",749,705,"11-08-2023","Canisius","Syracuse"
"JUSTINTAYLOR",749,705,"11-08-2023","Canisius","Syracuse"
"QUADIRCOPELAND",749,705,"11-08-2023","Canisius","Syracuse"
"MALIQBROWN",705,651,"11-08-2023","Canisius","Syracuse"
"JJSTARLING",705,651,"11-08-2023","Canisius","Syracuse"
"JUDAHMINTZ",705,651,"11-08-2023","Canisius","Syracuse"
"JUSTINTAYLOR",705,651,"11-08-2023","Canisius","Syracuse"
"QUADIRCOPELAND",705,651,"11-08-2023","Canisius","Syracuse"
"MALIQBROWN",651,461,"11-08-2023","Canisius","Syracuse"
"JJSTARLING",651,461,"11-08-2023","Canisius","Syracuse"
"JUDAHMINTZ",651,461,"11-08-2023","Canisius","Syracuse"
"JUSTINTAYLOR",651,461,"11-08-2023","Canisius","Syracuse"
"QUADIRCOPELAND",651,461,"11-08-2023","Canisius","Syracuse"
"MALIQBROWN",461,382,"11-08-2023","Canisius","Syracuse"
"CHRISBELL",461,382,"11-08-2023","Canisius","Syracuse"
"JUDAHMINTZ",461,382,"11-08-2023","Canisius","Syracuse"
"JR,KYLE",461,382,"11-08-2023","Canisius","Syracuse"
"JUSTINTAYLOR",461,382,"11-08-2023","Canisius","Syracuse"
"MALIQBROWN",382,200,"11-08-2023","Canisius","Syracuse"
"CHRISBELL",382,200,"11-08-2023","Canisius","Syracuse"
"JJSTARLING",382,200,"11-08-2023","Canisius","Syracuse"
"JUDAHMINTZ",382,200,"11-08-2023","Canisius","Syracuse"
"JUSTINTAYLOR",382,200,"11-08-2023","Canisius","Syracuse"
"MALIQBROWN",200,74,"11-08-2023","Canisius","Syracuse"
"CHRISBELL",200,74,"11-08-2023","Canisius","Syracuse"
"JJSTARLING",200,74,"11-08-2023","Canisius","Syracuse"
"JUDAHMINTZ",200,74,"11-08-2023","Canisius","Syracuse"
"QUADIRCOPELAND",200,74,"11-08-2023","Canisius","Syracuse"
"NAHEEMMCLEOD",74,61,"11-08-2023","Canisius","Syracuse"
"JJSTARLING",74,61,"11-08-2023","Canisius","Syracuse"
"JUDAHMINTZ",74,61,"11-08-2023","Canisius","Syracuse"
"JUSTINTAYLOR",74,61,"11-08-2023","Canisius","Syracuse"
"QUADIRCOPELAND",74,61,"11-08-2023","Canisius","Syracuse"
"MALIQBROWN",61,0,"11-08-2023","Canisius","Syracuse"
"JJSTARLING",61,0,"11-08-2023","Canisius","Syracuse"
"JUDAHMINTZ",61,0,"11-08-2023","Canisius","Syracuse"
"JUSTINTAYLOR",61,0,"11-08-2023","Canisius","Syracuse"
"QUADIRCOPELAND",61,0,"11-08-2023","Canisius","Syracuse"
"CHRISBELL",2400,2049,"11-14-2023","Colgate","Syracuse"
"JJSTARLING",2400,2049,"11-14-2023","Colgate","Syracuse"
"JUSTINTAYLOR",2400,2049,"11-14-2023","Colgate","Syracuse"
"JUDAHMINTZ",2400,2049,"11-14-2023","Colgate","Syracuse"
"NAHEEMMCLEOD",2400,2049,"11-14-2023","Colgate","Syracuse"
"CHRISBELL",2049,1950,"11-14-2023","Colgate","Syracuse"
"JJSTARLING",2049,1950,"11-14-2023","Colgate","Syracuse"
"JUSTINTAYLOR",2049,1950,"11-14-2023","Colgate","Syracuse"
"JUDAHMINTZ",2049,1950,"11-14-2023","Colgate","Syracuse"
"MALIQBROWN",2049,1950,"11-14-2023","Colgate","Syracuse"
"CHRISBELL",1950,1914,"11-14-2023","Colgate","Syracuse"
"JJSTARLING",1950,1914,"11-14-2023","Colgate","Syracuse"
"JUDAHMINTZ",1950,1914,"11-14-2023","Colgate","Syracuse"
"MALIQBROWN",1950,1914,"11-14-2023","Colgate","Syracuse"
"QUADIRCOPELAND",1950,1914,"11-14-2023","Colgate","Syracuse"
"CHRISBELL",1914,1853,"11-14-2023","Colgate","Syracuse"
"JJSTARLING",1914,1853,"11-14-2023","Colgate","Syracuse"
"JUDAHMINTZ",1914,1853,"11-14-2023","Colgate","Syracuse"
"MALIQBROWN",1914,1853,"11-14-2023","Colgate","Syracuse"
"QUADIRCOPELAND",1914,1853,"11-14-2023","Colgate","Syracuse"
"JJSTARLING",1853,1838,"11-14-2023","Colgate","Syracuse"
"JUDAHMINTZ",1853,1838,"11-14-2023","Colgate","Syracuse"
